! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : jam_BiadjacencyMatrix.csv
! Equation file        : jam.kpp
! Output root filename : jam
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



spc_name,species_index,reaction_index,stoichiometric_coefficient
CH3O2NO2,53,67,1
CH3O2,235,67,-1
NO2,240,67,-1
CH3O2NO2,53,68,-1
CH3O2,235,68,1
NO2,240,68,1
C2H2,66,69,-1
HCOOH,154,69,0.35
CO,205,69,0.35
GLYOX,215,69,0.65
OH,234,69,-0.35
HO2,237,69,0.35
C2H4,126,70,-1
HOCH2CH2O2,175,70,1
OH,234,70,-1
C2H4,126,71,-1
HCOOH,154,71,0.35
CO,205,71,0.65
H2O,228,71,0.5
HCHO,231,71,1
OH,234,71,0.15
HO2,237,71,0.15
O3,243,71,-1
C2H6,56,72,-1
C2H5O2,180,72,1
H2O,228,72,1
OH,234,72,-1
C2H5OH,65,73,-1
CH3CHO,203,73,1
H2O,228,73,1
OH,234,73,-1
HO2,237,73,1
CH3CHO,203,74,-1
CH3CO3,227,74,1
H2O,228,74,1
OH,234,74,-1
CH3CHO,203,75,-1
CH3CO3,227,75,1
HNO3,230,75,1
NO3,236,75,-1
CH3CO3H,93,76,-1
CO2,183,76,0.5
CH3CO3,227,76,0.5
H2O,228,76,1
HCHO,231,76,0.5
OH,234,76,-0.5
C2H5O2,180,77,-1
CH3CHO,203,77,1
HO2,237,77,1
NO,239,77,-1
NO2,240,77,1
C2H5OOH,75,78,1
C2H5O2,180,78,-1
HO2,237,78,-1
O2,242,78,1
C2H5OH,65,79,0.2
C2H5O2,180,79,-1
CH3OH,194,79,0.3
CH3CHO,203,79,0.8
HCHO,231,79,0.7
CH3O2,235,79,-1
HO2,237,79,1
C2H5O2,180,80,-1
CO2,183,80,1
CH3CHO,203,80,1
CH3CO3,227,80,-1
CH3O2,235,80,1
HO2,237,80,1
C2H5OH,65,81,0.4
C2H5O2,180,81,-2
CH3CHO,203,81,1.6
HO2,237,81,1.2
C2H5OOH,75,82,-1
C2H5O2,180,82,0.5
CH3CHO,203,82,0.5
H2O,228,82,1
OH,234,82,-0.5
CO2,183,83,1
CH3CO3,227,83,-1
CH3O2,235,83,1
NO,239,83,-1
NO2,240,83,1
PAN,98,84,1
CH3CO3,227,84,-1
NO2,240,84,-1
CH3CO3H,93,85,0.4
CH3CO2H,111,85,0.2
CO2,183,85,0.4
CH3CO3,227,85,-1
OH,234,85,0.4
CH3O2,235,85,0.4
HO2,237,85,-1
O3,243,85,0.2
CH3CO2H,111,86,0.1
CO2,183,86,0.9
CH3CO3,227,86,-1
HCHO,231,86,1
CH3O2,235,86,-0.1
HO2,237,86,0.9
CO2,183,87,2
CH3CO3,227,87,-2
CH3O2,235,87,2
CH3CO2H,111,88,-1
CO2,183,88,1
H2O,228,88,1
OH,234,88,-1
CH3O2,235,88,1
PAN,98,89,-1
CH3CO3,227,89,1
NO2,240,89,1
PAN,98,90,-1
CO2,183,90,1
HCHO,231,90,1
OH,234,90,-1
NO3,236,90,1
HOCH2CH2O,112,91,0.75
HOCH2CH2O2,175,91,-1
HCHO,231,91,0.5
HO2,237,91,0.25
NO,239,91,-1
NO2,240,91,1
