! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : jam_EdgeList.csv
! Equation file        : jam.kpp
! Output root filename : jam
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,reaction_index,source,target,directed_stoichiometric_value
237,53,R53,HO2,1
239,53,NO,R53,-1
240,53,R53,NO2,1
125,54,R54,CH3OOH,1
235,54,CH3O2,R54,-1
237,54,HO2,R54,-1
242,54,R54,O2,1
231,55,R55,HCHO,2
235,55,CH3O2,R55,-2
237,55,R55,HO2,2
194,56,R56,CH3OH,1
231,56,R56,HCHO,1
235,56,CH3O2,R56,-2
205,57,R57,CO,1
231,57,HCHO,R57,-1
234,57,R57,OH,1
237,57,R57,HO2,1
241,57,O3P,R57,-1
205,58,R58,CO,1
228,58,R58,H2O,1
231,58,HCHO,R58,-1
234,58,OH,R58,-1
244,58,R58,H,1
92,59,R59,HOCH2OO,1
231,59,HCHO,R59,-1
237,59,HO2,R59,-1
205,60,R60,CO,1
230,60,R60,HNO3,1
231,60,HCHO,R60,-1
236,60,NO3,R60,-1
237,60,R60,HO2,1
125,61,CH3OOH,R61,-1
228,61,R61,H2O,1
231,61,R61,HCHO,0.3
234,61,OH,R61,-1
234,61,R61,OH,0.3
235,61,R61,CH3O2,0.7
154,62,HCOOH,R62,-1
183,62,R62,CO2,1
228,62,R62,H2O,1
234,62,OH,R62,-1
237,62,R62,HO2,1
92,63,HOCH2OO,R63,-1
231,63,R63,HCHO,1
237,63,R63,HO2,1
92,64,HOCH2OO,R64,-1
154,64,R64,HCOOH,1
237,64,R64,HO2,1
239,64,NO,R64,-1
240,64,R64,NO2,1
92,65,HOCH2OO,R65,-1
154,65,R65,HCOOH,1
228,65,R65,H2O,1
237,65,HO2,R65,-1
54,66,HCN,R66,-1
205,66,R66,CO,1
228,66,R66,H2O,1
234,66,OH,R66,-1
239,66,R66,NO,1
53,67,R67,CH3O2NO2,1
235,67,CH3O2,R67,-1
240,67,NO2,R67,-1
53,68,CH3O2NO2,R68,-1
235,68,R68,CH3O2,1
240,68,R68,NO2,1
66,69,C2H2,R69,-1
154,69,R69,HCOOH,0.35
205,69,R69,CO,0.35
215,69,R69,GLYOX,0.65
234,69,OH,R69,-1
234,69,R69,OH,0.65
237,69,R69,HO2,0.35
126,70,C2H4,R70,-1
175,70,R70,HOCH2CH2O2,1
234,70,OH,R70,-1
126,71,C2H4,R71,-1
154,71,R71,HCOOH,0.35
205,71,R71,CO,0.65
228,71,R71,H2O,0.5
231,71,R71,HCHO,1
234,71,R71,OH,0.15
237,71,R71,HO2,0.15
243,71,O3,R71,-1
56,72,C2H6,R72,-1
180,72,R72,C2H5O2,1
228,72,R72,H2O,1
234,72,OH,R72,-1
65,73,C2H5OH,R73,-1
203,73,R73,CH3CHO,1
228,73,R73,H2O,1
234,73,OH,R73,-1
237,73,R73,HO2,1
203,74,CH3CHO,R74,-1
227,74,R74,CH3CO3,1
228,74,R74,H2O,1
234,74,OH,R74,-1
203,75,CH3CHO,R75,-1
227,75,R75,CH3CO3,1
230,75,R75,HNO3,1
236,75,NO3,R75,-1
93,76,CH3CO3H,R76,-1
183,76,R76,CO2,0.5
227,76,R76,CH3CO3,0.5
228,76,R76,H2O,1
231,76,R76,HCHO,0.5
234,76,OH,R76,-1
234,76,R76,OH,0.5
180,77,C2H5O2,R77,-1
203,77,R77,CH3CHO,1
