! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : gas_BiadjacencyMatrix.csv
! Equation file        : gas.kpp
! Output root filename : gas
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_name,species_index,reaction_index,stoichiometric_coefficient
HO2,721,73,-1
OH,727,73,1
HNO,540,74,1
NH2,541,74,-1
H2O,714,74,1
HO2,721,74,-1
NH2,541,75,-1
N2,562,75,1
HO2,721,75,1
OH,727,75,1
NO,730,75,-1
NH2,541,76,-1
N2,562,76,1
H2O,714,76,1
NO,730,76,-1
N2O,284,77,1
NH2,541,77,-1
H2O,714,77,1
NO2,731,77,-1
NH2O,405,78,1
NH2,541,78,-1
NO,730,78,1
NO2,731,78,-1
NH2O,405,79,-1
NH2,541,79,1
O3,719,79,-1
O2,723,79,1
NHOH,176,80,1
NH2O,405,80,-1
HNO,540,81,-1
H2O,714,81,1
OH,727,81,-1
NO,730,81,1
NH2OH,120,82,1
NHOH,176,82,-1
HNO,540,82,-1
NO,730,82,1
HONO,491,83,1
HNO,540,83,-1
NO,730,83,1
NO2,731,83,-1
NHOH,176,84,-1
HNO,540,84,1
H2O,714,84,1
OH,727,84,-1
NH2OH,120,85,-1
NHOH,176,85,1
H2O,714,85,1
OH,727,85,-1
HNO,540,86,-1
HO2,721,86,1
O2,723,86,-1
NO,730,86,1
N,591,87,-1
H,691,87,1
OH,727,87,-1
NO,730,87,1
H,691,88,-1
OH,727,88,1
NO,730,88,1
NO2,731,88,-1
HOONO,102,89,-1
OH,727,89,1
NO2,731,89,1
HOONO,102,90,-1
H2O,714,90,1
OH,727,90,-1
NO3,732,90,1
H2,601,91,0.05
CH4,641,91,-1
H,691,91,0.4
CH3,708,91,0.75
HCHO,715,91,0.25
O1D,722,91,-1
OH,727,91,0.75
CH4,641,92,-1
CH3,708,92,1
H2O,714,92,1
OH,727,92,-1
CH3OH,677,93,-1
CH3O,705,93,0.15
H2O,714,93,1
HCHO,715,93,0.85
HO2,721,93,0.85
OH,727,93,-1
CH3OOH,606,94,1
CH3O2,717,94,-1
HO2,721,94,-1
O2,723,94,1
H2O,714,95,1
HCHO,715,95,1
CH3O2,717,95,-1
HO2,721,95,-1
O2,723,95,1
CH3O,705,96,1
CH3O2,717,96,-1
NO,730,96,-1
NO2,731,96,1
CH3NO3,501,97,1
CH3O2,717,97,-1
NO,730,97,-1
CH3O,705,98,1
CH3O2,717,98,-1
O2,723,98,1
NO2,731,98,1
NO3,732,98,-1
CH3O,705,99,1
CH3O2,717,99,-1
O2,723,99,0.5
CH3OH,677,100,0.5
HCHO,715,100,0.5
CH3O2,717,100,-1
O2,723,100,0.5
CH3OOH,606,101,-1
H2O,714,101,1
HCHO,715,101,0.4
CH3O2,717,101,0.6
OH,727,101,-0.6
H2O,714,102,1
HCHO,715,102,-1
HO2,721,102,1
CO,726,102,1
OH,727,102,-1
HNO3,671,103,1
HCHO,715,103,-1
HO2,721,103,1
CO,726,103,1
NO3,732,103,-1
CO2,653,104,1
H,691,104,1
CO,726,104,-1
OH,727,104,-1
CO2,653,105,1
H2O,714,105,1
HO2,721,105,1
OH,727,105,-1
HCOOH,728,105,-1
CO2,653,106,1
O3P,720,106,-1
CO,726,106,-1
CH4,641,107,-1
H,691,107,0.49
CH3O,705,107,0.49
CH3,708,107,0.51
O3P,720,107,-1
OH,727,107,0.51
CH3O2NO2,338,108,1
CH3O2,717,108,-1
NO2,731,108,-1
CH3O2NO2,338,109,-1
CH3O2,717,109,1
NO2,731,109,1
CH3O2NO2,338,110,-1
H2O,714,110,1
HCHO,715,110,1
OH,727,110,-1
NO3,732,110,1
CH3NO3,501,111,-1
H2O,714,111,1
HCHO,715,111,1
OH,727,111,-1
NO2,731,111,1
CH3O,705,112,-1
HCHO,715,112,1
HO2,721,112,1
CH3NO3,501,113,1
CH3O,705,113,-1
