! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : gas_EdgeList.csv
! Equation file        : gas.kpp
! Output root filename : gas
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,reaction_index,source,target,directed_stoichiometric_value
591,56,R56,N,1
720,56,O3P,R56,-1
443,57,R57,NOp,1
477,57,O2p,R57,-1
591,57,N,R57,-1
720,57,R57,O3P,1
443,58,R58,NOp,1
477,58,O2p,R58,-1
723,58,R58,O2,1
730,58,NO,R58,-1
352,59,Op,R59,-1
443,59,R59,NOp,1
562,59,N2,R59,-1
591,59,R59,N,1
442,60,N2p,R60,-1
477,60,R60,O2p,1
562,60,R60,N2,1
723,60,O2,R60,-1
491,61,R61,HONO,1
727,61,OH,R61,-1
730,61,NO,R61,-1
721,62,HO2,R62,-1
727,62,R62,OH,1
730,62,NO,R62,-1
731,62,R62,NO2,1
671,63,R63,HNO3,1
727,63,OH,R63,-1
731,63,NO2,R63,-1
102,64,R64,HOONO,1
727,64,OH,R64,-1
731,64,NO2,R64,-1
270,65,R65,HNO4,1
721,65,HO2,R65,-1
731,65,NO2,R65,-1
721,66,HO2,R66,-1
723,66,R66,O2,1
727,66,R66,OH,1
731,66,R66,NO2,1
732,66,NO3,R66,-1
491,67,HONO,R67,-1
714,67,R67,H2O,1
727,67,OH,R67,-1
731,67,R67,NO2,1
671,68,HNO3,R68,-1
714,68,R68,H2O,1
727,68,OH,R68,-1
732,68,R68,NO3,1
270,69,HNO4,R69,-1
721,69,R69,HO2,1
731,69,R69,NO2,1
270,70,HNO4,R70,-1
714,70,R70,H2O,1
727,70,OH,R70,-1
731,70,R70,NO2,1
41,71,NH3,R71,-1
541,71,R71,NH2,1
714,71,R71,H2O,1
727,71,OH,R71,-1
405,72,R72,NH2O,1
541,72,NH2,R72,-1
719,72,O3,R72,-1
723,72,R72,O2,1
405,73,R73,NH2O,1
541,73,NH2,R73,-1
721,73,HO2,R73,-1
727,73,R73,OH,1
540,74,R74,HNO,1
541,74,NH2,R74,-1
714,74,R74,H2O,1
721,74,HO2,R74,-1
541,75,NH2,R75,-1
562,75,R75,N2,1
721,75,R75,HO2,1
727,75,R75,OH,1
730,75,NO,R75,-1
541,76,NH2,R76,-1
562,76,R76,N2,1
714,76,R76,H2O,1
730,76,NO,R76,-1
284,77,R77,N2O,1
541,77,NH2,R77,-1
714,77,R77,H2O,1
731,77,NO2,R77,-1
405,78,R78,NH2O,1
541,78,NH2,R78,-1
730,78,R78,NO,1
731,78,NO2,R78,-1
405,79,NH2O,R79,-1
541,79,R79,NH2,1
719,79,O3,R79,-1
723,79,R79,O2,1
176,80,R80,NHOH,1
405,80,NH2O,R80,-1
540,81,HNO,R81,-1
714,81,R81,H2O,1
727,81,OH,R81,-1
730,81,R81,NO,1
120,82,R82,NH2OH,1
176,82,NHOH,R82,-1
540,82,HNO,R82,-1
730,82,R82,NO,1
491,83,R83,HONO,1
540,83,HNO,R83,-1
730,83,R83,NO,1
731,83,NO2,R83,-1
176,84,NHOH,R84,-1
540,84,R84,HNO,1
714,84,R84,H2O,1
727,84,OH,R84,-1
120,85,NH2OH,R85,-1
176,85,R85,NHOH,1
714,85,R85,H2O,1
727,85,OH,R85,-1
540,86,HNO,R86,-1
721,86,R86,HO2,1
723,86,O2,R86,-1
730,86,R86,NO,1
591,87,N,R87,-1
691,87,R87,H,1
727,87,OH,R87,-1
730,87,R87,NO,1
691,88,H,R88,-1
727,88,R88,OH,1
730,88,R88,NO,1
731,88,NO2,R88,-1
102,89,HOONO,R89,-1
727,89,R89,OH,1
731,89,R89,NO2,1
102,90,HOONO,R90,-1
714,90,R90,H2O,1
727,90,OH,R90,-1
