! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Dense species-by-atom composition matrix (variable species only) in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : gas_SpeciesCompositionMatrix.csv
! Equation file        : gas.kpp
! Output root filename : gas
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,species_name,H,C,N,O,F,S,Cl,Br,I,Hg,Pls,Min
350,ETHOHNO3,5,2,1,4,0,0,0,0,0,0,0,0
351,Np,0,0,1,0,0,0,0,0,0,0,1,0
352,Op,0,0,0,1,0,0,0,0,0,0,1,0
353,MALANHY,2,4,0,3,0,0,0,0,0,0,0,0
354,ISOPDNO3,9,5,1,4,0,0,0,0,0,0,0,0
355,LC578OOH,10,5,0,5,0,0,0,0,0,0,0,0
356,C511O2,7,5,0,4,0,0,0,0,0,0,0,0
357,LME3FURANO2,7,5,0,4,0,0,0,0,0,0,0,0
358,C512O2,7,5,0,4,0,0,0,0,0,0,0,0
359,CO235C6O2,7,6,0,5,0,0,0,0,0,0,0,0
360,BZEMUCOOH,8,6,0,6,0,0,0,0,0,0,0,0
361,PHENOL,6,6,0,1,0,0,0,0,0,0,0,0
362,BZEMUCNO3,7,6,1,7,0,0,0,0,0,0,0,0
363,CH3COCH2O2NO2,5,3,1,5,0,0,0,0,0,0,0,0
364,PPN,5,3,1,5,0,0,0,0,0,0,0,0
365,C44O2,5,4,0,5,0,0,0,0,0,0,0,0
366,C537OOH,10,5,0,7,0,0,0,0,0,0,0,0
367,PTLQONE,6,7,0,2,0,0,0,0,0,0,0,0
368,TLEMUCOOH,10,7,0,6,0,0,0,0,0,0,0,0
369,MALDALCO3H,4,4,0,4,0,0,0,0,0,0,0,0
370,LC4H9OOH,10,4,0,2,0,0,0,0,0,0,0,0
371,IC4H9O2,9,4,0,2,0,0,0,0,0,0,0,0
372,CO2H3CO3H,6,4,0,5,0,0,0,0,0,0,0,0
373,DHPMEK,8,4,0,5,0,0,0,0,0,0,0,0
374,DHPMPAL,8,4,0,5,0,0,0,0,0,0,0,0
375,C5CO14OOH,6,5,0,4,0,0,0,0,0,0,0,0
376,C98O2,15,9,0,5,0,0,0,0,0,0,0,0
377,HOOCH2CO2H,4,2,0,4,0,0,0,0,0,0,0,0
378,CH3SO2,3,1,0,2,0,1,0,0,0,0,0,0
379,MC3ODBCO2H,6,5,0,3,0,0,0,0,0,0,0,0
380,C6CO4DB,4,6,0,4,0,0,0,0,0,0,0,0
381,RO6R1O2,17,10,0,4,0,0,0,0,0,0,0,0
382,HMAC,6,4,0,2,0,0,0,0,0,0,0,0
383,HVMK,6,4,0,2,0,0,0,0,0,0,0,0
384,CH2OOA,2,1,0,2,0,0,0,0,0,0,0,0
385,MACRO,7,4,0,3,0,0,0,0,0,0,0,0
386,INO3,0,0,1,3,0,0,0,0,1,0,0,0
387,NC4DCO2H,3,4,1,5,0,0,0,0,0,0,0,0
388,LMBOABOOH,12,5,0,4,0,0,0,0,0,0,0,0
389,C1OOHC2OOHC4OD,10,5,0,5,0,0,0,0,0,0,0,0
390,NC4MDCO2H,5,5,1,5,0,0,0,0,0,0,0,0
391,C614O2,9,6,0,5,0,0,0,0,0,0,0,0
392,C1ODC2O2C4OD,7,5,0,4,0,0,0,0,0,0,0,0
393,CH3ONO,3,1,1,2,0,0,0,0,0,0,0,0
394,C513O2,7,5,0,5,0,0,0,0,0,0,0,0
395,C716O2,9,7,0,5,0,0,0,0,0,0,0,0
396,HOCOC4DIAL,4,4,0,4,0,0,0,0,0,0,0,0
397,C721CHO,12,8,0,3,0,0,0,0,0,0,0,0
398,NISOPO2,8,5,1,5,0,0,0,0,0,0,0,0
399,HOCHCHO,3,2,0,2,0,0,0,0,0,0,0,0
400,NOPINONE,14,9,0,1,0,0,0,0,0,0,0,0
401,PINALO2,15,10,0,4,0,0,0,0,0,0,0,0
402,HCOCO2CH3CHO,5,4,0,4,0,0,0,0,0,0,0,0
403,DB1OOH,10,5,0,4,0,0,0,0,0,0,0,0
404,HOI,1,0,0,1,0,0,0,0,1,0,0,0
405,NH2O,2,0,1,1,0,0,0,0,0,0,0,0
406,LNMBOABOOH,10,5,1,6,0,0,0,0,0,0,0,0
407,BZFUO2,5,4,0,5,0,0,0,0,0,0,0,0
408,TLFUO2,7,5,0,5,0,0,0,0,0,0,0,0
409,PBZQO2,5,6,0,5,0,0,0,0,0,0,0,0
410,C514O2,7,5,0,4,0,0,0,0,0,0,0,0
411,C7CO4DB,6,7,0,4,0,0,0,0,0,0,0,0
412,TLBIPEROOH,10,7,0,5,0,0,0,0,0,0,0,0
413,HCOCOCH2OOH,4,3,0,4,0,0,0,0,0,0,0,0
414,C32OH13CO,4,3,0,3,0,0,0,0,0,0,0,0
415,CHOC3COO2,5,4,0,4,0,0,0,0,0,0,0,0
416,PAN,3,2,1,5,0,0,0,0,0,0,0,0
417,C85O2,13,8,0,3,0,0,0,0,0,0,0,0
418,PRONO3BO2,6,3,1,5,0,0,0,0,0,0,0,0
419,LXYL,10,8,0,0,0,0,0,0,0,0,0,0
420,CRESOL,8,7,0,1,0,0,0,0,0,0,0,0
421,C6H5CH2O2,7,7,0,2,0,0,0,0,0,0,0,0
422,NTLFUO2,6,5,1,7,0,0,0,0,0,0,0,0
423,PHAN,3,2,1,6,0,0,0,0,0,0,0,0
424,HO12CO3C4,8,4,0,3,0,0,0,0,0,0,0,0
425,LAPINABO2,17,10,0,3,0,0,0,0,0,0,0,0
426,VINOH,4,2,0,1,0,0,0,0,0,0,0,0
427,CH3I,3,1,0,0,0,0,0,0,1,0,0,0
428,NCCH2O2,2,2,1,2,0,0,0,0,0,0,0,0
429,HOCH2CO2H,4,2,0,3,0,0,0,0,0,0,0,0
430,NBZFUO2,4,4,1,7,0,0,0,0,0,0,0,0
431,CATECHOL,6,6,0,2,0,0,0,0,0,0,0,0
432,NPHEN1O,4,6,1,3,0,0,0,0,0,0,0,0
433,MCATEC1O,7,7,0,2,0,0,0,0,0,0,0,0
434,C4CODIAL,4,4,0,3,0,0,0,0,0,0,0,0
435,TOL1O,7,7,0,1,0,0,0,0,0,0,0,0
436,NCRES1O,6,7,1,3,0,0,0,0,0,0,0,0
437,C106O2,15,10,0,5,0,0,0,0,0,0,0,0
438,CO235C6CHO,8,7,0,4,0,0,0,0,0,0,0,0
439,MACRNO3,7,4,1,5,0,0,0,0,0,0,0,0
440,LMEKOOH,8,4,0,3,0,0,0,0,0,0,0,0
441,TC4H9O2,9,4,0,2,0,0,0,0,0,0,0,0
442,N2p,0,0,2,0,0,0,0,0,0,0,1,0
443,NOp,0,0,1,1,0,0,0,0,0,0,1,0
444,N2O5,0,0,2,5,0,0,0,0,0,0,0,0
445,C536OOH,10,5,0,7,0,0,0,0,0,0,0,0
446,BIACETOOH,6,4,0,4,0,0,0,0,0,0,0,0
447,CH3COCHCO,4,4,0,2,0,0,0,0,0,0,0,0
448,TLBIPERNO3,9,7,1,6,0,0,0,0,0,0,0,0
449,C2H2,2,2,0,0,0,0,0,0,0,0,0,0
450,DNPHENO2,5,6,2,10,0,0,0,0,0,0,0,0
451,CH3CHOHOOH,6,2,0,3,0,0,0,0,0,0,0,0
452,NPHENO2,6,6,1,8,0,0,0,0,0,0,0,0
453,C721O2,11,7,0,4,0,0,0,0,0,0,0,0
454,DNCRESO2,7,7,2,10,0,0,0,0,0,0,0,0
455,MNCATECO2,8,7,1,9,0,0,0,0,0,0,0,0
456,MNNCATECO2,7,7,2,11,0,0,0,0,0,0,0,0
457,C59O2,9,5,0,5,0,0,0,0,0,0,0,0
458,C810O2,13,8,0,4,0,0,0,0,0,0,0,0
459,C8BCO2,13,8,0,2,0,0,0,0,0,0,0,0
460,STYRENO2,9,8,0,3,0,0,0,0,0,0,0,0
461,NSTYRENO2,8,8,1,5,0,0,0,0,0,0,0,0
462,HOCH2COCHO,4,3,0,3,0,0,0,0,0,0,0,0
463,C109O2,15,10,0,4,0,0,0,0,0,0,0,0
464,NO3CH2CO3,2,2,1,6,0,0,0,0,0,0,0,0
465,IBUTOLBO2,9,4,0,3,0,0,0,0,0,0,0,0
466,C1ODC3O2C4OOH,9,5,0,5,0,0,0,0,0,0,0,0
467,C4CO2OOH,6,4,0,4,0,0,0,0,0,0,0,0
468,PTLQO2,7,7,0,5,0,0,0,0,0,0,0,0
469,C6H5O,5,6,0,1,0,0,0,0,0,0,0,0
470,C813O2,13,8,0,6,0,0,0,0,0,0,0,0
471,MACO2,5,4,0,2,0,0,0,0,0,0,0,0
472,LHMVKABOOH,8,4,0,4,0,0,0,0,0,0,0,0
473,BPINAO2,17,10,0,3,0,0,0,0,0,0,0,0
474,MBO,10,5,0,1,0,0,0,0,0,0,0,0
475,MEPROPENE,8,4,0,0,0,0,0,0,0,0,0,0
476,LNAPINABO2,16,10,1,5,0,0,0,0,0,0,0,0
477,O2p,0,0,0,2,0,0,0,0,0,0,1,0
478,em,0,0,0,0,0,0,0,0,0,0,0,1
479,N2D,0,0,1,0,0,0,0,0,0,0,0,0
480,BUT1ENE,8,4,0,0,0,0,0,0,0,0,0,0
481,NDNPHENO2,4,6,3,12,0,0,0,0,0,0,0,0
482,C1OOHC2O2C4OD,9,5,0,5,0,0,0,0,0,0,0,0
483,NDNCRESO2,6,7,3,12,0,0,0,0,0,0,0,0
484,BZBIPERO2,7,6,0,5,0,0,0,0,0,0,0,0
485,MALDIALO2,5,4,0,5,0,0,0,0,0,0,0,0
486,NBZQO2,4,6,1,7,0,0,0,0,0,0,0,0
487,LISOPACO,9,5,0,2,0,0,0,0,0,0,0,0
488,ROO6R1O2,17,10,0,5,0,0,0,0,0,0,0,0
489,C5DICARBO2,7,5,0,5,0,0,0,0,0,0,0,0
490,C2H5OH,6,2,0,1,0,0,0,0,0,0,0,0
491,HONO,1,0,1,2,0,0,0,0,0,0,0,0
492,NC3H7O2,7,3,0,2,0,0,0,0,0,0,0,0
493,LMEKNO3,7,4,1,5,0,0,0,0,0,0,0,0
494,CO14O3CHO,4,4,0,4,0,0,0,0,0,0,0,0
495,NNCATECO2,5,6,2,11,0,0,0,0,0,0,0,0
496,CO235C5CHO,6,6,0,4,0,0,0,0,0,0,0,0
497,ACCOMECHO,6,5,0,4,0,0,0,0,0,0,0,0
498,HCOCO3H,2,2,0,4,0,0,0,0,0,0,0,0
499,HCOCH2CHO,4,3,0,2,0,0,0,0,0,0,0,0
500,STYRENE,8,8,0,0,0,0,0,0,0,0,0,0
501,CH3NO3,3,1,1,3,0,0,0,0,0,0,0,0
502,C85CO3,13,9,0,4,0,0,0,0,0,0,0,0
503,NCATECO2,6,6,1,9,0,0,0,0,0,0,0,0
504,LC5PAN1719,7,5,1,6,0,0,0,0,0,0,0,0
505,IC3H7O2,7,3,0,2,0,0,0,0,0,0,0,0
506,MACROOH,8,4,0,4,0,0,0,0,0,0,0,0
507,CATEC1O2,5,6,0,3,0,0,0,0,0,0,0,0
508,LISOPACNO3O2,10,5,1,7,0,0,0,0,0,0,0,0
509,MEK,8,4,0,1,0,0,0,0,0,0,0,0
510,ALCOCH2OOH,4,3,0,4,0,0,0,0,0,0,0,0
511,CRESO2,9,7,0,6,0,0,0,0,0,0,0,0
512,NCRESO2,8,7,1,8,0,0,0,0,0,0,0,0
513,NPTLQO2,6,7,1,7,0,0,0,0,0,0,0,0
514,HOC2H4CO3,5,3,0,4,0,0,0,0,0,0,0,0
515,LBUT1ENO2,9,4,0,2,0,0,0,0,0,0,0,0
516,CO23C4CHO,6,5,0,3,0,0,0,0,0,0,0,0
517,BPINENE,16,10,0,0,0,0,0,0,0,0,0,0
518,CAMPHENE,16,10,0,0,0,0,0,0,0,0,0,0
519,HOCH2OOH,4,1,0,3,0,0,0,0,0,0,0,0
520,LNBPINABO2,16,10,1,5,0,0,0,0,0,0,0,0
521,MVKNO3,7,4,1,5,0,0,0,0,0,0,0,0
522,LNISO3,0,5,1,0,0,0,0,0,0,0,0,0
523,NOA,5,3,1,4,0,0,0,0,0,0,0,0
524,C615CO2O2,7,6,0,4,0,0,0,0,0,0,0,0
525,TBUT2ENE,8,4,0,0,0,0,0,0,0,0,0,0
526,CBUT2ENE,8,4,0,0,0,0,0,0,0,0,0,0
527,CH2CO,2,2,0,1,0,0,0,0,0,0,0,0
528,C312COCO3,3,4,0,5,0,0,0,0,0,0,0,0
529,CH3CN,3,2,1,0,0,0,0,0,0,0,0,0
530,C5DIALO2,5,5,0,4,0,0,0,0,0,0,0,0
531,SABINENE,16,10,0,0,0,0,0,0,0,0,0,0
532,C89O2,13,8,0,3,0,0,0,0,0,0,0,0
533,NOPINDO2,13,9,0,3,0,0,0,0,0,0,0,0
534,C6CO2OHCO3,7,7,0,6,0,0,0,0,0,0,0,0
535,NC4OHCO3,8,5,1,7,0,0,0,0,0,0,0,0
536,BrCl,0,0,0,0,0,0,1,1,0,0,0,0
537,C5CO2OHCO3,5,6,0,6,0,0,0,0,0,0,0,0
538,IPRCO3,7,4,0,3,0,0,0,0,0,0,0,0
539,OIO,0,0,0,2,0,0,0,0,1,0,0,0
540,HNO,1,0,1,1,0,0,0,0,0,0,0,0
541,NH2,2,0,1,0,0,0,0,0,0,0,0,0
542,C4CO2DBCO3,3,5,0,5,0,0,0,0,0,0,0,0
543,CH3COCHO2CHO,5,4,0,4,0,0,0,0,0,0,0,0
544,MCATEC1O2,7,7,0,3,0,0,0,0,0,0,0,0
545,NPHEN1O2,4,6,1,4,0,0,0,0,0,0,0,0
546,OXYL1O2,7,7,0,2,0,0,0,0,0,0,0,0
547,NCRES1O2,6,7,1,4,0,0,0,0,0,0,0,0
548,CO2C3CHO,6,4,0,2,0,0,0,0,0,0,0,0
549,LMBOABO2,11,5,0,4,0,0,0,0,0,0,0,0
550,IBUTALOH,8,4,0,2,0,0,0,0,0,0,0,0
551,LC578O2,9,5,0,5,0,0,0,0,0,0,0,0
552,APINENE,16,10,0,0,0,0,0,0,0,0,0,0
553,CARENE,16,10,0,0,0,0,0,0,0,0,0,0
554,C33CO,2,3,0,3,0,0,0,0,0,0,0,0
555,C5CO14OH,6,5,0,3,0,0,0,0,0,0,0,0
556,HYPERACET,6,3,0,3,0,0,0,0,0,0,0,0
557,LZCO3C23DBCOD,5,5,0,4,0,0,0,0,0,0,0,0
558,HCN,1,1,1,0,0,0,0,0,0,0,0,0
559,BENZAL,6,7,0,1,0,0,0,0,0,0,0,0
560,C721CO3,11,8,0,5,0,0,0,0,0,0,0,0
561,CH3COCO3,3,3,0,4,0,0,0,0,0,0,0,0
562,N2,0,0,2,0,0,0,0,0,0,0,0,0
563,HOCH2COCH2O2,5,3,0,4,0,0,0,0,0,0,0,0
564,LNMBOABO2,9,5,1,6,0,0,0,0,0,0,0,0
565,TLEMUCO2,9,7,0,6,0,0,0,0,0,0,0,0
566,PHENO2,7,6,0,6,0,0,0,0,0,0,0,0
567,MALDALCO2H,4,4,0,3,0,0,0,0,0,0,0,0
568,BZEMUCO2,7,6,0,6,0,0,0,0,0,0,0,0
569,EPXC4DIAL,4,4,0,3,0,0,0,0,0,0,0,0
570,BrNO3,0,0,1,3,0,0,0,1,0,0,0,0
571,IBUTDIAL,6,4,0,2,0,0,0,0,0,0,0,0
572,CO23C4CO3,5,5,0,5,0,0,0,0,0,0,0,0
573,APINAOO,16,10,0,3,0,0,0,0,0,0,0,0
574,CH3CO2H,4,2,0,2,0,0,0,0,0,0,0,0
575,EZCHOCCH3CHO2,5,4,0,3,0,0,0,0,0,0,0,0
576,MMALANHYO2,5,5,0,6,0,0,0,0,0,0,0,0
577,C5134CO2OH,6,5,0,4,0,0,0,0,0,0,0,0
578,CATEC1O,5,6,0,2,0,0,0,0,0,0,0,0
579,MCATECHOL,8,7,0,2,0,0,0,0,0,0,0,0
580,TLEMUCCO3,7,7,0,5,0,0,0,0,0,0,0,0
581,C537O2,9,5,0,7,0,0,0,0,0,0,0,0
582,C5CO2DBCO3,5,6,0,5,0,0,0,0,0,0,0,0
583,HCOC5,8,5,0,2,0,0,0,0,0,0,0,0
584,BZEMUCCO3,5,6,0,5,0,0,0,0,0,0,0,0
585,HYPROPO2,7,3,0,3,0,0,0,0,0,0,0,0
586,C6H5O2,5,6,0,2,0,0,0,0,0,0,0,0
587,C1ODC2OOHC4OD,8,5,0,4,0,0,0,0,0,0,0,0
588,MECOACETO2,5,4,0,5,0,0,0,0,0,0,0,0
589,C6H5CO3,5,7,0,3,0,0,0,0,0,0,0,0
590,C3DIALO2,3,3,0,4,0,0,0,0,0,0,0,0
591,N,0,0,1,0,0,0,0,0,0,0,0,0
592,LC4H9O2,9,4,0,2,0,0,0,0,0,0,0,0
593,TLBIPERO2,9,7,0,5,0,0,0,0,0,0,0,0
594,ISOPBDNO3O2,10,5,1,7,0,0,0,0,0,0,0,0
595,IPRCHO,8,4,0,1,0,0,0,0,0,0,0,0
596,CO235C6CO3,7,7,0,6,0,0,0,0,0,0,0,0
597,C722O2,11,7,0,5,0,0,0,0,0,0,0,0
598,C536O2,9,5,0,7,0,0,0,0,0,0,0,0
599,APINBOO,16,10,0,3,0,0,0,0,0,0,0,0
600,C96CO3,15,10,0,4,0,0,0,0,0,0,0,0
601,H2,2,0,0,0,0,0,0,0,0,0,0,0
602,ACCOMECO3,5,5,0,6,0,0,0,0,0,0,0,0
603,NOPINOO,14,9,0,2,0,0,0,0,0,0,0,0
604,BIACETO2,5,4,0,4,0,0,0,0,0,0,0,0
605,BZEPOXMUC,6,6,0,3,0,0,0,0,0,0,0,0
606,CH3OOH,4,1,0,2,0,0,0,0,0,0,0,0
607,HCOCOHCO3,3,3,0,5,0,0,0,0,0,0,0,0
608,MNCATECH,7,7,1,4,0,0,0,0,0,0,0,0
609,C86O2,13,8,0,4,0,0,0,0,0,0,0,0
610,CH3CHOHO2,5,2,0,3,0,0,0,0,0,0,0,0
611,DNPHEN,4,6,2,5,0,0,0,0,0,0,0,0
612,DNCRES,6,7,2,5,0,0,0,0,0,0,0,0
613,LMEKO2,7,4,0,3,0,0,0,0,0,0,0,0
614,MACO3,5,4,0,3,0,0,0,0,0,0,0,0
615,TLEPOXMUC,8,7,0,3,0,0,0,0,0,0,0,0
616,EPXDLCO3,3,4,0,5,0,0,0,0,0,0,0,0
617,C811CO3,13,9,0,5,0,0,0,0,0,0,0,0
618,HCOCCH3CO,4,4,0,2,0,0,0,0,0,0,0,0
619,ISOPBOOH,10,5,0,3,0,0,0,0,0,0,0,0
620,C2H5CO3,5,3,0,3,0,0,0,0,0,0,0,0
621,CO13C4CHO,6,5,0,3,0,0,0,0,0,0,0,0
622,BUT2OLO2,9,4,0,3,0,0,0,0,0,0,0,0
623,BENZENE,6,6,0,0,0,0,0,0,0,0,0,0
624,BZFUONE,4,4,0,2,0,0,0,0,0,0,0,0
625,MALANHYO2,3,4,0,6,0,0,0,0,0,0,0,0
626,CO23C3CHO,4,4,0,3,0,0,0,0,0,0,0,0
627,Cl2,0,0,0,0,0,0,2,0,0,0,0,0
628,Br2,0,0,0,0,0,0,0,2,0,0,0,0
629,MBOOO,8,4,0,3,0,0,0,0,0,0,0,0
630,IPRHOCO3,7,4,0,4,0,0,0,0,0,0,0,0
631,HOOCH2CHO,4,2,0,3,0,0,0,0,0,0,0,0
632,HCOCO3,1,2,0,4,0,0,0,0,0,0,0,0
633,HOCH2CO3,3,2,0,4,0,0,0,0,0,0,0,0
634,MALDIALCO3,3,4,0,4,0,0,0,0,0,0,0,0
635,HOOCH2CO3,3,2,0,5,0,0,0,0,0,0,0,0
636,C3H7CHO,8,4,0,1,0,0,0,0,0,0,0,0
637,NO3CH2CHO,3,2,1,4,0,0,0,0,0,0,0,0
638,DMS,6,2,0,0,0,1,0,0,0,0,0,0
639,HOC6H4NO2,5,6,1,3,0,0,0,0,0,0,0,0
640,TOL1OHNO2,7,7,1,3,0,0,0,0,0,0,0,0
641,CH4,4,1,0,0,0,0,0,0,0,0,0,0
642,TLFUONE,6,5,0,2,0,0,0,0,0,0,0,0
643,CO2H3CO3,5,4,0,5,0,0,0,0,0,0,0,0
644,DB2O2,9,5,0,5,0,0,0,0,0,0,0,0
645,CHOC3COCO3,5,5,0,5,0,0,0,0,0,0,0,0
646,ClNO3,0,0,1,3,0,0,1,0,0,0,0,0
647,CH3COCH3,6,3,0,1,0,0,0,0,0,0,0,0
648,HOCH2O2,3,1,0,3,0,0,0,0,0,0,0,0
649,ISOPDOOH,10,5,0,3,0,0,0,0,0,0,0,0
650,C5CO14O2,5,5,0,4,0,0,0,0,0,0,0,0
651,HCOCO2H,2,2,0,3,0,0,0,0,0,0,0,0
652,MALDIAL,4,4,0,2,0,0,0,0,0,0,0,0
653,CO2,0,1,0,2,0,0,0,0,0,0,0,0
654,EZCH3CO2CHCHO,5,4,0,3,0,0,0,0,0,0,0,0
655,C2H5CHO,6,3,0,1,0,0,0,0,0,0,0,0
656,C2H5O2,5,2,0,2,0,0,0,0,0,0,0,0
657,I2,0,0,0,0,0,0,0,0,2,0,0,0
658,NC4CHO,7,5,1,4,0,0,0,0,0,0,0,0
659,HCOCH2CO3,3,3,0,4,0,0,0,0,0,0,0,0
660,MVK,6,4,0,1,0,0,0,0,0,0,0,0
661,HOCl,1,0,0,1,0,0,1,0,0,0,0,0
662,LHC4ACCO3,7,5,0,4,0,0,0,0,0,0,0,0
663,CHOCOCH2O2,3,3,0,4,0,0,0,0,0,0,0,0
664,C5DICARB,6,5,0,2,0,0,0,0,0,0,0,0
665,MACRO2,7,4,0,4,0,0,0,0,0,0,0,0
666,HCOCO,1,2,0,2,0,0,0,0,0,0,0,0
667,MACR,6,4,0,1,0,0,0,0,0,0,0,0
668,H2O2,2,0,0,2,0,0,0,0,0,0,0,0
669,C5H8,8,5,0,0,0,0,0,0,0,0,0,0
670,ACETOL,6,3,0,2,0,0,0,0,0,0,0,0
671,HNO3,1,0,1,3,0,0,0,0,0,0,0,0
672,HOCH2CH2O2,5,2,0,3,0,0,0,0,0,0,0,0
673,C89CO3,13,9,0,4,0,0,0,0,0,0,0,0
674,NORPINAL,14,9,0,2,0,0,0,0,0,0,0,0
675,CH3COCO2H,4,3,0,3,0,0,0,0,0,0,0,0
676,C96O2,15,9,0,3,0,0,0,0,0,0,0,0
677,CH3OH,4,1,0,1,0,0,0,0,0,0,0,0
678,LZCODC23DBCOOH,8,5,0,3,0,0,0,0,0,0,0,0
679,CH3CO,3,2,0,1,0,0,0,0,0,0,0,0
680,LISOPEFO2,9,5,0,3,0,0,0,0,0,0,0,0
681,HOBr,1,0,0,1,0,0,0,1,0,0,0,0
682,PINAL,16,10,0,2,0,0,0,0,0,0,0,0
683,DB1O2,9,5,0,4,0,0,0,0,0,0,0,0
684,C3H6,6,3,0,0,0,0,0,0,0,0,0,0
685,LHC4ACCHO,8,5,0,2,0,0,0,0,0,0,0,0
686,LISOPACOOH,10,5,0,3,0,0,0,0,0,0,0,0
687,CH3COCH2O2,5,3,0,3,0,0,0,0,0,0,0,0
688,ISOPDO2,9,5,0,3,0,0,0,0,0,0,0,0
689,CO2H3CHO,6,4,0,3,0,0,0,0,0,0,0,0
690,HOCH2CO,3,2,0,2,0,0,0,0,0,0,0,0
691,H,1,0,0,0,0,0,0,0,0,0,0,0
692,LHMVKABO2,7,4,0,4,0,0,0,0,0,0,0,0
693,MGLYOX,4,3,0,2,0,0,0,0,0,0,0,0
694,LISOPACNO3,9,5,1,4,0,0,0,0,0,0,0,0
695,C4MDIAL,6,5,0,2,0,0,0,0,0,0,0,0
696,LZCO3HC23DBCOD,6,5,0,4,0,0,0,0,0,0,0,0
697,GLYOX,2,2,0,2,0,0,0,0,0,0,0,0
698,C2H4,4,2,0,0,0,0,0,0,0,0,0,0
699,LDISOPACO2,9,5,0,3,0,0,0,0,0,0,0,0
700,ISOPBO2,9,5,0,3,0,0,0,0,0,0,0,0
701,DB1O,9,5,0,3,0,0,0,0,0,0,0,0
702,HCOCH2O2,3,2,0,3,0,0,0,0,0,0,0,0
703,LISOPACO2,9,5,0,3,0,0,0,0,0,0,0,0
704,CH3CO3,3,2,0,3,0,0,0,0,0,0,0,0
705,CH3O,3,1,0,1,0,0,0,0,0,0,0,0
706,SO2,0,0,0,2,0,1,0,0,0,0,0,0
707,HBr,1,0,0,0,0,0,0,1,0,0,0,0
708,CH3,3,1,0,0,0,0,0,0,0,0,0,0
709,HOCH2CHO,4,2,0,2,0,0,0,0,0,0,0,0
710,I,0,0,0,0,0,0,0,0,1,0,0,0
711,Hg,0,0,0,0,0,0,0,0,0,1,0,0
712,HCl,1,0,0,0,0,0,1,0,0,0,0,0
713,CH3CHO,4,2,0,1,0,0,0,0,0,0,0,0
714,H2O,2,0,0,1,0,0,0,0,0,0,0,0
715,HCHO,2,1,0,1,0,0,0,0,0,0,0,0
716,Cl,0,0,0,0,0,0,1,0,0,0,0,0
717,CH3O2,3,1,0,2,0,0,0,0,0,0,0,0
718,CH2OO,2,1,0,2,0,0,0,0,0,0,0,0
719,O3,0,0,0,3,0,0,0,0,0,0,0,0
720,O3P,0,0,0,1,0,0,0,0,0,0,0,0
721,HO2,1,0,0,2,0,0,0,0,0,0,0,0
722,O1D,0,0,0,1,0,0,0,0,0,0,0,0
723,O2,0,0,0,2,0,0,0,0,0,0,0,0
724,BrO,0,0,0,1,0,0,0,1,0,0,0,0
725,IO,0,0,0,1,0,0,0,0,1,0,0,0
726,CO,0,1,0,1,0,0,0,0,0,0,0,0
727,OH,1,0,0,1,0,0,0,0,0,0,0,0
728,HCOOH,2,1,0,2,0,0,0,0,0,0,0,0
729,ClO,0,0,0,1,0,0,1,0,0,0,0,0
730,NO,0,0,1,1,0,0,0,0,0,0,0,0
731,NO2,0,0,1,2,0,0,0,0,0,0,0,0
732,NO3,0,0,1,3,0,0,0,0,0,0,0,0
733,Br,0,0,0,0,0,0,0,1,0,0,0,0
