! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Dense species-by-atom composition matrix (variable species only) in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : gas_SpeciesCompositionMatrix.csv
! Equation file        : gas.kpp
! Output root filename : gas
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,species_name,H,C,N,O,F,S,Cl,Br,I,Hg,Pls,Min
77,C8BCCO,12,8,0,1,0,0,0,0,0,0,0,0
78,C8BCOOH,14,8,0,2,0,0,0,0,0,0,0,0
79,NSTYRENOOH,9,8,1,5,0,0,0,0,0,0,0,0
80,ClONO,0,0,1,2,0,0,1,0,0,0,0,0
81,CH3CHOHOH,6,2,0,2,0,0,0,0,0,0,0,0
82,INO,0,0,1,1,0,0,0,0,1,0,0,0
83,INO2,0,0,1,2,0,0,0,0,1,0,0,0
84,H2OH2O,4,0,0,2,0,0,0,0,0,0,0,0
85,HOOCH2CHOHOH,6,2,0,4,0,0,0,0,0,0,0,0
86,IPROPOL,8,3,0,1,0,0,0,0,0,0,0,0
87,BUT2OLO,8,4,0,2,0,0,0,0,0,0,0,0
88,C3MDIALO,5,4,0,3,0,0,0,0,0,0,0,0
89,CH3COCOCO2H,4,4,0,4,0,0,0,0,0,0,0,0
90,HOCH2OH,4,1,0,2,0,0,0,0,0,0,0,0
91,MALNHYOHCO,2,4,0,5,0,0,0,0,0,0,0,0
92,C513CO,6,5,0,4,0,0,0,0,0,0,0,0
93,ETHGLY,6,2,0,2,0,0,0,0,0,0,0,0
94,MBOCOCO,8,5,0,3,0,0,0,0,0,0,0,0
95,C6125CO,6,6,0,3,0,0,0,0,0,0,0,0
96,MCPDKETENE,6,7,0,2,0,0,0,0,0,0,0,0
97,C109CO,14,10,0,3,0,0,0,0,0,0,0,0
98,CH3CCl3,3,2,0,0,0,0,3,0,0,0,0,0
99,HOCH2CHOHOH,6,2,0,3,0,0,0,0,0,0,0,0
100,CHOCHOHOH,4,2,0,3,0,0,0,0,0,0,0,0
101,HgCl,0,0,0,0,0,0,1,0,0,1,0,0
102,HOONO,1,0,1,3,0,0,0,0,0,0,0,0
103,HOC2H4CO2H,6,3,0,3,0,0,0,0,0,0,0,0
104,PROPENOL,6,3,0,1,0,0,0,0,0,0,0,0
105,BUTENOL,8,4,0,1,0,0,0,0,0,0,0,0
106,MPROPENOL,8,4,0,1,0,0,0,0,0,0,0,0
107,CO14O3CO2H,4,4,0,5,0,0,0,0,0,0,0,0
108,C512OOH,8,5,0,4,0,0,0,0,0,0,0,0
109,C514OOH,8,5,0,4,0,0,0,0,0,0,0,0
110,C536O,9,5,0,6,0,0,0,0,0,0,0,0
111,C537O,9,5,0,6,0,0,0,0,0,0,0,0
112,ISOPAOH,10,5,0,2,0,0,0,0,0,0,0,0
113,C24O3CCO2H,6,5,0,5,0,0,0,0,0,0,0,0
114,NISOPOOH,9,5,1,5,0,0,0,0,0,0,0,0
115,LHC4ACCO2H,8,5,0,3,0,0,0,0,0,0,0,0
116,LMBOABNO3,11,5,1,5,0,0,0,0,0,0,0,0
117,C614CO,8,6,0,4,0,0,0,0,0,0,0,0
118,CATEC1OOH,6,6,0,3,0,0,0,0,0,0,0,0
119,NPHEN1OOH,5,6,1,4,0,0,0,0,0,0,0,0
120,NH2OH,3,0,1,1,0,0,0,0,0,0,0,0
121,C6H5CH2OOH,8,7,0,2,0,0,0,0,0,0,0,0
122,MCATEC1OOH,8,7,0,3,0,0,0,0,0,0,0,0
123,OXYL1OOH,8,7,0,2,0,0,0,0,0,0,0,0
124,NCRES1OOH,7,7,1,4,0,0,0,0,0,0,0,0
125,C812OOH,14,8,0,5,0,0,0,0,0,0,0,0
126,C89OOH,14,8,0,3,0,0,0,0,0,0,0,0
127,NORPINIC,12,8,0,4,0,0,0,0,0,0,0,0
128,C8BCNO3,13,8,1,3,0,0,0,0,0,0,0,0
129,C97OOH,16,9,0,4,0,0,0,0,0,0,0,0
130,NORPINENOL,14,9,0,2,0,0,0,0,0,0,0,0
131,PINIC,14,9,0,4,0,0,0,0,0,0,0,0
132,C96NO3,15,9,1,4,0,0,0,0,0,0,0,0
133,MENTHEN6ONE,16,10,0,3,0,0,0,0,0,0,0,0
134,PINALOOH,16,10,0,4,0,0,0,0,0,0,0,0
135,PINENOL,16,10,0,2,0,0,0,0,0,0,0,0
136,NPROPOL,8,3,0,1,0,0,0,0,0,0,0,0
137,NC4H10,10,4,0,0,0,0,0,0,0,0,0,0
138,ISOPBOH,10,5,0,2,0,0,0,0,0,0,0,0
139,C4MCONO3OH,9,5,1,5,0,0,0,0,0,0,0,0
140,C8BC,14,8,0,0,0,0,0,0,0,0,0,0
141,C2H6,6,2,0,0,0,0,0,0,0,0,0,0
142,NO3CH2PAN,2,2,2,8,0,0,0,0,0,0,0,0
143,IC3H7NO3,7,3,1,3,0,0,0,0,0,0,0,0
144,PR2O2HNO3,7,3,1,5,0,0,0,0,0,0,0,0
145,C312COCO3H,4,4,0,5,0,0,0,0,0,0,0,0
146,C413COOOH,6,4,0,4,0,0,0,0,0,0,0,0
147,C4CO2O,5,4,0,3,0,0,0,0,0,0,0,0
148,IC4H10,10,4,0,0,0,0,0,0,0,0,0,0
149,MACROH,8,4,0,3,0,0,0,0,0,0,0,0
150,BZFUOOH,6,4,0,5,0,0,0,0,0,0,0,0
151,EPXDLCO2H,4,4,0,4,0,0,0,0,0,0,0,0
152,EPXDLCO3H,4,4,0,5,0,0,0,0,0,0,0,0
153,IC4H9NO3,9,4,1,3,0,0,0,0,0,0,0,0
154,C1OOHC3O2C4OD,9,5,0,5,0,0,0,0,0,0,0,0
155,C511OOH,8,5,0,4,0,0,0,0,0,0,0,0
156,C3H8,8,3,0,0,0,0,0,0,0,0,0,0
157,C59OOH,10,5,0,5,0,0,0,0,0,0,0,0
158,CHOC3COOOH,6,5,0,5,0,0,0,0,0,0,0,0
159,ACCOMECO3H,6,5,0,6,0,0,0,0,0,0,0,0
160,MMALNHYOOH,6,5,0,6,0,0,0,0,0,0,0,0
161,TLFUOOH,8,5,0,5,0,0,0,0,0,0,0,0
162,C514NO3,7,5,1,5,0,0,0,0,0,0,0,0
163,NTLFUOOH,7,5,1,7,0,0,0,0,0,0,0,0
164,LDISOPACO,9,5,0,2,0,0,0,0,0,0,0,0
165,LIEPOX,10,5,0,3,0,0,0,0,0,0,0,0
166,CO235C6OOH,8,6,0,5,0,0,0,0,0,0,0,0
167,BZEMUCCO2H,6,6,0,4,0,0,0,0,0,0,0,0
168,BZEMUCCO3H,6,6,0,5,0,0,0,0,0,0,0,0
169,BZOBIPEROH,6,6,0,4,0,0,0,0,0,0,0,0
170,C6H5OOH,6,6,0,2,0,0,0,0,0,0,0,0
171,NBZQOOH,5,6,1,7,0,0,0,0,0,0,0,0
172,C235C6CO3H,8,7,0,6,0,0,0,0,0,0,0,0
173,C716OOH,10,7,0,5,0,0,0,0,0,0,0,0
174,C721OOH,12,7,0,4,0,0,0,0,0,0,0,0
175,C722OOH,12,7,0,5,0,0,0,0,0,0,0,0
176,NHOH,2,0,1,1,0,0,0,0,0,0,0,0
177,HCOCH2CO2H,4,3,0,3,0,0,0,0,0,0,0,0
178,C6H5CO3H,6,7,0,3,0,0,0,0,0,0,0,0
179,HCOCH2CO3H,4,3,0,4,0,0,0,0,0,0,0,0
180,TLEMUCCO2H,8,7,0,4,0,0,0,0,0,0,0,0
181,TLEMUCCO3H,8,7,0,5,0,0,0,0,0,0,0,0
182,TLOBIPEROH,8,7,0,4,0,0,0,0,0,0,0,0
183,C6H5CH2NO3,7,7,1,3,0,0,0,0,0,0,0,0
184,NPTLQOOH,7,7,1,7,0,0,0,0,0,0,0,0
185,C721CO3H,12,8,0,5,0,0,0,0,0,0,0,0
186,C810OOH,14,8,0,4,0,0,0,0,0,0,0,0
187,C813OOH,14,8,0,6,0,0,0,0,0,0,0,0
188,C85OOH,14,8,0,3,0,0,0,0,0,0,0,0
189,C86OOH,14,8,0,4,0,0,0,0,0,0,0,0
190,HOCH2CH2O,5,2,0,2,0,0,0,0,0,0,0,0
191,HOC2H4CO3H,6,3,0,4,0,0,0,0,0,0,0,0
192,C811CO3H,14,9,0,5,0,0,0,0,0,0,0,0
193,C85CO3H,14,9,0,4,0,0,0,0,0,0,0,0
194,C96OOH,16,9,0,3,0,0,0,0,0,0,0,0
195,C98OOH,16,9,0,5,0,0,0,0,0,0,0,0
196,C106OOH,16,10,0,5,0,0,0,0,0,0,0,0
197,PERPINONIC,16,10,0,4,0,0,0,0,0,0,0,0
198,RO6R3O2,17,10,0,5,0,0,0,0,0,0,0,0
199,RO6R1NO3,17,10,1,5,0,0,0,0,0,0,0,0
200,ROO6R1NO3,17,10,1,6,0,0,0,0,0,0,0,0
201,LAPINABNO3,17,10,1,4,0,0,0,0,0,0,0,0
202,LNAPINABOOH,17,10,1,5,0,0,0,0,0,0,0,0
203,HI,1,0,0,0,0,0,0,0,1,0,0,0
204,PROPACID,6,3,0,2,0,0,0,0,0,0,0,0
205,HgBr,0,0,0,0,0,0,0,1,0,1,0,0
206,IBUTOLBOOH,10,4,0,3,0,0,0,0,0,0,0,0
207,HCOCOHCO3H,4,3,0,5,0,0,0,0,0,0,0,0
208,IC4H9OOH,10,4,0,2,0,0,0,0,0,0,0,0
209,IPRHOCO3H,8,4,0,4,0,0,0,0,0,0,0,0
210,MACO3H,6,4,0,3,0,0,0,0,0,0,0,0
211,C3PAN1,5,3,1,6,0,0,0,0,0,0,0,0
212,C3PAN2,3,3,1,6,0,0,0,0,0,0,0,0
213,MALANHYOOH,4,4,0,6,0,0,0,0,0,0,0,0
214,MECOACEOOH,6,4,0,5,0,0,0,0,0,0,0,0
215,BUT2OLNO3,9,4,1,4,0,0,0,0,0,0,0,0
216,C312COPAN,3,4,1,7,0,0,0,0,0,0,0,0
217,C4PAN5,7,4,1,6,0,0,0,0,0,0,0,0
218,IBUTOLBNO3,9,4,1,4,0,0,0,0,0,0,0,0
219,EPXDLPAN,3,4,1,7,0,0,0,0,0,0,0,0
220,MALDIALPAN,3,4,1,6,0,0,0,0,0,0,0,0
221,CH3CO3H,4,2,0,3,0,0,0,0,0,0,0,0
222,C513OOH,8,5,0,5,0,0,0,0,0,0,0,0
223,C5DIALOOH,6,5,0,4,0,0,0,0,0,0,0,0
224,HCOCOHPAN,3,3,1,7,0,0,0,0,0,0,0,0
225,NC3H7OOH,8,3,0,2,0,0,0,0,0,0,0,0
226,C5PAN9,5,5,1,7,0,0,0,0,0,0,0,0
227,CHOC3COPAN,5,5,1,7,0,0,0,0,0,0,0,0
228,DB1NO3,9,5,1,6,0,0,0,0,0,0,0,0
229,NC4OHCO3H,9,5,1,7,0,0,0,0,0,0,0,0
230,NC4OHCPAN,8,5,2,9,0,0,0,0,0,0,0,0
231,C5COO2NO2,5,5,1,6,0,0,0,0,0,0,0,0
232,LHC4ACCO3H,8,5,0,4,0,0,0,0,0,0,0,0
