! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : MOZART_T1_EdgeList.csv
! Equation file        : MOZART_T1.kpp
! Output root filename : MOZART_T1
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
147,44,R44,NO2,1
154,44,R44,MCO3,1
123,45,R45,CO,0.7
128,45,R45,C3H6,0.7
144,45,MVK,R45,-1
152,45,R45,CH3CO3,0.3
155,45,R45,CH3O2,0.3
91,46,R46,BIGALD3,1
110,46,NC4CHO,R46,-1
147,46,R46,NO2,1
149,46,R46,HO2,1
119,47,NOA,R47,-1
146,47,R47,CH2O,1
147,47,R47,NO2,1
152,47,R47,CH3CO3,1
52,48,NTERPOOH,R48,-1
133,48,R48,TERPROD1,1
147,48,R48,NO2,1
148,48,R48,OH,1
22,49,ONITR,R49,-1
147,49,R49,NO2,1
71,50,PAN,R50,-1
147,50,R50,NO2,0.6
150,50,R50,NO3,0.4
152,50,R50,CH3CO3,0.6
155,50,R50,CH3O2,0.4
54,51,PHENOOH,R51,-1
109,51,R51,GLYOXAL,0.7
148,51,R51,OH,1
149,51,R51,HO2,1
74,52,POOH,R52,-1
129,52,R52,CH3CHO,1
146,52,R52,CH2O,1
148,52,R52,OH,1
149,52,R52,HO2,1
55,53,ROOH,R53,-1
146,53,R53,CH2O,1
148,53,R53,OH,1
152,53,R53,CH3CO3,1
32,54,TEPOMUC,R54,-1
123,54,R54,CO,1.5
149,54,R54,HO2,1
152,54,R54,CH3CO3,0.5
88,55,TERP2OOH,R55,-1
122,55,R55,CH3COCH3,0.3
123,55,R55,CO,0.25
124,55,R55,GLYALD,0.25
126,55,R55,TERPROD2,1
146,55,R55,CH2O,0.375
148,55,R55,OH,1
149,55,R55,HO2,1
80,56,TERPNIT,R56,-1
133,56,R56,TERPROD1,1
147,56,R56,NO2,1
149,56,R56,HO2,1
75,57,TERPOOH,R57,-1
122,57,R57,CH3COCH3,0.05
133,57,R57,TERPROD1,1
146,57,R57,CH2O,0.4
148,57,R57,OH,1
149,57,R57,HO2,1
123,58,R58,CO,1
126,58,R58,TERPROD2,1
133,58,TERPROD1,R58,-1
149,58,R58,HO2,1
122,59,R59,CH3COCH3,0.5
123,59,R59,CO,1.7
126,59,TERPROD2,R59,-1
134,59,R59,RO2,0.15
146,59,R59,CH2O,0.68
149,59,R59,HO2,1.2
152,59,R59,CH3CO3,0.65
44,60,R60,BIGALD2,0.2
69,60,R60,BIGALD1,0.2
89,60,TOLOOH,R60,-1
91,60,R60,BIGALD3,0.2
109,60,R60,GLYOXAL,0.6
138,60,R60,CH3COCHO,0.4
148,60,R60,OH,1
149,60,R60,HO2,1
33,61,XOOH,R61,-1
148,61,R61,OH,1
44,62,R62,BIGALD2,0.2
57,62,R62,BIGALD4,0.21
69,62,R62,BIGALD1,0.06
91,62,R62,BIGALD3,0.15
98,62,XYLENOOH,R62,-1
109,62,R62,GLYOXAL,0.34
138,62,R62,CH3COCHO,0.54
148,62,R62,OH,1
149,62,R62,HO2,1
63,63,XYLOLOOH,R63,-1
109,63,R63,GLYOXAL,0.17
138,63,R63,CH3COCHO,0.51
148,63,R63,OH,1
149,63,R63,HO2,1
82,64,R64,H2,0.05
87,64,CH4,R64,-1
106,64,O1D,R64,-1
146,64,R64,CH2O,0.25
148,64,R64,OH,0.75
149,64,R64,HO2,0.4
155,64,R64,CH3O2,0.75
82,65,H2,R65,-1
106,65,O1D,R65,-1
148,65,R65,OH,1
149,65,R65,HO2,1
106,66,O1D,R66,-1
148,66,R66,OH,2
106,67,O1D,R67,-1
135,67,R67,O,1
106,68,O1D,R68,-1
135,68,R68,O,1
106,69,O1D,R69,-1
151,69,O3,R69,-1
135,70,O,R70,-1
151,70,O3,R70,-1
135,71,O,R71,-2
135,72,O,R72,-1
151,72,R72,O3,1
82,73,H2,R73,-1
135,73,O,R73,-1
148,73,R73,OH,1
149,73,R73,HO2,1
39,74,H2O2,R74,-1
135,74,O,R74,-1
148,74,R74,OH,1
149,74,R74,HO2,1
135,75,O,R75,-1
148,75,R75,OH,1
149,75,HO2,R75,-1
148,76,R76,OH,1
149,76,HO2,R76,-1
151,76,O3,R76,-1
82,77,H2,R77,-1
148,77,OH,R77,-1
149,77,R77,HO2,1
39,78,H2O2,R78,-1
148,78,OH,R78,-1
149,78,R78,HO2,1
148,79,OH,R79,-1
149,79,HO2,R79,-1
135,80,O,R80,-1
148,80,OH,R80,-1
149,80,R80,HO2,1
148,81,OH,R81,-1
149,81,R81,HO2,1
151,81,O3,R81,-1
135,82,R82,O,1
148,82,OH,R82,-2
39,83,R83,H2O2,1
148,83,OH,R83,-2
39,84,R84,H2O2,1
149,84,HO2,R84,-2
45,85,HO2NO2,R85,-1
147,85,R85,NO2,1
148,85,OH,R85,-1
135,86,O,R86,-1
147,86,NO2,R86,-1
153,86,R86,NO,1
147,87,NO2,R87,-1
150,87,R87,NO3,1
151,87,O3,R87,-1
135,88,O,R88,-1
147,88,NO2,R88,-1
150,88,R88,NO3,1
147,89,R89,NO2,1
148,89,R89,OH,1
149,89,HO2,R89,-1
150,89,NO3,R89,-1
147,90,R90,NO2,2
150,90,NO3,R90,-1
153,90,NO,R90,-1
135,91,O,R91,-1
147,91,R91,NO2,1
150,91,NO3,R91,-1
147,92,R92,NO2,1
148,92,OH,R92,-1
149,92,R92,HO2,1
150,92,NO3,R92,-1
147,93,R93,NO2,1
148,93,R93,OH,1
149,93,HO2,R93,-1
153,93,NO,R93,-1
147,94,R94,NO2,1
151,94,O3,R94,-1
153,94,NO,R94,-1
135,95,O,R95,-1
147,95,R95,NO2,1
153,95,NO,R95,-1
18,96,N2O,R96,-1
106,96,O1D,R96,-1
153,96,R96,NO,2
18,97,N2O,R97,-1
106,97,O1D,R97,-1
45,98,R98,HO2NO2,1
147,98,NO2,R98,-1
149,98,HO2,R98,-1
29,99,R99,N2O5,1
147,99,NO2,R99,-1
150,99,NO3,R99,-1
70,100,R100,HNO3,1
147,100,NO2,R100,-1
148,100,OH,R100,-1
70,101,HNO3,R101,-1
148,101,OH,R101,-1
150,101,R101,NO3,1
45,102,HO2NO2,R102,-1
147,102,R102,NO2,1
149,102,R102,HO2,1
29,103,N2O5,R103,-1
147,103,R103,NO2,1
150,103,R103,NO3,1
65,104,R104,HOCH2OO,1
146,104,CH2O,R104,-1
149,104,HO2,R104,-1
70,105,R105,HNO3,1
123,105,R105,CO,1
146,105,CH2O,R105,-1
149,105,R105,HO2,1
150,105,NO3,R105,-1
123,106,R106,CO,1
135,106,O,R106,-1
146,106,CH2O,R106,-1
148,106,R106,OH,1
149,106,R106,HO2,1
13,107,R107,VOC_OH,1
123,107,R107,CO,1
146,107,CH2O,R107,-1
148,107,OH,R107,-1
149,107,R107,HO2,1
10,108,R108,RO2_RO2,1
146,108,R108,CH2O,2
149,108,R108,HO2,2
155,108,CH3O2,R108,-2
10,109,R109,RO2_RO2,1
107,109,R109,CH3OH,1
146,109,R109,CH2O,1
155,109,CH3O2,R109,-2
11,110,R110,RO2_HO2,1
47,110,R110,CH3OOH,1
149,110,HO2,R110,-1
155,110,CH3O2,R110,-1
12,111,R111,RO2_NO,1
146,111,R111,CH2O,1
147,111,R111,NO2,1
149,111,R111,HO2,1
153,111,NO,R111,-1
155,111,CH3O2,R111,-1
13,112,R112,VOC_OH,1
107,112,CH3OH,R112,-1
146,112,R112,CH2O,1
