! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : MOZART_T1_BiadjacencyMatrix.csv
! Equation file        : MOZART_T1.kpp
! Output root filename : MOZART_T1
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



spc_name,species_index,reaction_index,stoichiometric_coefficient
TERP2OOH,88,55,-1
CH3COCH3,122,55,0.3
CO,123,55,0.25
GLYALD,124,55,0.25
TERPROD2,126,55,1
CH2O,146,55,0.375
OH,148,55,1
HO2,149,55,1
TERPNIT,80,56,-1
TERPROD1,133,56,1
NO2,147,56,1
HO2,149,56,1
TERPOOH,75,57,-1
CH3COCH3,122,57,0.05
TERPROD1,133,57,1
CH2O,146,57,0.4
OH,148,57,1
HO2,149,57,1
CO,123,58,1
TERPROD2,126,58,1
TERPROD1,133,58,-1
HO2,149,58,1
CH3COCH3,122,59,0.5
CO,123,59,1.7
TERPROD2,126,59,-1
RO2,134,59,0.15
CH2O,146,59,0.68
HO2,149,59,1.2
CH3CO3,152,59,0.65
BIGALD2,44,60,0.2
BIGALD1,69,60,0.2
TOLOOH,89,60,-1
BIGALD3,91,60,0.2
GLYOXAL,109,60,0.6
CH3COCHO,138,60,0.4
OH,148,60,1
HO2,149,60,1
XOOH,33,61,-1
OH,148,61,1
BIGALD2,44,62,0.2
BIGALD4,57,62,0.21
BIGALD1,69,62,0.06
BIGALD3,91,62,0.15
XYLENOOH,98,62,-1
GLYOXAL,109,62,0.34
CH3COCHO,138,62,0.54
OH,148,62,1
HO2,149,62,1
XYLOLOOH,63,63,-1
GLYOXAL,109,63,0.17
CH3COCHO,138,63,0.51
OH,148,63,1
HO2,149,63,1
H2,82,64,0.05
CH4,87,64,-1
O1D,106,64,-1
CH2O,146,64,0.25
OH,148,64,0.75
HO2,149,64,0.4
CH3O2,155,64,0.75
H2,82,65,-1
O1D,106,65,-1
OH,148,65,1
HO2,149,65,1
O1D,106,66,-1
OH,148,66,2
O1D,106,67,-1
O,135,67,1
O1D,106,68,-1
O,135,68,1
O1D,106,69,-1
O3,151,69,-1
O,135,70,-1
O3,151,70,-1
O,135,71,-2
O,135,72,-1
O3,151,72,1
H2,82,73,-1
O,135,73,-1
OH,148,73,1
HO2,149,73,1
H2O2,39,74,-1
O,135,74,-1
OH,148,74,1
HO2,149,74,1
O,135,75,-1
OH,148,75,1
HO2,149,75,-1
OH,148,76,1
HO2,149,76,-1
O3,151,76,-1
H2,82,77,-1
OH,148,77,-1
HO2,149,77,1
H2O2,39,78,-1
OH,148,78,-1
HO2,149,78,1
OH,148,79,-1
HO2,149,79,-1
O,135,80,-1
OH,148,80,-1
HO2,149,80,1
OH,148,81,-1
HO2,149,81,1
O3,151,81,-1
O,135,82,1
OH,148,82,-2
H2O2,39,83,1
OH,148,83,-2
H2O2,39,84,1
HO2,149,84,-2
HO2NO2,45,85,-1
NO2,147,85,1
