original r_id,# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
R251,168,274,R274,DELTA_C,0.082
R253,215,275,ETEP,R275,-1.0
R253,27,275,MO2,R275,-1.0
R253,190,275,R275,HO2,1.0
R253,92,275,R275,HCHO,1.95
R253,193,275,R275,ALD,0.15
R253,227,275,R275,MOH,0.25
R253,49,275,R275,ETEG,0.25
R253,168,275,R275,DELTA_C,-0.15
R254,171,276,OLTP,R276,-1.0
R254,27,276,MO2,R276,-1.0
R254,190,276,R276,HO2,1.0
R254,92,276,R276,HCHO,1.5
R254,193,276,R276,ALD,0.705
R254,191,276,R276,KET,0.045
R254,227,276,R276,MOH,0.25
R254,142,276,R276,ROH,0.25
R254,168,276,R276,DELTA_C,-0.84
R255,166,277,OLIP,R277,-1.0
R255,27,277,MO2,R277,-1.0
R255,190,277,R277,HO2,1.0
R255,92,277,R277,HCHO,0.75
R255,193,277,R277,ALD,1.28
R255,191,277,R277,KET,0.218
R255,227,277,R277,MOH,0.25
R255,142,277,R277,ROH,0.25
R255,168,277,R277,DELTA_C,-0.68
ROCARO35,138,278,BENP,R278,-1.0
ROCARO35,27,278,MO2,R278,-1.0
ROCARO35,92,278,R278,HCHO,0.68
ROCARO35,190,278,R278,HO2,1.37
ROCARO35,227,278,R278,MOH,0.32
ROCARO35,52,278,R278,BALD,0.0
ROCARO35,186,278,R278,GLY,1.0
ROCARO35,183,278,R278,FURANONE,0.5
ROCARO35,110,278,R278,DCB2,0.25
ROCARO35,117,278,R278,DCB3,0.25
ROCARO35,168,278,R278,DELTA_C,-0.5
ROCARO45,68,279,TOLP,R279,-1.0
ROCARO45,27,279,MO2,R279,-1.0
ROCARO45,92,279,R279,HCHO,0.68
ROCARO45,190,279,R279,HO2,1.2846
ROCARO45,227,279,R279,MOH,0.32
ROCARO45,52,279,R279,BALD,0.0854
ROCARO45,186,279,R279,GLY,0.5488
ROCARO45,108,279,R279,MGLY,0.3659
ROCARO45,183,279,R279,FURANONE,0.3659
ROCARO45,129,279,R279,DCB1,0.5488
ROCARO45,168,279,R279,DELTA_C,-0.0007
ROCARO55,148,280,XYLP,R280,-1.0
ROCARO55,27,280,MO2,R280,-1.0
ROCARO55,92,280,R280,HCHO,0.68
ROCARO55,190,280,R280,HO2,1.3218
ROCARO55,227,280,R280,MOH,0.32
ROCARO55,52,280,R280,BALD,0.0482
ROCARO55,186,280,R280,GLY,0.7043
ROCARO55,108,280,R280,MGLY,0.2475
ROCARO55,183,280,R280,FURANONE,0.3522
ROCARO55,110,280,R280,DCB2,0.5996
ROCARO55,168,280,R280,DELTA_C,0.5051
ROCARO65,67,281,EBZP,R281,-1.0
ROCARO65,27,281,MO2,R281,-1.0
ROCARO65,92,281,R281,HCHO,0.68
ROCARO65,190,281,R281,HO2,1.2846
ROCARO65,227,281,R281,MOH,0.32
ROCARO65,52,281,R281,BALD,0.0854
ROCARO65,186,281,R281,GLY,0.5488
ROCARO65,108,281,R281,MGLY,0.3659
ROCARO65,183,281,R281,FURANONE,0.4573
ROCARO65,110,281,R281,DCB2,0.4573
ROCARO65,168,281,R281,DELTA_C,0.6339
R264,11,282,ISOP,R282,-1.0
R264,27,282,MO2,R282,-1.0
R264,190,282,R282,HO2,1.0
R264,92,282,R282,HCHO,1.31
R264,140,282,R282,MACR,0.159
R264,115,282,R282,MVK,0.25
R264,227,282,R282,MOH,0.25
R264,142,282,R282,ROH,0.25
R264,193,282,R282,ALD,0.023
R264,186,282,R282,GLY,0.018
R264,59,282,R282,HKET,0.016
R264,168,282,R282,DELTA_C,1.901
R265,19,283,APIP1,R283,-1.0
R265,27,283,MO2,R283,-1.0
R265,92,283,R283,HCHO,1.0295
R265,174,283,R283,LIMAL,0.2205
R265,156,283,R283,PINAL,0.273
R265,193,283,R283,ALD,0.2385
R265,79,283,R283,OPB,0.0845
R265,227,283,R283,MOH,0.1105
R265,191,283,R283,KET,0.1835
R265,5,283,R283,ACT,0.067
R265,190,283,R283,HO2,1.279
R265,168,283,R283,DELTA_C,2.246
TRP29,163,284,APIP2,R284,-1.0
TRP29,27,284,MO2,R284,-1.0
TRP29,190,284,R284,HO2,1.0
TRP29,92,284,R284,HCHO,0.75
TRP29,227,284,R284,MOH,0.25
TRP29,137,284,R284,VHOM,1.0
TRP30,114,285,APINP1,R285,-1.0
TRP30,27,285,MO2,R285,-1.0
TRP30,179,285,R285,VTRPN,0.341
TRP30,92,285,R285,HCHO,0.964
TRP30,227,285,R285,MOH,0.043
TRP30,190,285,R285,HO2,0.918
TRP30,58,285,R285,NO2,0.659
TRP30,156,285,R285,PINAL,0.533
TRP30,191,285,R285,KET,0.007
TRP30,193,285,R285,ALD,0.119
TRP30,168,285,R285,DELTA_C,0.861
TRP31,181,286,APINP2,R286,-1.0
TRP31,27,286,MO2,R286,-1.0
TRP31,190,286,R286,HO2,0.75
TRP31,58,286,R286,NO2,0.75
TRP31,227,286,R286,MOH,0.25
TRP31,92,286,R286,HCHO,0.75
TRP31,137,286,R286,VHOM,1.0
TRP31,17,286,R286,DELTA_N,0.25
R266,35,287,LIMP1,R287,-1.0
R266,27,287,MO2,R287,-1.0
R266,227,287,R287,MOH,0.25
R266,174,287,R287,LIMAL,1.0
R266,92,287,R287,HCHO,1.03
R266,190,287,R287,HO2,1.0
R266,168,287,R287,DELTA_C,-0.28
TRP32,105,288,LIMP2,R288,-1.0
TRP32,27,288,MO2,R288,-1.0
TRP32,190,288,R288,HO2,1.0
TRP32,92,288,R288,HCHO,0.75
TRP32,227,288,R288,MOH,0.25
TRP32,137,288,R288,VHOM,1.0
TRP33,194,289,LIMNP1,R289,-1.0
TRP33,27,289,MO2,R289,-1.0
TRP33,179,289,R289,VTRPN,0.69
TRP33,92,289,R289,HCHO,0.91
TRP33,227,289,R289,MOH,0.09
TRP33,190,289,R289,HO2,1.01
TRP33,174,289,R289,LIMAL,0.31
TRP33,58,289,R289,NO2,0.31
TRP34,56,290,LIMNP2,R290,-1.0
TRP34,27,290,MO2,R290,-1.0
TRP34,190,290,R290,HO2,0.75
TRP34,92,290,R290,HCHO,0.75
TRP34,58,290,R290,NO2,0.75
TRP34,227,290,R290,MOH,0.25
TRP34,137,290,R290,VHOM,1.0
TRP34,17,290,R290,DELTA_N,0.25
R267,31,291,ACO3,R291,-1.0
R267,27,291,MO2,R291,-1.0
R267,190,291,R291,HO2,0.9
R267,27,291,R291,MO2,0.9
R267,210,291,R291,CO2,0.9
R267,92,291,R291,HCHO,1.0
R267,180,291,R291,ORA2,0.1
R268,176,292,RCO3,R292,-1.0
R268,27,292,MO2,R292,-1.0
R268,190,292,R292,HO2,0.9
R268,27,292,R292,MO2,0.9
R268,210,292,R292,CO2,0.4
R268,92,292,R292,HCHO,1.0
R268,180,292,R292,ORA2,0.1
R268,168,292,R292,DELTA_C,1.5
R269,211,293,ACTP,R293,-1.0
R269,27,293,MO2,R293,-1.0
R269,190,293,R293,HO2,0.5
R269,31,293,R293,ACO3,0.5
R269,92,293,R293,HCHO,1.5
R269,227,293,R293,MOH,0.25
R269,142,293,R293,ROH,0.25
R269,180,293,R293,ORA2,0.125
R269,168,293,R293,DELTA_C,0.25
R270,205,294,MEKP,R294,-1.0
R270,27,294,MO2,R294,-1.0
R270,190,294,R294,HO2,0.834
R270,92,294,R294,HCHO,1.0
R270,129,294,R294,DCB1,0.334
R270,227,294,R294,MOH,0.25
R270,142,294,R294,ROH,0.25
R270,168,294,R294,DELTA_C,1.33
R271,150,295,KETP,R295,-1.0
R271,27,295,MO2,R295,-1.0
R271,190,295,R295,HO2,1.0
R271,92,295,R295,HCHO,0.75
R271,129,295,R295,DCB1,0.5
R271,227,295,R295,MOH,0.25
R271,142,295,R295,ROH,0.25
R271,168,295,R295,DELTA_C,1.75
R272,84,296,MACP,R296,-1.0
R272,27,296,MO2,R296,-1.0
R272,190,296,R296,HO2,0.5
R272,31,296,R296,ACO3,0.269
R272,99,296,R296,CO,0.5
R272,92,296,R296,HCHO,1.66
R272,180,296,R296,ORA2,0.067
R272,27,296,R296,MO2,0.25
R272,227,296,R296,MOH,0.25
R272,142,296,R296,ROH,0.25
R272,168,296,R296,DELTA_C,0.918
R273,173,297,MCP,R297,-1.0
R273,27,297,MO2,R297,-1.0
R273,190,297,R297,HO2,1.0
R273,92,297,R297,HCHO,1.5
R273,59,297,R297,HKET,0.5
R273,227,297,R297,MOH,0.25
R273,142,297,R297,ROH,0.25
R273,168,297,R297,DELTA_C,1.0
R274,69,298,MVKP,R298,-1.0
R274,27,298,MO2,R298,-1.0
R274,190,298,R298,HO2,1.0
R274,31,298,R298,ACO3,1.16
R274,112,298,R298,XO2,1.16
R274,92,298,R298,HCHO,1.5
R274,193,298,R298,ALD,1.75
R274,108,298,R298,MGLY,0.5
R274,227,298,R298,MOH,0.25
R274,142,298,R298,ROH,0.25
R274,180,298,R298,ORA2,0.292
R274,168,298,R298,DELTA_C,-7.154
R275,76,299,UALP,R299,-1.0
R275,27,299,MO2,R299,-1.0
R275,190,299,R299,HO2,1.0
R275,99,299,R299,CO,0.305
R275,92,299,R299,HCHO,0.773
R275,193,299,R299,ALD,0.203
R275,191,299,R299,KET,0.525
R275,186,299,R299,GLY,0.135
R275,108,299,R299,MGLY,0.105
R275,227,299,R299,MOH,0.25
R275,142,299,R299,ROH,0.25
R275,168,299,R299,DELTA_C,0.103
R276,93,300,BALP,R300,-1.0
R276,27,300,MO2,R300,-1.0
R276,190,300,R300,HO2,1.0
R276,91,300,R300,BAL1,1.0
R276,92,300,R300,HCHO,1.0
R276,210,300,R300,CO2,1.0
R277,91,301,BAL1,R301,-1.0
R277,27,301,MO2,R301,-1.0
R277,190,301,R301,HO2,1.0
R277,131,301,R301,BAL2,1.0
R277,92,301,R301,HCHO,1.0
R278,203,302,ADDC,R302,-1.0
R278,27,302,MO2,R302,-1.0
R278,190,302,R302,HO2,2.0
R278,92,302,R302,HCHO,1.0
R278,59,302,R302,HKET,0.32
R278,186,302,R302,GLY,0.68
R278,126,302,R302,OP2,0.68
R278,168,302,R302,DELTA_C,3.32
R279,182,303,MCTP,R303,-1.0
R279,27,303,MO2,R303,-1.0
R279,190,303,R303,HO2,1.0
R279,220,303,R303,MCTO,1.0
R279,92,303,R303,HCHO,1.0
R280,21,304,ORAP,R304,-1.0
R280,27,304,MO2,R304,-1.0
R280,92,304,R304,HCHO,1.0
R280,190,304,R304,HO2,1.0
R280,186,304,R304,GLY,1.0
R281,82,305,OLNN,R305,-1.0
R281,27,305,MO2,R305,-1.0
R281,190,305,R305,HO2,2.0
R281,92,305,R305,HCHO,1.0
R281,206,305,R305,ONIT,1.0
R281,168,305,R305,DELTA_C,-1.0
R282,127,306,OLND,R306,-1.0
R282,27,306,MO2,R306,-1.0
R282,190,306,R306,HO2,0.5
R282,58,306,R306,NO2,0.5
R282,92,306,R306,HCHO,0.965
R282,193,306,R306,ALD,0.93
R282,191,306,R306,KET,0.348
R282,227,306,R306,MOH,0.25
R282,142,306,R306,ROH,0.25
R282,206,306,R306,ONIT,0.5
R282,168,306,R306,DELTA_C,-4.495
R283,107,307,ADCN,R307,-1.0
R283,27,307,MO2,R307,-1.0
R283,190,307,R307,HO2,1.0
R283,58,307,R307,NO2,0.7
R283,92,307,R307,HCHO,1.0
R283,186,307,R307,GLY,0.7
R283,126,307,R307,OP2,0.7
R283,206,307,R307,ONIT,0.3
R283,168,307,R307,DELTA_C,2.0
R284,112,308,XO2,R308,-1.0
R284,27,308,MO2,R308,-1.0
R284,190,308,R308,HO2,1.0
R284,92,308,R308,HCHO,1.0
R285,33,309,ETHP,R309,-1.0
R285,31,309,ACO3,R309,-1.0
R285,190,309,R309,HO2,0.5
R285,27,309,R309,MO2,0.5
R285,189,309,R309,ACD,1.0
R285,180,309,R309,ORA2,0.5
R285,210,309,R309,CO2,0.5
R286,118,310,HC3P,R310,-1.0
R286,31,310,ACO3,R310,-1.0
R286,190,310,R310,HO2,0.394
R286,27,310,R310,MO2,0.58
R286,33,310,R310,ETHP,0.026
R286,112,310,R310,XO2,0.026
R286,92,310,R310,HCHO,0.13
R286,193,310,R310,ALD,0.273
R286,191,310,R310,KET,0.662
R286,186,310,R310,GLY,0.067
R286,180,310,R310,ORA2,0.5
R286,210,310,R310,CO2,0.5
R286,168,310,R310,DELTA_C,-1.525
R287,151,311,HC5P,R311,-1.0
R287,31,311,ACO3,R311,-1.0
R287,190,311,R311,HO2,0.342
R287,27,311,R311,MO2,0.518
R287,33,311,R311,ETHP,0.14
R287,112,311,R311,XO2,0.191
R287,92,311,R311,HCHO,0.042
R287,193,311,R311,ALD,0.381
R287,191,311,R311,KET,0.824
R287,180,311,R311,ORA2,0.5
R287,210,311,R311,CO2,0.5
R287,168,311,R311,DELTA_C,-0.603
R289,215,312,ETEP,R312,-1.0
R289,31,312,ACO3,R312,-1.0
R289,190,312,R312,HO2,0.5
R289,27,312,R312,MO2,0.5
R289,92,312,R312,HCHO,1.6
R289,189,312,R312,ACD,0.2
R289,180,312,R312,ORA2,0.5
R289,210,312,R312,CO2,0.5
R290,171,313,OLTP,R313,-1.0
R290,31,313,ACO3,R313,-1.0
R290,190,313,R313,HO2,0.5
R290,27,313,R313,MO2,0.5
R290,92,313,R313,HCHO,1.0
R290,193,313,R313,ALD,0.94
R290,191,313,R313,KET,0.06
R290,180,313,R313,ORA2,0.5
R290,210,313,R313,CO2,0.5
R290,168,313,R313,DELTA_C,-1.12
R291,166,314,OLIP,R314,-1.0
R291,31,314,ACO3,R314,-1.0
R291,190,314,R314,HO2,0.5
R291,27,314,R314,MO2,0.5
R291,193,314,R314,ALD,1.71
R291,191,314,R314,KET,0.29
R291,180,314,R314,ORA2,0.5
R291,210,314,R314,CO2,0.5
R291,168,314,R314,DELTA_C,-1.58
ROCARO36,138,315,BENP,R315,-1.0
ROCARO36,31,315,ACO3,R315,-1.0
ROCARO36,27,315,R315,MO2,0.7
ROCARO36,190,315,R315,HO2,1.0
ROCARO36,180,315,R315,ORA2,0.3
ROCARO36,52,315,R315,BALD,0.0
ROCARO36,186,315,R315,GLY,1.0
ROCARO36,183,315,R315,FURANONE,0.5
ROCARO36,110,315,R315,DCB2,0.25
ROCARO36,117,315,R315,DCB3,0.25
ROCARO36,210,315,R315,CO2,0.7
ROCARO36,168,315,R315,DELTA_C,-0.5
ROCARO46,68,316,TOLP,R316,-1.0
ROCARO46,31,316,ACO3,R316,-1.0
ROCARO46,27,316,R316,MO2,0.7
ROCARO46,190,316,R316,HO2,0.9146
ROCARO46,180,316,R316,ORA2,0.3
ROCARO46,52,316,R316,BALD,0.0854
ROCARO46,186,316,R316,GLY,0.5488
ROCARO46,108,316,R316,MGLY,0.3659
ROCARO46,183,316,R316,FURANONE,0.3659
ROCARO46,129,316,R316,DCB1,0.5488
ROCARO46,210,316,R316,CO2,0.7
ROCARO46,168,316,R316,DELTA_C,-0.0007
ROCARO56,148,317,XYLP,R317,-1.0
ROCARO56,31,317,ACO3,R317,-1.0
ROCARO56,27,317,R317,MO2,0.7
ROCARO56,190,317,R317,HO2,0.9518
ROCARO56,180,317,R317,ORA2,0.3
ROCARO56,52,317,R317,BALD,0.0482
ROCARO56,186,317,R317,GLY,0.7043
ROCARO56,108,317,R317,MGLY,0.2475
ROCARO56,183,317,R317,FURANONE,0.3522
ROCARO56,110,317,R317,DCB2,0.5996
ROCARO56,210,317,R317,CO2,0.7
ROCARO56,168,317,R317,DELTA_C,0.5051
ROCARO66,67,318,EBZP,R318,-1.0
ROCARO66,31,318,ACO3,R318,-1.0
ROCARO66,27,318,R318,MO2,0.7
ROCARO66,190,318,R318,HO2,0.9146
ROCARO66,180,318,R318,ORA2,0.3
ROCARO66,52,318,R318,BALD,0.0854
ROCARO66,186,318,R318,GLY,0.5488
ROCARO66,108,318,R318,MGLY,0.3659
ROCARO66,183,318,R318,FURANONE,0.4573
ROCARO66,110,318,R318,DCB2,0.4573
ROCARO66,210,318,R318,CO2,0.7
ROCARO66,168,318,R318,DELTA_C,0.6339
R300,11,319,ISOP,R319,-1.0
R300,31,319,ACO3,R319,-1.0
R300,190,319,R319,HO2,0.5
R300,27,319,R319,MO2,0.5
R300,92,319,R319,HCHO,1.048
R300,140,319,R319,MACR,0.219
R300,115,319,R319,MVK,0.305
R300,180,319,R319,ORA2,0.5
R300,210,319,R319,CO2,0.5
R300,168,319,R319,DELTA_C,1.856
R301,19,320,APIP1,R320,-1.0
R301,31,320,ACO3,R320,-1.0
R301,156,320,R320,PINAL,0.2535
R301,193,320,R320,ALD,0.371
R301,79,320,R320,OPB,0.091
R301,5,320,R320,ACT,0.1165
R301,174,320,R320,LIMAL,0.1725
R301,92,320,R320,HCHO,0.403
R301,190,320,R320,HO2,1.0
R301,27,320,R320,MO2,1.0
R301,191,320,R320,KET,0.112
R301,210,320,R320,CO2,0.5
R301,168,320,R320,DELTA_C,2.9045
TRP35,163,321,APIP2,R321,-1.0
TRP35,31,321,ACO3,R321,-1.0
TRP35,185,321,R321,HO,0.5
TRP35,27,321,R321,MO2,0.5
TRP35,180,321,R321,ORA2,0.5
TRP35,137,321,R321,VHOM,1.0
TRP35,210,321,R321,CO2,0.5
TRP36,114,322,APINP1,R322,-1.0
TRP36,31,322,ACO3,R322,-1.0
TRP36,58,322,R322,NO2,0.825
TRP36,156,322,R322,PINAL,0.65
TRP36,27,322,R322,MO2,1.0
TRP36,179,322,R322,VTRPN,0.175
TRP36,193,322,R322,ALD,0.168
TRP36,191,322,R322,KET,0.007
TRP36,92,322,R322,HCHO,0.007
TRP36,190,322,R322,HO2,0.175
TRP36,210,322,R322,CO2,0.5
TRP36,168,322,R322,DELTA_C,1.704
TRP37,181,323,APINP2,R323,-1.0
TRP37,31,323,ACO3,R323,-1.0
TRP37,58,323,R323,NO2,0.5
TRP37,27,323,R323,MO2,0.5
TRP37,180,323,R323,ORA2,0.5
TRP37,137,323,R323,VHOM,1.0
TRP37,210,323,R323,CO2,0.5
TRP37,17,323,R323,DELTA_N,0.5
R302,35,324,LIMP1,R324,-1.0
R302,31,324,ACO3,R324,-1.0
R302,174,324,R324,LIMAL,1.0
R302,92,324,R324,HCHO,0.56
R302,190,324,R324,HO2,1.0
R302,27,324,R324,MO2,1.0
R302,210,324,R324,CO2,1.0
R302,168,324,R324,DELTA_C,-0.56
TRP38,105,325,LIMP2,R325,-1.0
TRP38,31,325,ACO3,R325,-1.0
TRP38,185,325,R325,HO,0.5
TRP38,27,325,R325,MO2,0.5
TRP38,180,325,R325,ORA2,0.5
TRP38,137,325,R325,VHOM,1.0
TRP38,210,325,R325,CO2,0.5
TRP39,194,326,LIMNP1,R326,-1.0
TRP39,31,326,ACO3,R326,-1.0
TRP39,27,326,R326,MO2,1.0
TRP39,58,326,R326,NO2,0.46
TRP39,174,326,R326,LIMAL,0.46
TRP39,179,326,R326,VTRPN,0.54
TRP39,190,326,R326,HO2,0.54
TRP39,210,326,R326,CO2,1.0
TRP39,168,326,R326,DELTA_C,0.0
TRP40,56,327,LIMNP2,R327,-1.0
TRP40,31,327,ACO3,R327,-1.0
TRP40,27,327,R327,MO2,0.5
TRP40,58,327,R327,NO2,0.5
TRP40,180,327,R327,ORA2,0.5
TRP40,137,327,R327,VHOM,1.0
TRP40,210,327,R327,CO2,0.5
TRP40,17,327,R327,DELTA_N,0.5
R303,31,328,ACO3,R328,-1.0
R303,31,328,ACO3,R328,-1.0
R303,27,328,R328,MO2,2.0
R303,210,328,R328,CO2,2.0
R304,176,329,RCO3,R329,-1.0
R304,31,329,ACO3,R329,-1.0
R304,27,329,R329,MO2,1.0
R304,33,329,R329,ETHP,1.0
R304,210,329,R329,CO2,2.0
R305,211,330,ACTP,R330,-1.0
R305,31,330,ACO3,R330,-1.0
R305,27,330,R330,MO2,0.5
R305,31,330,R330,ACO3,0.5
R305,92,330,R330,HCHO,1.0
R305,180,330,R330,ORA2,0.75
R305,210,330,R330,CO2,0.5
R305,168,330,R330,DELTA_C,0.5
R306,205,331,MEKP,R331,-1.0
R306,31,331,ACO3,R331,-1.0
R306,190,331,R331,HO2,0.33
R306,27,331,R331,MO2,0.5
R306,92,331,R331,HCHO,0.33
R306,129,331,R331,DCB1,0.334
R306,180,331,R331,ORA2,0.5
R306,210,331,R331,CO2,0.5
R306,168,331,R331,DELTA_C,2.0
R307,150,332,KETP,R332,-1.0
R307,31,332,ACO3,R332,-1.0
R307,190,332,R332,HO2,0.5
R307,27,332,R332,MO2,0.5
R307,129,332,R332,DCB1,0.5
R307,180,332,R332,ORA2,0.5
R307,210,332,R332,CO2,0.5
R307,168,332,R332,DELTA_C,2.5
R308,84,333,MACP,R333,-1.0
R308,31,333,ACO3,R333,-1.0
R308,180,333,R333,ORA2,0.635
R308,27,333,R333,MO2,0.5
R308,31,333,R333,ACO3,0.269
R308,99,333,R333,CO,0.5
R308,92,333,R333,HCHO,1.0
R308,210,333,R333,CO2,0.5
R308,168,333,R333,DELTA_C,1.692
R309,173,334,MCP,R334,-1.0
R309,31,334,ACO3,R334,-1.0
R309,190,334,R334,HO2,0.5
R309,92,334,R334,HCHO,1.0
R309,59,334,R334,HKET,0.5
R309,27,334,R334,MO2,0.5
R309,180,334,R334,ORA2,0.5
R309,210,334,R334,CO2,0.5
R309,168,334,R334,DELTA_C,1.5
R310,69,335,MVKP,R335,-1.0
R310,31,335,ACO3,R335,-1.0
R310,190,335,R335,HO2,0.5
R310,27,335,R335,MO2,0.5
R310,31,335,R335,ACO3,1.16
R310,112,335,R335,XO2,1.16
R310,92,335,R335,HCHO,1.0
R310,193,335,R335,ALD,2.3
R310,108,335,R335,MGLY,0.5
R310,180,335,R335,ORA2,1.083
R310,210,335,R335,CO2,0.5
R310,168,335,R335,DELTA_C,-8.886
R311,76,336,UALP,R336,-1.0
R311,31,336,ACO3,R336,-1.0
R311,190,336,R336,HO2,0.5
R311,27,336,R336,MO2,0.5
R311,99,336,R336,CO,0.5
R311,92,336,R336,HCHO,0.03
R311,193,336,R336,ALD,0.27
R311,191,336,R336,KET,0.7
R311,186,336,R336,GLY,0.18
R311,108,336,R336,MGLY,0.105
R311,180,336,R336,ORA2,0.5
R311,210,336,R336,CO2,0.5
R311,168,336,R336,DELTA_C,-0.515
R312,93,337,BALP,R337,-1.0
R312,31,337,ACO3,R337,-1.0
R312,27,337,R337,MO2,1.0
R312,91,337,R337,BAL1,1.0
R312,210,337,R337,CO2,2.0
R313,91,338,BAL1,R338,-1.0
R313,31,338,ACO3,R338,-1.0
R313,27,338,R338,MO2,1.0
R313,131,338,R338,BAL2,1.0
R313,210,338,R338,CO2,1.0
R314,203,339,ADDC,R339,-1.0
R314,31,339,ACO3,R339,-1.0
R314,190,339,R339,HO2,2.0
R314,27,339,R339,MO2,1.0
R314,59,339,R339,HKET,0.32
R314,186,339,R339,GLY,0.68
R314,126,339,R339,OP2,0.68
R314,210,339,R339,CO2,1.0
R314,168,339,R339,DELTA_C,3.32
R315,182,340,MCTP,R340,-1.0
R315,31,340,ACO3,R340,-1.0
R315,190,340,R340,HO2,1.0
R315,27,340,R340,MO2,1.0
R315,220,340,R340,MCTO,1.0
R315,210,340,R340,CO2,1.0
R316,21,341,ORAP,R341,-1.0
R316,31,341,ACO3,R341,-1.0
R316,27,341,R341,MO2,1.0
R316,186,341,R341,GLY,1.0
R316,210,341,R341,CO2,1.0
R317,82,342,OLNN,R342,-1.0
R317,31,342,ACO3,R342,-1.0
R317,190,342,R342,HO2,1.0
R317,27,342,R342,MO2,1.0
R317,206,342,R342,ONIT,1.0
R318,127,343,OLND,R343,-1.0
R318,31,343,ACO3,R343,-1.0
R318,27,343,R343,MO2,0.5
R318,58,343,R343,NO2,1.0
R318,92,343,R343,HCHO,0.287
R318,193,343,R343,ALD,1.24
R318,191,343,R343,KET,0.464
R318,180,343,R343,ORA2,0.5
R318,210,343,R343,CO2,0.5
R318,168,343,R343,DELTA_C,-3.327
R319,107,344,ADCN,R344,-1.0
R319,31,344,ACO3,R344,-1.0
R319,190,344,R344,HO2,1.0
R319,27,344,R344,MO2,1.0
R319,58,344,R344,NO2,0.7
R319,186,344,R344,GLY,0.7
R319,126,344,R344,OP2,0.7
R319,206,344,R344,ONIT,0.3
R319,210,344,R344,CO2,1.0
R319,168,344,R344,DELTA_C,2.0
R320,112,345,XO2,R345,-1.0
R320,31,345,ACO3,R345,-1.0
R320,27,345,R345,MO2,1.0
R320,210,345,R345,CO2,1.0
R321,176,346,RCO3,R346,-1.0
R321,176,346,RCO3,R346,-1.0
R321,33,346,R346,ETHP,2.0
R321,210,346,R346,CO2,2.0
R322,27,347,MO2,R347,-1.0
R322,124,347,NO3,R347,-1.0
R322,190,347,R347,HO2,1.0
R322,92,347,R347,HCHO,1.0
R322,58,347,R347,NO2,1.0
R323,33,348,ETHP,R348,-1.0
R323,124,348,NO3,R348,-1.0
R323,190,348,R348,HO2,1.0
R323,58,348,R348,NO2,1.0
R323,189,348,R348,ACD,1.0
R324,118,349,HC3P,R349,-1.0
R324,124,349,NO3,R349,-1.0
R324,190,349,R349,HO2,0.254
R324,27,349,R349,MO2,0.14
R324,112,349,R349,XO2,0.092
R324,33,349,R349,ETHP,0.503
R324,58,349,R349,NO2,1.0
R324,189,349,R349,ACD,0.519
R324,193,349,R349,ALD,0.147
R324,96,349,R349,MEK,0.075
R324,5,349,R349,ACT,0.095
R324,168,349,R349,DELTA_C,-0.21
R325,151,350,HC5P,R350,-1.0
R325,124,350,NO3,R350,-1.0
R325,190,350,R350,HO2,0.488
R325,27,350,R350,MO2,0.055
R325,33,350,R350,ETHP,0.28
R325,112,350,R350,XO2,0.485
R325,58,350,R350,NO2,1.0
R325,92,350,R350,HCHO,0.024
R325,193,350,R350,ALD,0.241
R325,191,350,R350,KET,0.06
R325,96,350,R350,MEK,0.063
R325,5,350,R350,ACT,0.247
R325,189,350,R350,ACD,0.048
R325,59,350,R350,HKET,0.275
R325,168,350,R350,DELTA_C,1.424
R327,215,351,ETEP,R351,-1.0
R327,124,351,NO3,R351,-1.0
R327,190,351,R351,HO2,1.0
R327,58,351,R351,NO2,1.0
R327,92,351,R351,HCHO,1.6
R327,193,351,R351,ALD,0.2
R327,168,351,R351,DELTA_C,-0.2
R328,171,352,OLTP,R352,-1.0
R328,124,352,NO3,R352,-1.0
R328,193,352,R352,ALD,0.47
R328,92,352,R352,HCHO,0.79
R328,190,352,R352,HO2,0.79
R328,58,352,R352,NO2,1.0
R328,96,352,R352,MEK,0.18
R328,189,352,R352,ACD,0.02
R328,5,352,R352,ACT,0.09
R328,168,352,R352,DELTA_C,-0.23
R329,166,353,OLIP,R353,-1.0
R329,124,353,NO3,R353,-1.0
R329,190,353,R353,HO2,0.86
R329,193,353,R353,ALD,0.72
R329,191,353,R353,KET,0.11
R329,58,353,R353,NO2,1.0
R329,5,353,R353,ACT,0.2
R329,189,353,R353,ACD,0.85
R329,59,353,R353,HKET,0.04
R329,168,353,R353,DELTA_C,-0.13
ROCARO34,138,354,BENP,R354,-1.0
ROCARO34,124,354,NO3,R354,-1.0
ROCARO34,58,354,R354,NO2,1.0
ROCARO34,190,354,R354,HO2,1.0
ROCARO34,52,354,R354,BALD,0.0
ROCARO34,186,354,R354,GLY,1.0
ROCARO34,183,354,R354,FURANONE,0.5
ROCARO34,110,354,R354,DCB2,0.25
ROCARO34,117,354,R354,DCB3,0.25
ROCARO34,168,354,R354,DELTA_C,-0.5
ROCARO44,68,355,TOLP,R355,-1.0
ROCARO44,124,355,NO3,R355,-1.0
ROCARO44,58,355,R355,NO2,1.0
ROCARO44,190,355,R355,HO2,0.9146
ROCARO44,52,355,R355,BALD,0.0854
ROCARO44,186,355,R355,GLY,0.5488
ROCARO44,108,355,R355,MGLY,0.3659
