original r_id,species_index,reaction_index,source,target,directed_stoichiometric_value
R036,56,46,R46,NO2,1.0
R037,209,47,O3,R47,-1.0
R037,56,47,NO2,R47,-1.0
R037,122,47,R47,NO3,1.0
R038,46,48,O3P,R48,-1.0
R038,222,48,O2,R48,-1.0
R038,79,48,M,R48,-1.0
R038,209,48,R48,O3,1.0
R039,46,49,O3P,R49,-1.0
R039,209,49,O3,R49,-1.0
R039,1,49,R49,,1.0
R040,24,50,O1D,R50,-1.0
R040,222,50,O2,R50,-1.0
R040,46,50,R50,O3P,1.0
R041,24,51,O1D,R51,-1.0
R041,123,51,N2,R51,-1.0
R041,46,51,R51,O3P,1.0
R042,24,52,O1D,R52,-1.0
R042,9,52,H2O,R52,-1.0
R042,182,52,R52,HO,2.0
R043,182,53,HO,R53,-1.0
R043,153,53,H2,R53,-1.0
R043,187,53,R53,HO2,1.0
R044,182,54,HO,R54,-1.0
R044,187,54,HO2,R54,-1.0
R044,1,54,R54,,1.0
R045,187,55,HO2,R55,-1.0
R045,187,55,HO2,R55,-1.0
R045,120,55,R55,H2O2 %3,1.0
R046,187,56,HO2,R56,-1.0
R046,187,56,HO2,R56,-1.0
R046,9,56,H2O,R56,-1.0
R046,111,56,R56,H2O2  %3,1.0
R047,162,57,H2O2,R57,-1.0
R047,182,57,HO,R57,-1.0
R047,187,57,R57,HO2,1.0
R048,204,58,NO,R58,-1.0
R048,46,58,O3P,R58,-1.0
R048,56,58,R58,NO2,1.0
R049,204,59,NO,R59,-1.0
R049,182,59,HO,R59,-1.0
R049,63,59,R59,HONO,1.0
R050,204,60,NO,R60,-1.0
R050,187,60,HO2,R60,-1.0
R050,56,60,R60,NO2,1.0
R050,182,60,R60,HO,1.0
R051,204,61,NO,R61,-1.0
R051,187,61,HO2,R61,-1.0
R051,107,61,R61,HNO3  %3,1.0
R052,204,62,NO,R62,-1.0
R052,204,62,NO,R62,-1.0
R052,222,62,O2,R62,-1.0
R052,56,62,R62,NO2,2.0
R053,63,63,HONO,R63,-1.0
R053,182,63,HO,R63,-1.0
R053,56,63,R63,NO2,1.0
R054,56,64,NO2,R64,-1.0
R054,46,64,O3P,R64,-1.0
R054,204,64,R64,NO,1.0
R055,56,65,NO2,R65,-1.0
R055,46,65,O3P,R65,-1.0
R055,122,65,R65,NO3,1.0
R056,56,66,NO2,R66,-1.0
R056,182,66,HO,R66,-1.0
R056,165,66,R66,HNO3,1.0
R057,165,67,HNO3,R67,-1.0
R057,182,67,HO,R67,-1.0
R057,17,67,R67,NO3  %2,1.0
R058,122,68,NO3,R68,-1.0
R058,182,68,HO,R68,-1.0
R058,187,68,R68,HO2,1.0
R058,56,68,R68,NO2,1.0
R059,122,69,NO3,R69,-1.0
R059,187,69,HO2,R69,-1.0
R059,182,69,R69,HO,0.7
R059,56,69,R69,NO2,0.7
R059,165,69,R69,HNO3,0.3
R060,122,70,NO3,R70,-1.0
R060,204,70,NO,R70,-1.0
R060,56,70,R70,NO2,2.0
R061,122,71,NO3,R71,-1.0
R061,56,71,NO2,R71,-1.0
R061,204,71,R71,NO,1.0
R061,56,71,R71,NO2,1.0
R062,122,72,NO3,R72,-1.0
R062,122,72,NO3,R72,-1.0
R062,56,72,R72,NO2,2.0
R063,122,73,NO3,R73,-1.0
R063,56,73,NO2,R73,-1.0
R063,98,73,R73,N2O5,1.0
R064,98,74,N2O5,R74,-1.0
R064,56,74,R74,NO2,1.0
R064,122,74,R74,NO3,1.0
R065,98,75,N2O5,R75,-1.0
R065,9,75,H2O,R75,-1.0
R065,165,75,R75,HNO3,2.0
R066,56,76,NO2,R76,-1.0
R066,187,76,HO2,R76,-1.0
R066,159,76,R76,HNO4,1.0
R067,159,77,HNO4,R77,-1.0
R067,187,77,R77,HO2,1.0
R067,56,77,R77,NO2,1.0
R068,159,78,HNO4,R78,-1.0
R068,182,78,HO,R78,-1.0
R068,56,78,R78,NO2,1.0
R069,68,79,SO2,R79,-1.0
R069,182,79,HO,R79,-1.0
R069,187,79,R79,HO2,1.0
R069,109,79,R79,SULF,1.0
R069,45,79,R79,SULRXN,1.0
R070,97,80,CO,R80,-1.0
R070,182,80,HO,R80,-1.0
R070,187,80,R80,HO2,1.0
R070,143,80,R80,CO2 %3,1.0
R071,182,81,HO,R81,-1.0
R071,166,81,CH4,R81,-1.0
R071,26,81,R81,MO2,1.0
R072,131,82,ETH,R82,-1.0
R072,182,82,HO,R82,-1.0
R072,32,82,R82,ETHP,1.0
R073,199,83,HC3,R83,-1.0
R073,182,83,HO,R83,-1.0
R073,116,83,R83,HC3P,1.0
R073,52,83,R83,ASOATJ,2.81e-05
R074,160,84,HC5,R84,-1.0
R074,182,84,HO,R84,-1.0
R074,149,84,R84,HC5P,1.0
R074,52,84,R84,ASOATJ,0.00134
R076,13,85,ETE,R85,-1.0
R076,182,85,HO,R85,-1.0
R076,212,85,R85,ETEP,1.0
R077,14,86,OLT,R86,-1.0
R077,182,86,HO,R86,-1.0
R077,168,86,R86,OLTP,1.0
R078,121,87,OLI,R87,-1.0
R078,182,87,HO,R87,-1.0
R078,164,87,R87,OLIP,1.0
R080,214,88,ACE,R88,-1.0
R080,182,88,HO,R88,-1.0
R080,182,88,R88,HO,0.65
R080,187,88,R88,HO2,0.35
R080,97,88,R88,CO,0.35
R080,183,88,R88,GLY,0.65
R080,10,88,R88,ORA1,0.35
ROCARO31,28,89,BEN,R89,-1.0
ROCARO31,182,89,HO,R89,-1.0
ROCARO31,136,89,R89,BENP,0.47
ROCARO31,197,89,R89,PHEN,0.53
ROCARO31,187,89,R89,HO2,0.53
ROCARO41,92,90,TOL,R90,-1.0
