! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : mech_EdgeList.csv
! Equation file        : mech.kpp
! Output root filename : mech
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
163,58,NO3,R58,-1
164,58,R58,HO2,1
97,59,R59,HNO3,0.3
159,59,R59,HO,0.7
162,59,R59,NO2,0.7
163,59,NO3,R59,-1
164,59,HO2,R59,-1
154,60,NO,R60,-1
162,60,R60,NO2,2
163,60,NO3,R60,-1
154,61,R61,NO,1
162,61,NO2,R61,-1
162,61,R61,NO2,1
163,61,NO3,R61,-1
162,62,R62,NO2,2
163,62,NO3,R62,-2
81,63,R63,N2O5,1
162,63,NO2,R63,-1
163,63,NO3,R63,-1
81,64,N2O5,R64,-1
162,64,R64,NO2,1
163,64,R64,NO3,1
81,65,N2O5,R65,-1
97,65,R65,HNO3,2
47,66,R66,HNO4,1
162,66,NO2,R66,-1
164,66,HO2,R66,-1
47,67,HNO4,R67,-1
162,67,R67,NO2,1
164,67,R67,HO2,1
47,68,HNO4,R68,-1
159,68,HO,R68,-1
162,68,R68,NO2,1
7,69,R69,SULF,1
28,69,SO2,R69,-1
159,69,HO,R69,-1
164,69,R69,HO2,1
6,70,R70,CO2,1
87,70,CO,R70,-1
159,70,HO,R70,-1
164,70,R70,HO2,1
156,71,R71,MO2,1
159,71,HO,R71,-1
60,72,ETH,R72,-1
159,72,HO,R72,-1
161,72,R72,ETHP,1
61,73,HC3,R73,-1
159,73,HO,R73,-1
165,73,R73,HC3P,1
39,74,HC5,R74,-1
142,74,R74,HC5P,1
159,74,HO,R74,-1
37,75,HC8,R75,-1
98,75,R75,HKET,0.024
117,75,R75,HC8P,0.951
158,75,R75,ALD,0.025
159,75,HO,R75,-1
164,75,R75,HO2,0.049
90,76,ETE,R76,-1
108,76,R76,ETEP,1
159,76,HO,R76,-1
94,77,OLT,R77,-1
134,77,R77,OLTP,1
159,77,HO,R77,-1
143,78,OLI,R78,-1
144,78,R78,OLIP,1
159,78,HO,R78,-1
89,79,DIEN,R79,-1
144,79,R79,OLIP,1
159,79,HO,R79,-1
38,80,ACE,R80,-1
68,80,R80,ORA1,0.35
87,80,R80,CO,0.35
116,80,R80,GLY,0.65
159,80,HO,R80,-1
159,80,R80,HO,0.65
164,80,R80,HO2,0.35
65,81,R81,PHEN,0.53
88,81,R81,EPX,0.118
100,81,BEN,R81,-1
109,81,R81,BENP,0.352
159,81,HO,R81,-1
164,81,R81,HO2,0.648
49,82,R82,TR2,0.763
63,82,TOL,R82,-1
92,82,R82,TLP1,0.06
120,82,R82,CSL,0.177
159,82,HO,R82,-1
164,82,R82,HO2,0.177
51,83,XYM,R83,-1
55,83,R83,XY2,0.763
93,83,R83,XYL1,0.06
120,83,R83,CSL,0.117
159,83,HO,R83,-1
164,83,R83,HO2,0.177
52,84,XYP,R84,-1
55,84,R84,XY2,0.763
93,84,R84,XYL1,0.06
120,84,R84,CSL,0.117
159,84,HO,R84,-1
164,84,R84,HO2,0.177
50,85,XYO,R85,-1
56,85,R85,XYO2,0.763
93,85,R85,XYL1,0.06
120,85,R85,CSL,0.177
159,85,HO,R85,-1
164,85,R85,HO2,0.177
86,86,ISO,R86,-1
127,86,R86,ISOP,1
159,86,HO,R86,-1
74,87,API,R87,-1
132,87,R87,APIP,1
159,87,HO,R87,-1
83,88,LIM,R88,-1
121,88,R88,LIMP,1
159,88,HO,R88,-1
87,89,R89,CO,1
151,89,HCHO,R89,-1
159,89,HO,R89,-1
164,89,R89,HO2,1
150,90,ACD,R90,-1
159,90,HO,R90,-1
166,90,R90,ACO3,1
136,91,R91,RCO3,1
158,91,ALD,R91,-1
159,91,HO,R91,-1
96,92,ACT,R92,-1
147,92,R92,ACTP,1
159,92,HO,R92,-1
95,93,MEK,R93,-1
148,93,R93,MEKP,1
159,93,HO,R93,-1
103,94,KET,R94,-1
157,94,R94,KETP,1
159,94,HO,R94,-1
98,95,HKET,R95,-1
124,95,R95,MGLY,1
159,95,HO,R95,-1
164,95,R95,HO2,1
111,96,R96,MCP,0.43
126,96,MACR,R96,-1
128,96,R96,MACP,0.57
159,96,HO,R96,-1
107,97,MVK,R97,-1
123,97,R97,MVKP,1
159,97,HO,R97,-1
122,98,R98,UALP,0.687
135,98,UALD,R98,-1
159,98,HO,R98,-1
166,98,R98,ACO3,0.313
87,99,R99,CO,2
116,99,GLY,R99,-1
159,99,HO,R99,-1
164,99,R99,HO2,1
87,100,R100,CO,1
124,100,MGLY,R100,-1
159,100,HO,R100,-1
166,100,R100,ACO3,1
87,101,R101,CO,0.33
103,101,R101,KET,0.78
116,101,R101,GLY,0.1
124,101,R101,MGLY,0.01
146,101,DCB1,R101,-1
158,101,R101,ALD,0.4
159,101,HO,R101,-1
164,101,R101,HO2,0.52
87,102,R102,CO,0.33
95,102,R102,MEK,0.13
116,102,R102,GLY,0.1
124,102,R102,MGLY,0.01
140,102,DCB2,R102,-1
141,102,R102,OP2,0.78
159,102,HO,R102,-1
164,102,R102,HO2,0.52
87,103,R103,CO,0.11
116,103,R103,GLY,0.27
124,103,R103,MGLY,0.01
125,103,DCB3,R103,-1
128,103,R103,MACP,0.21
141,103,R103,OP2,0.79
159,103,HO,R103,-1
164,103,R103,HO2,0.56
84,104,R104,BALP,1
106,104,BALD,R104,-1
159,104,HO,R104,-1
54,105,R105,MCT,0.73
65,105,PHEN,R105,-1
69,105,R105,CHO,0.07
114,105,R105,ADDC,0.2
159,105,HO,R105,-1
164,105,R105,HO2,0.73
54,106,R106,MCT,0.73
69,106,R106,CHO,0.07
114,106,R106,ADDC,0.2
120,106,CSL,R106,-1
159,106,HO,R106,-1
164,106,R106,HO2,0.73
87,107,R107,CO,1
88,107,EPX,R107,-1
149,107,R107,XO2,1
158,107,R107,ALD,1
159,107,HO,R107,-1
164,107,R107,HO2,1
54,108,MCT,R108,-1
76,108,R108,MCTO,1
159,108,HO,R108,-1
129,109,MOH,R109,-1
151,109,R109,HCHO,1
159,109,HO,R109,-1
164,109,R109,HO2,1
62,110,EOH,R110,-1
150,110,R110,ACD,1
159,110,HO,R110,-1
164,110,R110,HO2,1
99,111,ROH,R111,-1
150,111,R111,ACD,0.184
158,111,R111,ALD,0.719
159,111,HO,R111,-1
164,111,R111,HO2,1
44,112,ETEG,R112,-1
158,112,R112,ALD,1
159,112,HO,R112,-1
164,112,R112,HO2,1
64,113,OP1,R113,-1
151,113,R113,HCHO,0.35
156,113,R113,MO2,0.65
159,113,HO,R113,-1
159,113,R113,HO,0.35
103,114,R114,KET,0.41
141,114,OP2,R114,-1
149,114,R114,XO2,0.07
158,114,R114,ALD,0.08
159,114,HO,R114,-1
159,114,R114,HO,0.01
165,114,R114,HC3P,0.44
30,115,ISHP,R115,-1
126,115,R115,MACR,1
159,115,HO,R115,-1
159,115,R115,HO,1
40,116,MAHP,R116,-1
128,116,R116,MACP,1
159,116,HO,R116,-1
6,117,R117,CO2,1
68,117,ORA1,R117,-1
159,117,HO,R117,-1
164,117,R117,HO2,1
6,118,R118,CO2,0.64
101,118,R118,ORAP,0.36
156,118,R118,MO2,0.64
159,118,HO,R118,-1
160,118,ORA2,R118,-1
70,119,PAA,R119,-1
149,119,R119,XO2,0.35
151,119,R119,HCHO,0.35
