! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : gckpp_EdgeList.csv
! Equation file        : gckpp.kpp
! Output root filename : gckpp
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,reaction_index,source,target,directed_stoichiometric_value
223,1,NO,R1,-1
230,1,R1,NO2,1
231,1,O3,R1,-1
31,2,R2,LOx,1
231,2,O3,R2,-1
232,2,R2,HO2,1
234,2,OH,R2,-1
31,3,R3,LOx,1
231,3,O3,R3,-1
232,3,HO2,R3,-1
234,3,R3,OH,1
229,4,R4,NO3,1
230,4,NO2,R4,-1
231,4,O3,R4,-1
31,5,R5,LOx,1
214,5,R5,CH2O,1
221,5,MO2,R5,-1
231,5,O3,R5,-1
232,5,R5,HO2,1
30,6,R6,POx,1
228,6,R6,O,1
234,6,OH,R6,-2
235,6,R6,H2O,1
36,7,R7,PH2O2,1
176,7,R7,H2O2,1
234,7,OH,R7,-2
232,8,HO2,R8,-1
234,8,OH,R8,-1
235,8,R8,H2O,1
176,9,H2O2,R9,-1
232,9,R9,HO2,1
234,9,OH,R9,-1
235,9,R9,H2O,1
30,10,R10,POx,1
223,10,NO,R10,-1
230,10,R10,NO2,1
232,10,HO2,R10,-1
234,10,R10,OH,1
36,11,R11,PH2O2,1
176,11,R11,H2O2,1
232,11,HO2,R11,-2
5,12,R12,CO2,1
33,12,R12,LCO,1
220,12,CO,R12,-1
232,12,R12,HO2,1
234,12,OH,R12,-1
35,13,R13,LCH4,1
151,13,CH4,R13,-1
221,13,R13,MO2,1
234,13,OH,R13,-1
235,13,R13,H2O,1
30,14,R14,POx,1
214,14,R14,CH2O,1
221,14,MO2,R14,-1
223,14,NO,R14,-1
230,14,R14,NO2,1
232,14,R14,HO2,1
124,15,R15,MP,1
221,15,MO2,R15,-1
232,15,HO2,R15,-1
214,16,R16,CH2O,1
221,16,MO2,R16,-2
214,17,R17,CH2O,2
221,17,MO2,R17,-2
232,17,R17,HO2,2
124,18,MP,R18,-1
221,18,R18,MO2,1
234,18,OH,R18,-1
235,18,R18,H2O,1
124,19,MP,R19,-1
214,19,R19,CH2O,1
234,19,OH,R19,-1
234,19,R19,OH,1
235,19,R19,H2O,1
115,20,ATOOH,R20,-1
177,20,R20,ATO2,1
234,20,OH,R20,-1
235,20,R20,H2O,1
115,21,ATOOH,R21,-1
200,21,R21,MGLY,1
234,21,OH,R21,-1
234,21,R21,OH,1
235,21,R21,H2O,1
32,22,R22,PCO,1
214,22,CH2O,R22,-1
220,22,R22,CO,1
232,22,R22,HO2,1
234,22,OH,R22,-1
235,22,R22,H2O,1
190,23,R23,HNO3,1
230,23,NO2,R23,-1
234,23,OH,R23,-1
30,24,R24,POx,1
190,24,HNO3,R24,-1
229,24,R24,NO3,1
234,24,OH,R24,-1
235,24,R24,H2O,1
97,25,R25,HNO2,1
223,25,NO,R25,-1
234,25,OH,R25,-1
30,26,R26,POx,1
97,26,HNO2,R26,-1
230,26,R26,NO2,1
234,26,OH,R26,-1
235,26,R26,H2O,1
95,27,R27,HNO4,1
230,27,NO2,R27,-1
232,27,HO2,R27,-1
95,28,HNO4,R28,-1
230,28,R28,NO2,1
232,28,R28,HO2,1
95,29,HNO4,R29,-1
230,29,R29,NO2,1
234,29,OH,R29,-1
235,29,R29,H2O,1
31,30,R30,LOx,1
229,30,NO3,R30,-1
230,30,R30,NO2,1
232,30,HO2,R30,-1
234,30,R30,OH,1
223,31,NO,R31,-1
229,31,NO3,R31,-1
230,31,R31,NO2,2
31,32,R32,LOx,1
229,32,NO3,R32,-1
230,32,R32,NO2,1
232,32,R32,HO2,1
234,32,OH,R32,-1
132,33,R33,N2O5,1
229,33,NO3,R33,-1
230,33,NO2,R33,-1
132,34,N2O5,R34,-1
229,34,R34,NO3,1
230,34,R34,NO2,1
5,35,R35,CO2,1
170,35,HCOOH,R35,-1
232,35,R35,HO2,1
234,35,OH,R35,-1
235,35,R35,H2O,1
214,36,R36,CH2O,1
232,36,R36,HO2,1
234,36,OH,R36,-1
31,37,R37,LOx,2
223,37,R37,NO,1
229,37,NO3,R37,-1
230,37,NO2,R37,-1
230,37,R37,NO2,1
31,38,R38,LOx,1
32,38,R38,PCO,1
190,38,R38,HNO3,1
214,38,CH2O,R38,-1
220,38,R38,CO,1
229,38,NO3,R38,-1
232,38,R38,HO2,1
32,39,R39,PCO,0.05
214,39,R39,CH2O,0.05
216,39,ALD2,R39,-1
218,39,R39,MCO3,0.95
220,39,R39,CO,0.05
232,39,R39,HO2,0.05
234,39,OH,R39,-1
235,39,R39,H2O,1
31,40,R40,LOx,1
190,40,R40,HNO3,1
216,40,ALD2,R40,-1
218,40,R40,MCO3,1
229,40,NO3,R40,-1
99,41,R41,PAN,1
218,41,MCO3,R41,-1
230,41,NO2,R41,-1
99,42,PAN,R42,-1
218,42,R42,MCO3,1
230,42,R42,NO2,1
5,43,R43,CO2,1
30,43,R43,POx,1
218,43,MCO3,R43,-1
221,43,R43,MO2,1
223,43,NO,R43,-1
230,43,R43,NO2,1
137,44,C2H6,R44,-1
204,44,R44,ETO2,1
234,44,OH,R44,-1
235,44,R44,H2O,1
30,45,R45,POx,1
204,45,ETO2,R45,-1
216,45,R45,ALD2,1
223,45,NO,R45,-1
230,45,R45,NO2,1
232,45,R45,HO2,1
109,46,C3H8,R46,-1
171,46,R46,B3O2,1
234,46,OH,R46,-1
109,47,C3H8,R47,-1
164,47,R47,A3O2,1
234,47,OH,R47,-1
30,48,R48,POx,1
164,48,A3O2,R48,-1
212,48,R48,RCHO,1
223,48,NO,R48,-1
230,48,R48,NO2,1
232,48,R48,HO2,1
30,49,R49,POx,1
168,49,PO2,R49,-1
214,49,R49,CH2O,1
216,49,R49,ALD2,1
223,49,NO,R49,-1
230,49,R49,NO2,1
232,49,R49,HO2,1
104,50,ALK4,R50,-1
206,50,R50,R4O2,1
234,50,OH,R50,-1
30,51,R51,POx,1
164,51,R51,A3O2,0.05
171,51,R51,B3O2,0.18
201,51,R51,ACET,0.32
204,51,R51,ETO2,0.32
206,51,R4O2,R51,-1
212,51,R51,RCHO,0.14
213,51,R51,MEK,0.19
216,51,R51,ALD2,0.32
221,51,R51,MO2,0.19
223,51,NO,R51,-1
230,51,R51,NO2,1
232,51,R51,HO2,0.27
30,52,R52,POx,1
206,52,R4O2,R52,-1
207,52,R52,R4N2,1
223,52,NO,R52,-1
30,53,R53,POx,1
173,53,R4N1,R53,-1
212,53,R53,RCHO,0.57
214,53,R53,CH2O,0.57
216,53,R53,ALD2,0.86
223,53,NO,R53,-1
230,53,R53,NO2,2
30,54,R54,POx,1
177,54,ATO2,R54,-1
214,54,R54,CH2O,1
218,54,R54,MCO3,1
223,54,NO,R54,-1
230,54,R54,NO2,1
30,55,R55,POx,1
185,55,KO2,R55,-1
207,55,R55,R4N2,0.07
216,55,R55,ALD2,0.93
218,55,R55,MCO3,0.93
223,55,NO,R55,-1
230,55,R55,NO2,0.93
30,56,R56,POx,1
