! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : Hg_EdgeList.csv
! Equation file        : Hg.kpp
! Output root filename : Hg
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
4,77,R77,PHg0,0.67
22,77,R77,HgBrO,0.25
23,77,HgBrHO2,R77,-1
30,77,R77,Hg0,0.67
31,77,R77,HgBrOH,0.01
32,77,R77,HgBr,0.07
4,78,R78,PHg0,0.49
6,78,R78,PHg2OH,0.35
29,78,R78,HgOH,0.35
30,78,R78,Hg0,0.49
31,78,HgBrOH,R78,-1
31,78,R78,HgBrOH,0.01
32,78,R78,HgBr,0.15
4,79,R79,PHg0,0.4
18,79,HgBr2,R79,-1
30,79,R79,Hg0,0.4
32,79,R79,HgBr,0.6
4,80,R80,PHg0,1
14,80,HgBrBrO,R80,-1
30,80,R80,Hg0,1
4,81,R81,PHg0,1
13,81,HgBrClO,R81,-1
30,81,R81,Hg0,1
17,82,HgClNO2,R82,-1
24,82,R82,HgClO,0.9
27,82,R82,HgCl,0.1
4,83,R83,PHg0,0.67
24,83,R83,HgClO,0.25
25,83,HgClHO2,R83,-1
26,83,R83,HgClOH,0.01
27,83,R83,HgCl,0.07
30,83,R83,Hg0,0.67
4,84,R84,PHg0,0.49
6,84,R84,PHg2OH,0.35
26,84,HgClOH,R84,-1
26,84,R84,HgClOH,0.01
27,84,R84,HgCl,0.15
29,84,R84,HgOH,0.35
30,84,R84,Hg0,0.49
10,85,HgClBr,R85,-1
27,85,R85,HgCl,1
9,86,HgClBrO,R86,-1
27,86,R86,HgCl,1
8,87,HgClClO,R87,-1
27,87,R87,HgCl,1
4,88,R88,PHg0,1
29,88,HgOH,R88,-1
30,88,R88,Hg0,1
15,89,HgOHNO2,R89,-1
19,89,R89,HgOHO,0.9
29,89,R89,HgOH,0.1
4,90,R90,PHg0,0.67
19,90,R90,HgOHO,0.25
20,90,R90,HgOHOH,0.01
21,90,HgOHHO2,R90,-1
29,90,R90,HgOH,0.07
30,90,R90,Hg0,0.67
4,91,R91,PHg0,1
20,91,HgOHOH,R91,-1
30,91,R91,Hg0,1
12,92,HgOHBrO,R92,-1
29,92,R92,HgOH,1
11,93,HgOHClO,R93,-1
29,93,R93,HgOH,1
4,94,R94,PHg0,1
28,94,Hg2ORGP,R94,-1
30,94,R94,Hg0,1
