! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : CBMZ_EdgeList.csv
! Equation file        : CBMZ.kpp
! Output root filename : CBMZ
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
67,58,OH,R58,-1
39,59,R59,CO,1
47,59,HCHO,R59,-1
65,59,R59,HO2,1
67,59,OH,R59,-1
38,60,R60,HNO3,1
39,60,R60,CO,1
47,60,HCHO,R60,-1
60,60,NO3,R60,-1
65,60,R60,HO2,1
54,61,ALD2,R61,-1
58,61,R61,C2O3,1
67,61,OH,R61,-1
38,62,R62,HNO3,1
54,62,ALD2,R62,-1
58,62,R62,C2O3,1
60,62,NO3,R62,-1
49,63,AONE,R63,-1
62,63,R63,ANO2,1
67,63,OH,R63,-1
48,64,R64,XO2,1
53,64,MGLY,R64,-1
58,64,R64,C2O3,1
67,64,OH,R64,-1
38,65,R65,HNO3,1
39,65,R65,CO,1
53,65,MGLY,R65,-1
58,65,R65,C2O3,1
60,65,NO3,R65,-1
4,66,R66,HCOOH,0.52
34,66,ETH,R66,-1
39,66,R66,CO,0.24
47,66,R66,HCHO,1
64,66,O3,R66,-1
65,66,R66,HO2,0.22
67,66,R66,OH,0.12
34,67,ETH,R67,-1
47,67,R67,HCHO,1.56
48,67,R67,XO2,1
54,67,R67,ALD2,0.22
65,67,R67,HO2,1
67,67,OH,R67,-1
4,68,R68,HCOOH,0.22
5,68,R68,RCOOH,0.09
9,68,R68,OLE1,0.008
23,68,R68,CH4,0.06
28,68,R68,C2H6,0.01
30,68,R68,XPAR,1.06
35,68,R68,CH3OH,0.03
39,68,R68,CO,0.31
45,68,OLET,R68,-1
47,68,R68,HCHO,0.57
52,68,R68,ETHP,0.06
53,68,R68,MGLY,0.04
54,68,R68,ALD2,0.47
55,68,R68,CH3O2,0.07
58,68,R68,C2O3,0.13
61,68,R68,RO2,0.03
64,68,O3,R68,-1
65,68,R68,HO2,0.26
67,68,R68,OH,0.33
5,69,R69,RCOOH,0.16
9,69,R69,OLE1,0.008
23,69,R69,CH4,0.08
28,69,R69,C2H6,0.01
30,69,R69,XPAR,2.26
35,69,R69,CH3OH,0.04
39,69,R69,CO,0.3
49,69,R69,AONE,0.07
50,69,OLEI,R69,-1
52,69,R69,ETHP,0.05
53,69,R69,MGLY,0.07
54,69,R69,ALD2,1.03
55,69,R69,CH3O2,0.1
58,69,R69,C2O3,0.19
61,69,R69,RO2,0.09
62,69,R69,ANO2,0.11
64,69,O3,R69,-1
65,69,R69,HO2,0.22
67,69,R69,OH,0.6
9,70,R70,OLE1,0.008
30,70,R70,XPAR,1
45,70,OLET,R70,-1
47,70,R70,HCHO,1
48,70,R70,XO2,1
54,70,R70,ALD2,1
65,70,R70,HO2,1
67,70,OH,R70,-1
9,71,R71,OLE1,0.008
30,71,R71,XPAR,2.23
48,71,R71,XO2,1
49,71,R71,AONE,0.23
50,71,OLEI,R71,-1
54,71,R71,ALD2,1.77
65,71,R71,HO2,1
67,71,OH,R71,-1
9,72,R72,OLE1,0.008
45,72,OLET,R72,-1
51,72,R72,NAP,1
60,72,NO3,R72,-1
9,73,R73,OLE1,0.008
50,73,OLEI,R73,-1
51,73,R73,NAP,1
60,73,NO3,R73,-1
6,74,R74,ARO1,0.039
7,74,R74,ARO2,0.108
20,74,TOL,R74,-1
29,74,R74,TO2,0.8
36,74,R74,CRES,0.12
48,74,R74,XO2,0.08
65,74,R74,HO2,0.2
67,74,OH,R74,-1
6,75,R75,ARO1,0.039
7,75,R75,ARO2,0.108
22,75,XYL,R75,-1
29,75,R75,TO2,0.45
36,75,R75,CRES,0.05
41,75,R75,PAR,1.1
48,75,R75,XO2,0.5
53,75,R75,MGLY,0.8
65,75,R75,HO2,0.55
67,75,OH,R75,-1
29,76,TO2,R76,-1
42,76,R76,OPEN,0.95
57,76,R76,ONIT,0.05
59,76,R76,NO2,0.95
63,76,NO,R76,-1
65,76,R76,HO2,0.95
6,77,R77,ARO1,0.039
7,77,R77,ARO2,0.108
24,77,R77,CRO,0.4
36,77,CRES,R77,-1
42,77,R77,OPEN,0.3
48,77,R77,XO2,0.6
65,77,R77,HO2,0.6
67,77,OH,R77,-1
6,78,R78,ARO1,0.039
7,78,R78,ARO2,0.108
24,78,R78,CRO,1
36,78,CRES,R78,-1
38,78,R78,HNO3,1
60,78,NO3,R78,-1
24,79,CRO,R79,-1
57,79,R79,ONIT,1
59,79,NO2,R79,-1
39,80,R80,CO,2
42,80,OPEN,R80,-1
47,80,R80,HCHO,1
48,80,R80,XO2,1
58,80,R80,C2O3,1
65,80,R80,HO2,2
67,80,OH,R80,-1
39,81,R81,CO,0.69
42,81,OPEN,R81,-1
47,81,R81,HCHO,0.7
48,81,R81,XO2,0.03
53,81,R81,MGLY,0.2
54,81,R81,ALD2,0.03
58,81,R81,C2O3,0.62
64,81,O3,R81,-1
65,81,R81,HO2,0.76
67,81,R81,OH,0.08
43,82,R82,ISOPP,1
46,82,ISOP,R82,-1
48,82,R82,XO2,0.08
67,82,OH,R82,-1
5,83,R83,RCOOH,0.39
39,83,R83,CO,0.07
46,83,ISOP,R83,-1
47,83,R83,HCHO,0.6
48,83,R83,XO2,0.2
54,83,R83,ALD2,0.15
56,83,R83,ISOPRD,0.65
58,83,R83,C2O3,0.2
64,83,O3,R83,-1
65,83,R83,HO2,0.07
67,83,R83,OH,0.27
40,84,R84,ISOPN,1
46,84,ISOP,R84,-1
60,84,NO3,R84,-1
44,85,R85,ISOPO2,0.5
48,85,R85,XO2,0.2
56,85,ISOPRD,R85,-1
58,85,R85,C2O3,0.5
67,85,OH,R85,-1
5,86,R86,RCOOH,0.46
39,86,R86,CO,0.16
47,86,R86,HCHO,0.15
48,86,R86,XO2,0.07
49,86,R86,AONE,0.09
53,86,R86,MGLY,0.85
54,86,R86,ALD2,0.02
55,86,R86,CH3O2,0.05
56,86,ISOPRD,R86,-1
58,86,R86,C2O3,0.11
64,86,O3,R86,-1
65,86,R86,HO2,0.1
67,86,R86,OH,0.27
38,87,R87,HNO3,0.07
39,87,R87,CO,0.64
41,87,R87,PAR,1.86
47,87,R87,HCHO,0.28
48,87,R87,XO2,0.93
54,87,R87,ALD2,0.28
56,87,ISOPRD,R87,-1
57,87,R87,ONIT,0.93
58,87,R87,C2O3,0.07
60,87,NO3,R87,-1
65,87,R87,HO2,0.93
41,88,R88,PAR,0.18
43,88,ISOPP,R88,-1
47,88,R88,HCHO,0.63
56,88,R88,ISOPRD,0.91
57,88,R88,ONIT,0.09
59,88,R88,NO2,0.91
63,88,NO,R88,-1
65,88,R88,HO2,0.91
40,89,ISOPN,R89,-1
41,89,R89,PAR,1.6
54,89,R89,ALD2,0.8
56,89,R89,ISOPRD,0.2
57,89,R89,ONIT,0.8
59,89,R89,NO2,1.2
63,89,NO,R89,-1
65,89,R89,HO2,0.8
39,90,R90,CO,0.59
44,90,ISOPO2,R90,-1
47,90,R90,HCHO,0.25
49,90,R90,AONE,0.63
53,90,R90,MGLY,0.34
54,90,R90,ALD2,0.55
59,90,R90,NO2,1
63,90,NO,R90,-1
65,90,R90,HO2,1
43,91,ISOPP,R91,-1
65,91,HO2,R91,-1
66,91,R91,ROOH,1
40,92,ISOPN,R92,-1
41,92,R92,PAR,2
57,92,R92,ONIT,1
65,92,HO2,R92,-1
44,93,ISOPO2,R93,-1
65,93,HO2,R93,-1
66,93,R93,ROOH,1
31,94,CH3OOH,R94,-1
47,94,R94,HCHO,0.3
55,94,R94,CH3O2,0.7
67,94,OH,R94,-1
67,94,R94,OH,0.3
33,95,ETHOOH,R95,-1
52,95,R95,ETHP,0.7
54,95,R95,ALD2,0.3
67,95,OH,R95,-1
67,95,R95,OH,0.3
30,96,R96,XPAR,0.42
53,96,R96,MGLY,0.19
54,96,R96,ALD2,0.04
61,96,R96,RO2,0.77
66,96,ROOH,R96,-1
67,96,OH,R96,-1
67,96,R96,OH,0.23
51,97,R97,NAP,1
57,97,ONIT,R97,-1
67,97,OH,R97,-1
18,98,R98,PAN,1
58,98,C2O3,R98,-1
59,98,NO2,R98,-1
18,99,PAN,R99,-1
58,99,R99,C2O3,1
59,99,R99,NO2,1
35,100,CH3OH,R100,-1
47,100,R100,HCHO,1
65,100,R100,HO2,1
67,100,OH,R100,-1
47,101,R101,HCHO,1
55,101,CH3O2,R101,-1
59,101,R101,NO2,1
63,101,NO,R101,-1
65,101,R101,HO2,1
52,102,ETHP,R102,-1
54,102,R102,ALD2,1
59,102,R102,NO2,1
63,102,NO,R102,-1
65,102,R102,HO2,1
30,103,R103,XPAR,1.68
48,103,R103,XO2,0.34
49,103,R103,AONE,0.62
52,103,R103,ETHP,0.08
54,103,R103,ALD2,0.25
57,103,R103,ONIT,0.16
59,103,R103,NO2,0.84
61,103,RO2,R103,-1
63,103,NO,R103,-1
65,103,R103,HO2,0.76
55,104,R104,CH3O2,1
58,104,C2O3,R104,-1
59,104,R104,NO2,1
63,104,NO,R104,-1
47,105,R105,HCHO,1
58,105,R105,C2O3,1
59,105,R105,NO2,1
62,105,ANO2,R105,-1
63,105,NO,R105,-1
30,106,R106,XPAR,1
47,106,R106,HCHO,0.5
51,106,NAP,R106,-1
54,106,R106,ALD2,0.5
57,106,R106,ONIT,0.5
59,106,R106,NO2,1.5
63,106,NO,R106,-1
65,106,R106,HO2,0.5
48,107,XO2,R107,-1
59,107,R107,NO2,1
63,107,NO,R107,-1
47,108,R108,HCHO,1
55,108,CH3O2,R108,-1
59,108,R108,NO2,1
60,108,NO3,R108,-1
65,108,R108,HO2,1
52,109,ETHP,R109,-1
54,109,R109,ALD2,1
59,109,R109,NO2,1
60,109,NO3,R109,-1
65,109,R109,HO2,1
30,110,R110,XPAR,1.98
48,110,R110,XO2,0.4
49,110,R110,AONE,0.74
52,110,R110,ETHP,0.1
54,110,R110,ALD2,0.3
59,110,R110,NO2,1
60,110,NO3,R110,-1
61,110,RO2,R110,-1
65,110,R110,HO2,0.9
55,111,R111,CH3O2,1
58,111,C2O3,R111,-1
59,111,R111,NO2,1
60,111,NO3,R111,-1
47,112,R112,HCHO,1
58,112,R112,C2O3,1
59,112,R112,NO2,1
60,112,NO3,R112,-1
62,112,ANO2,R112,-1
30,113,R113,XPAR,1
47,113,R113,HCHO,0.5
51,113,NAP,R113,-1
54,113,R113,ALD2,0.5
57,113,R113,ONIT,0.5
59,113,R113,NO2,1.5
60,113,NO3,R113,-1
65,113,R113,HO2,0.5
48,114,XO2,R114,-1
59,114,R114,NO2,1
60,114,NO3,R114,-1
31,115,R115,CH3OOH,1
55,115,CH3O2,R115,-1
65,115,HO2,R115,-1
33,116,R116,ETHOOH,1
52,116,ETHP,R116,-1
65,116,HO2,R116,-1
61,117,RO2,R117,-1
65,117,HO2,R117,-1
66,117,R117,ROOH,1
5,118,R118,RCOOH,0.4
58,118,C2O3,R118,-1
64,118,R118,O3,0.4
65,118,HO2,R118,-1
62,119,ANO2,R119,-1
65,119,HO2,R119,-1
66,119,R119,ROOH,1
51,120,NAP,R120,-1
57,120,R120,ONIT,1
65,120,HO2,R120,-1
14,121,R121,DUMMY,1
48,121,XO2,R121,-1
65,121,HO2,R121,-1
17,122,ANOL,R122,-1
54,122,R122,ALD2,1
65,122,R122,HO2,1
67,122,OH,R122,-1
14,123,R123,DUMMY,1
30,123,XPAR,R123,-1
41,123,PAR,R123,-1
2,124,HCl,R124,-1
2,124,R124,HCl,1
3,125,NH3,R125,-1
3,125,R125,NH3,1
1,126,H2SO4,R126,-1
1,126,R126,H2SO4,1
35,127,R127,CH3OH,0.34
47,127,R127,HCHO,0.66
55,127,CH3O2,R127,-1
65,127,R127,HO2,0.32
28,128,R128,C2H6,0.2
52,128,ETHP,R128,-1
54,128,R128,ALD2,0.8
65,128,R128,HO2,0.6
30,129,R129,XPAR,1.25
48,129,R129,XO2,0.24
49,129,R129,AONE,0.57
52,129,R129,ETHP,0.06
54,129,R129,ALD2,0.21
61,129,RO2,R129,-1
65,129,R129,HO2,0.54
55,130,R130,CH3O2,1
58,130,C2O3,R130,-1
47,131,R131,HCHO,0.7
49,131,R131,AONE,0.15
53,131,R131,MGLY,0.15
58,131,R131,C2O3,0.7
62,131,ANO2,R131,-1
30,132,R132,XPAR,1
47,132,R132,HCHO,0.5
51,132,NAP,R132,-1
54,132,R132,ALD2,0.5
57,132,R132,ONIT,0.5
59,132,R132,NO2,0.5
43,133,ISOPP,R133,-1
56,133,R133,ISOPRD,1
40,134,ISOPN,R134,-1
41,134,R134,PAR,2
54,134,R134,ALD2,1
57,134,R134,ONIT,1
