! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : saprc99_BiadjacencyMatrix.csv
! Equation file        : saprc99.kpp
! Output root filename : saprc99
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



spc_name,species_index,reaction_index,stoichiometric_coefficient
NO2,70,79,-1
RCO_O2,73,79,-1
PAN2,14,80,-1
NO2,70,80,1
RCO_O2,73,80,1
CCHO,55,81,1
RO2_R,68,81,1
NO,69,81,-1
NO2,70,81,1
RCO_O2,73,81,-1
RCO_OH,4,82,0.25
RCO_OOH,6,82,0.75
O3,62,82,0.25
HO2,63,82,-1
RCO_O2,73,82,-1
CCHO,55,83,1
RO2_R,68,83,1
NO2,70,83,1
NO3,71,83,-1
RCO_O2,73,83,-1
RCO_OH,4,84,1
HCHO,56,84,1
C_O2,66,84,-1
RCO_O2,73,84,-1
RCO_OH,4,85,1
RO2_R,68,85,-1
RCO_O2,73,85,-1
R2O2,48,86,-1
RCO_OH,4,87,1
PROD2,61,87,1
RO2_N,64,87,-1
RCO_O2,73,87,-1
CCHO,55,88,1
C_O2,66,88,1
RO2_R,68,88,1
CCO_O2,72,88,-1
RCO_O2,73,88,-1
CCHO,55,89,2
RO2_R,68,89,2
RCO_O2,73,89,-2
PBZN,15,90,1
BZCO_O2,67,90,-1
NO2,70,90,-1
PBZN,15,91,-1
BZCO_O2,67,91,1
NO2,70,91,1
BZ_O,46,92,1
R2O2,48,92,1
BZCO_O2,67,92,-1
NO,69,92,-1
NO2,70,92,1
RCO_OH,4,93,0.25
RCO_OOH,6,93,0.75
O3,62,93,0.25
HO2,63,93,-1
BZCO_O2,67,93,-1
BZ_O,46,94,1
R2O2,48,94,1
BZCO_O2,67,94,-1
NO2,70,94,1
NO3,71,94,-1
RCO_OH,4,95,1
HCHO,56,95,1
C_O2,66,95,-1
BZCO_O2,67,95,-1
RCO_OH,4,96,1
BZCO_O2,67,96,-1
RO2_R,68,96,-1
R2O2,48,97,-1
RCO_OH,4,98,1
PROD2,61,98,1
RO2_N,64,98,-1
BZCO_O2,67,98,-1
BZ_O,46,99,1
R2O2,48,99,1
C_O2,66,99,1
BZCO_O2,67,99,-1
CCO_O2,72,99,-1
BZ_O,46,100,1
R2O2,48,100,1
CCHO,55,100,1
BZCO_O2,67,100,-1
RO2_R,68,100,1
RCO_O2,73,100,-1
BZ_O,46,101,2
R2O2,48,101,2
BZCO_O2,67,101,-2
MA_PAN,16,102,1
MA_RCO3,65,102,-1
NO2,70,102,-1
MA_PAN,16,103,-1
MA_RCO3,65,103,1
NO2,70,103,1
HCHO,56,104,1
MA_RCO3,65,104,-1
NO,69,104,-1
NO2,70,104,1
CCO_O2,72,104,1
RCO_OH,4,105,0.25
RCO_OOH,6,105,0.75
O3,62,105,0.25
HO2,63,105,-1
MA_RCO3,65,105,-1
HCHO,56,106,1
MA_RCO3,65,106,-1
NO2,70,106,1
NO3,71,106,-1
CCO_O2,72,106,1
RCO_OH,4,107,1
HCHO,56,107,1
MA_RCO3,65,107,-1
C_O2,66,107,-1
RCO_OH,4,108,1
MA_RCO3,65,108,-1
RO2_R,68,108,-1
R2O2,48,109,-1
RCO_OH,4,110,2
RO2_N,64,110,-1
MA_RCO3,65,110,-1
HCHO,56,111,1
MA_RCO3,65,111,-1
C_O2,66,111,1
CCHO,55,112,1
HCHO,56,112,1
MA_RCO3,65,112,-1
RO2_R,68,112,1
CCO_O2,72,112,1
RCO_O2,73,112,-1
BZ_O,46,113,1
R2O2,48,113,1
HCHO,56,113,1
MA_RCO3,65,113,-1
BZCO_O2,67,113,-1
CCO_O2,72,113,1
HCHO,56,114,2
MA_RCO3,65,114,-2
CCO_O2,72,114,2
TBU_O,22,115,-1
RNO3,57,115,1
NO2,70,115,-1
TBU_O,22,116,-1
ACET,42,116,1
C_O2,66,116,1
NPHE,36,117,1
BZ_O,46,117,-1
NO2,70,117,-1
PHEN,39,118,1
BZ_O,46,118,-1
HO2,63,118,-1
PHEN,39,119,1
BZ_O,46,119,-1
XN,7,120,2
XC,8,120,6
BZNO2_O,28,120,-1
NO2,70,120,-1
BZNO2_O,28,121,-1
NPHE,36,121,1
HO2,63,121,-1
BZNO2_O,28,122,-1
NPHE,36,122,1
CO,40,123,1
HCHO,56,123,-1
HO2,63,123,2
CO,40,124,1
HCHO,56,124,-1
CO,40,125,1
HCHO,56,125,-1
HO2,63,125,1
OH,74,125,-1
HOCOO,27,126,1
HCHO,56,126,-1
HO2,63,126,-1
HOCOO,27,127,-1
HCHO,56,127,1
HO2,63,127,1
HCOOH,2,128,1
HOCOO,27,128,-1
HO2,63,128,1
NO,69,128,-1
NO2,70,128,1
CO,40,129,1
HNO3,43,129,1
HCHO,56,129,-1
HO2,63,129,1
NO3,71,129,-1
CCHO,55,130,-1
CCO_O2,72,130,1
OH,74,130,-1
CO,40,131,1
CCHO,55,131,-1
HO2,63,131,1
C_O2,66,131,1
HNO3,43,132,1
CCHO,55,132,-1
NO3,71,132,-1
CCO_O2,72,132,1
CO,40,133,0.034
CCHO,55,133,0.034
RCHO,59,133,-1
RO2_N,64,133,0.001
RO2_R,68,133,0.034
RCO_O2,73,133,0.965
OH,74,133,-1
CO,40,134,1
CCHO,55,134,1
RCHO,59,134,-1
HO2,63,134,1
RO2_R,68,134,1
HNO3,43,135,1
RCHO,59,135,-1
NO3,71,135,-1
RCO_O2,73,135,1
ACET,42,136,-1
R2O2,48,136,1
HCHO,56,136,1
CCO_O2,72,136,1
OH,74,136,-1
ACET,42,137,-1
C_O2,66,137,1
CCO_O2,72,137,1
R2O2,48,138,0.616
CCHO,55,138,0.482
HCHO,56,138,0.115
RCHO,59,138,0.37
MEK,60,138,-1
RO2_N,64,138,0.042
RO2_R,68,138,0.37
CCO_O2,72,138,0.492
RCO_O2,73,138,0.096
OH,74,138,-1
CCHO,55,139,1
MEK,60,139,-1
RO2_R,68,139,1
CCO_O2,72,139,1
MEOH,29,140,-1
HCHO,56,140,1
HO2,63,140,1
OH,74,140,-1
COOH,26,141,-1
HCHO,56,141,0.35
C_O2,66,141,0.65
OH,74,141,-0.65
COOH,26,142,-1
HCHO,56,142,1
HO2,63,142,1
OH,74,142,1
ROOH,37,143,-1
RCHO,59,143,1
RO2_R,68,143,0.34
OH,74,143,-0.34
ROOH,37,144,-1
RCHO,59,144,1
HO2,63,144,1
OH,74,144,1
CO,40,145,2
GLY,45,145,-1
HO2,63,145,2
CO,40,146,1
GLY,45,146,-1
HCHO,56,146,1
CO,40,147,1.26
GLY,45,147,-1
HO2,63,147,0.63
RCO_O2,73,147,0.37
OH,74,147,-1
CO,40,148,1.26
HNO3,43,148,1
GLY,45,148,-1
HO2,63,148,0.63
NO3,71,148,-1
RCO_O2,73,148,0.37
CO,40,149,1
MGLY,41,149,-1
HO2,63,149,1
CCO_O2,72,149,1
CO,40,150,1
MGLY,41,150,-1
CCO_O2,72,150,1
OH,74,150,-1
CO,40,151,1
MGLY,41,151,-1
HNO3,43,151,1
NO3,71,151,-1
CCO_O2,72,151,1
BACL,12,152,-1
CCO_O2,72,152,2
PHEN,39,153,-1
GLY,45,153,0.23
BZ_O,46,153,0.24
RO2_R,68,153,0.76
OH,74,153,-1
PHEN,39,154,-1
HNO3,43,154,1
BZ_O,46,154,1
NO3,71,154,-1
CRES,34,155,-1
MGLY,41,155,0.23
BZ_O,46,155,0.24
RO2_R,68,155,0.76
OH,74,155,-1
CRES,34,156,-1
HNO3,43,156,1
BZ_O,46,156,1
NO3,71,156,-1
BZNO2_O,28,157,1
NPHE,36,157,-1
HNO3,43,157,1
NO3,71,157,-1
BALD,38,158,-1
BZCO_O2,67,158,1
OH,74,158,-1
XC,8,159,7
BALD,38,159,-1
BALD,38,160,-1
HNO3,43,160,1
BZCO_O2,67,160,1
NO3,71,160,-1
CO,40,161,0.416
MGLY,41,161,0.084
METHACRO,50,161,-1
HCHO,56,161,0.084
MEK,60,161,0.416
MA_RCO3,65,161,0.5
RO2_R,68,161,0.5
OH,74,161,-1
HCOOH,2,162,0.333
CO,40,162,0.45
MGLY,41,162,0.9
METHACRO,50,162,-1
HCHO,56,162,0.2
O3,62,162,-1
HO2,63,162,0.008
RO2_R,68,162,0.1
RCO_O2,73,162,0.1
OH,74,162,0.208
CO,40,163,0.5
HNO3,43,163,0.5
METHACRO,50,163,-1
MA_RCO3,65,163,0.5
RO2_R,68,163,0.5
NO3,71,163,-1
METHACRO,50,164,-1
O3P,58,164,-1
RCHO,59,164,1
CO,40,165,0.67
METHACRO,50,165,-1
HCHO,56,165,0.67
HO2,63,165,0.34
MA_RCO3,65,165,0.33
RO2_R,68,165,0.33
CCO_O2,72,165,0.67
OH,74,165,0.33
MGLY,41,166,0.3
R2O2,48,166,0.675
MVK,54,166,-1
HCHO,56,166,0.3
RCHO,59,166,0.675
RO2_N,64,166,0.025
RO2_R,68,166,0.3
CCO_O2,72,166,0.675
OH,74,166,-1
HCOOH,2,167,0.351
CO,40,167,0.475
MGLY,41,167,0.95
MVK,54,167,-1
HCHO,56,167,0.1
O3,62,167,-1
HO2,63,167,0.064
RO2_R,68,167,0.05
RCO_O2,73,167,0.05
OH,74,167,0.164
MVK,54,168,-1
O3P,58,168,-1
RCHO,59,168,0.45
MEK,60,168,0.55
CO,40,169,0.7
MVK,54,169,-1
PROD2,61,169,0.7
MA_RCO3,65,169,0.3
C_O2,66,169,0.3
CO,40,170,0.336
MGLY,41,170,0.174
GLY,45,170,0.15
ISOPROD,52,170,-1
CCHO,55,170,0.129
HCHO,56,170,0.055
RCHO,59,170,0.013
MEK,60,170,0.15
PROD2,61,170,0.332
RO2_N,64,170,0.041
MA_RCO3,65,170,0.289
RO2_R,68,170,0.67
OH,74,170,-1
HCOOH,2,171,0.1
RCO_OH,4,171,0.372
CO,40,171,0.498
MGLY,41,171,0.742
GLY,45,171,0.023
ISOPROD,52,171,-1
CCHO,55,171,0.047
HCHO,56,171,0.125
MEK,60,171,0.21
O3,62,171,-1
HO2,63,171,0.4
RO2_R,68,171,0.048
RCO_O2,73,171,0.048
OH,74,171,0.285
CO,40,172,0.572
MGLY,41,172,0.008
HNO3,43,172,0.15
ISOPROD,52,172,-1
HCHO,56,172,0.227
RNO3,57,172,0.572
RCHO,59,172,0.218
RO2_N,64,172,0.051
MA_RCO3,65,172,0.15
RO2_R,68,172,0.799
NO3,71,172,-1
CO,40,173,1.233
ISOPROD,52,173,-1
CCHO,55,173,0.467
HCHO,56,173,0.3
MEK,60,173,0.233
HO2,63,173,1.233
CCO_O2,72,173,0.467
RCO_O2,73,173,0.3
CCHO,55,174,0.084
HCHO,56,174,0.213
RCHO,59,174,0.558
MEK,60,174,0.115
PROD2,61,174,-0.671
HO2,63,174,0.379
RO2_N,64,174,0.07
RO2_R,68,174,0.473
CCO_O2,72,174,0.029
RCO_O2,73,174,0.049
OH,74,174,-1
R2O2,48,175,0.515
CCHO,55,175,0.246
HCHO,56,175,0.506
RCHO,59,175,0.71
PROD2,61,175,-1
RO2_N,64,175,0.04
RO2_R,68,175,0.96
CCO_O2,72,175,0.667
RCO_O2,73,175,0.333
