! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : saprc99_EdgeList.csv
! Equation file        : saprc99.kpp
! Output root filename : saprc99
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
29,64,R64,MEOH,0.25
56,64,R64,HCHO,0.75
60,64,R64,MEK,0.5
61,64,R64,PROD2,0.5
63,64,R64,HO2,1
64,64,RO2_N,R64,-1
66,64,C_O2,R64,-1
60,65,R65,MEK,1
63,65,R65,HO2,1
64,65,RO2_N,R65,-1
70,65,R65,NO2,1
71,65,NO3,R65,-1
60,66,R66,MEK,0.5
61,66,R66,PROD2,0.5
63,66,R66,HO2,1
64,66,RO2_N,R66,-1
68,66,RO2_R,R66,-1
48,67,R2O2,R67,-1
64,67,RO2_N,R67,-1
64,67,R67,RO2_N,1
60,68,R68,MEK,1
61,68,R68,PROD2,1
63,68,R68,HO2,1
64,68,RO2_N,R68,-2
13,69,R69,PAN,1
70,69,NO2,R69,-1
72,69,CCO_O2,R69,-1
13,70,PAN,R70,-1
70,70,R70,NO2,1
72,70,R70,CCO_O2,1
66,71,R71,C_O2,1
69,71,NO,R71,-1
70,71,R71,NO2,1
72,71,CCO_O2,R71,-1
3,72,R72,CCO_OH,0.25
5,72,R72,CCO_OOH,0.75
62,72,R72,O3,0.25
63,72,HO2,R72,-1
72,72,CCO_O2,R72,-1
66,73,R73,C_O2,1
70,73,R73,NO2,1
71,73,NO3,R73,-1
72,73,CCO_O2,R73,-1
3,74,R74,CCO_OH,1
56,74,R74,HCHO,1
66,74,C_O2,R74,-1
72,74,CCO_O2,R74,-1
3,75,R75,CCO_OH,1
68,75,RO2_R,R75,-1
72,75,CCO_O2,R75,-1
48,76,R2O2,R76,-1
72,76,CCO_O2,R76,-1
72,76,R76,CCO_O2,1
3,77,R77,CCO_OH,1
61,77,R77,PROD2,1
64,77,RO2_N,R77,-1
72,77,CCO_O2,R77,-1
66,78,R78,C_O2,2
72,78,CCO_O2,R78,-2
14,79,R79,PAN2,1
70,79,NO2,R79,-1
73,79,RCO_O2,R79,-1
14,80,PAN2,R80,-1
70,80,R80,NO2,1
73,80,R80,RCO_O2,1
55,81,R81,CCHO,1
68,81,R81,RO2_R,1
69,81,NO,R81,-1
70,81,R81,NO2,1
73,81,RCO_O2,R81,-1
4,82,R82,RCO_OH,0.25
6,82,R82,RCO_OOH,0.75
62,82,R82,O3,0.25
63,82,HO2,R82,-1
73,82,RCO_O2,R82,-1
55,83,R83,CCHO,1
68,83,R83,RO2_R,1
70,83,R83,NO2,1
71,83,NO3,R83,-1
73,83,RCO_O2,R83,-1
4,84,R84,RCO_OH,1
56,84,R84,HCHO,1
66,84,C_O2,R84,-1
73,84,RCO_O2,R84,-1
4,85,R85,RCO_OH,1
68,85,RO2_R,R85,-1
73,85,RCO_O2,R85,-1
48,86,R2O2,R86,-1
73,86,RCO_O2,R86,-1
73,86,R86,RCO_O2,1
