! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : mcm_EdgeList.csv
! Equation file        : mcm.kpp
! Output root filename : mcm
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
5815,63,C2H5O2,R63,-1
6017,63,R63,NO2,1
6023,63,NO,R63,-1
2945,64,R64,C2H5NO3,1
5815,64,C2H5O2,R64,-1
6023,64,NO,R64,-1
2944,65,C2H5O,R65,-1
5867,65,R65,CH3CHO,1
6030,65,R65,HO2,1
2944,66,R66,C2H5O,1
5815,66,C2H5O2,R66,-1
6017,66,R66,NO2,1
6024,66,NO3,R66,-1
2946,67,R67,C2H5OOH,1
5815,67,C2H5O2,R67,-1
6030,67,HO2,R67,-1
2944,68,R68,C2H5O,1
5815,68,C2H5O2,R68,-1
5815,69,C2H5O2,R69,-1
5867,69,R69,CH3CHO,1
2162,70,R70,C2H5OH,1
5815,70,C2H5O2,R70,-1
2945,71,C2H5NO3,R71,-1
5867,71,R71,CH3CHO,1
6017,71,R71,NO2,1
6029,71,OH,R71,-1
2944,72,R72,C2H5O,1
2945,72,C2H5NO3,R72,-1
6017,72,R72,NO2,1
2946,73,C2H5OOH,R73,-1
5815,73,R73,C2H5O2,1
6029,73,OH,R73,-1
2946,74,C2H5OOH,R74,-1
5867,74,R74,CH3CHO,1
6029,74,OH,R74,-1
6029,74,R74,OH,1
2944,75,R75,C2H5O,1
2946,75,C2H5OOH,R75,-1
6029,75,R75,OH,1
4310,76,C3H8,R76,-1
5866,76,R76,NC3H7O2,1
6029,76,OH,R76,-1
4310,77,C3H8,R77,-1
5807,77,R77,IC3H7O2,1
6029,77,OH,R77,-1
2163,78,R78,NC3H7O,1
5866,78,NC3H7O2,R78,-1
6017,78,R78,NO2,1
6023,78,NO,R78,-1
2947,79,R79,NC3H7NO3,1
5866,79,NC3H7O2,R79,-1
6023,79,NO,R79,-1
2163,80,NC3H7O,R80,-1
5861,80,R80,C2H5CHO,1
6030,80,R80,HO2,1
2163,81,R81,NC3H7O,1
5866,81,NC3H7O2,R81,-1
6017,81,R81,NO2,1
6024,81,NO3,R81,-1
2948,82,R82,NC3H7OOH,1
5866,82,NC3H7O2,R82,-1
6030,82,HO2,R82,-1
2163,83,R83,NC3H7O,1
5866,83,NC3H7O2,R83,-1
5861,84,R84,C2H5CHO,1
5866,84,NC3H7O2,R84,-1
2164,85,R85,NPROPOL,1
5866,85,NC3H7O2,R85,-1
2947,86,NC3H7NO3,R86,-1
5861,86,R86,C2H5CHO,1
6017,86,R86,NO2,1
6029,86,OH,R86,-1
2163,87,R87,NC3H7O,1
2947,87,NC3H7NO3,R87,-1
6017,87,R87,NO2,1
2948,88,NC3H7OOH,R88,-1
5866,88,R88,NC3H7O2,1
6029,88,OH,R88,-1
2948,89,NC3H7OOH,R89,-1
5861,89,R89,C2H5CHO,1
6029,89,OH,R89,-1
6029,89,R89,OH,1
2163,90,R90,NC3H7O,1
2948,90,NC3H7OOH,R90,-1
6029,90,R90,OH,1
2165,91,R91,IC3H7O,1
5807,91,IC3H7O2,R91,-1
6017,91,R91,NO2,1
6023,91,NO,R91,-1
2950,92,R92,IC3H7NO3,1
5807,92,IC3H7O2,R92,-1
6023,92,NO,R92,-1
2165,93,IC3H7O,R93,-1
5922,93,R93,CH3COCH3,1
6030,93,R93,HO2,1
2165,94,R94,IC3H7O,1
5807,94,IC3H7O2,R94,-1
6017,94,R94,NO2,1
6024,94,NO3,R94,-1
2951,95,R95,IC3H7OOH,1
5807,95,IC3H7O2,R95,-1
6030,95,HO2,R95,-1
2165,96,R96,IC3H7O,1
5807,96,IC3H7O2,R96,-1
5807,97,IC3H7O2,R97,-1
5922,97,R97,CH3COCH3,1
3750,98,R98,IPROPOL,1
5807,98,IC3H7O2,R98,-1
2950,99,IC3H7NO3,R99,-1
5922,99,R99,CH3COCH3,1
6017,99,R99,NO2,1
6029,99,OH,R99,-1
2165,100,R100,IC3H7O,1
2950,100,IC3H7NO3,R100,-1
6017,100,R100,NO2,1
2951,101,IC3H7OOH,R101,-1
5807,101,R101,IC3H7O2,1
6029,101,OH,R101,-1
2951,102,IC3H7OOH,R102,-1
5922,102,R102,CH3COCH3,1
6029,102,OH,R102,-1
6029,102,R102,OH,1
2165,103,R103,IC3H7O,1
2951,103,IC3H7OOH,R103,-1
6029,103,R103,OH,1
3751,104,NC4H10,R104,-1
5869,104,R104,NC4H9O2,1
6029,104,OH,R104,-1
3751,105,NC4H10,R105,-1
5776,105,R105,SC4H9O2,1
6029,105,OH,R105,-1
3604,106,R106,NC4H9O,1
5869,106,NC4H9O2,R106,-1
6017,106,R106,NO2,1
6023,106,NO,R106,-1
2952,107,R107,NC4H9NO3,1
5869,107,NC4H9O2,R107,-1
6023,107,NO,R107,-1
3604,108,NC4H9O,R108,-1
5889,108,R108,C3H7CHO,1
6030,108,R108,HO2,1
3604,109,NC4H9O,R109,-1
4429,109,R109,HO1C4O2,1
2166,110,R110,HO1C4O,1
4429,110,HO1C4O2,R110,-1
6017,110,R110,NO2,1
