! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : gckpp_EdgeList.csv
! Equation file        : gckpp.kpp
! Output root filename : gckpp
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,reaction_index,source,target,directed_stoichiometric_value
237,1,O3,R1,-1
238,1,R1,NO2,1
239,1,NO,R1,-1
33,2,R2,LOx,1
231,2,OH,R2,-1
237,2,O3,R2,-1
242,2,R2,HO2,1
33,3,R3,LOx,1
231,3,R3,OH,1
237,3,O3,R3,-1
242,3,HO2,R3,-1
235,4,R4,NO3,1
237,4,O3,R4,-1
238,4,NO2,R4,-1
33,5,R5,LOx,1
222,5,R5,CH2O,1
230,5,MO2,R5,-1
237,5,O3,R5,-1
242,5,R5,HO2,1
32,6,R6,POx,1
231,6,OH,R6,-2
240,6,R6,O,1
243,6,R6,H2O,1
38,7,R7,PH2O2,1
178,7,R7,H2O2,1
231,7,OH,R7,-2
231,8,OH,R8,-1
242,8,HO2,R8,-1
243,8,R8,H2O,1
178,9,H2O2,R9,-1
231,9,OH,R9,-1
242,9,R9,HO2,1
243,9,R9,H2O,1
32,10,R10,POx,1
231,10,R10,OH,1
238,10,R10,NO2,1
239,10,NO,R10,-1
242,10,HO2,R10,-1
38,11,R11,PH2O2,1
178,11,R11,H2O2,1
242,11,HO2,R11,-2
7,12,R12,CO2,1
35,12,R12,LCO,1
231,12,OH,R12,-1
236,12,CO,R12,-1
242,12,R12,HO2,1
37,13,R13,LCH4,1
157,13,CH4,R13,-1
230,13,R13,MO2,1
231,13,OH,R13,-1
243,13,R13,H2O,1
32,14,R14,POx,1
222,14,R14,CH2O,1
230,14,MO2,R14,-1
238,14,R14,NO2,1
239,14,NO,R14,-1
242,14,R14,HO2,1
87,15,R15,MENO3,1
230,15,MO2,R15,-1
239,15,NO,R15,-1
128,16,R16,MP,1
230,16,MO2,R16,-1
242,16,HO2,R16,-1
193,17,R17,MOH,1
222,17,R17,CH2O,1
230,17,MO2,R17,-2
222,18,R18,CH2O,2
230,18,MO2,R18,-2
242,18,R18,HO2,2
128,19,MP,R19,-1
230,19,R19,MO2,1
231,19,OH,R19,-1
243,19,R19,H2O,1
128,20,MP,R20,-1
222,20,R20,CH2O,1
231,20,OH,R20,-1
231,20,R20,OH,1
243,20,R20,H2O,1
121,21,ATOOH,R21,-1
182,21,R21,ATO2,1
231,21,OH,R21,-1
243,21,R21,H2O,1
121,22,ATOOH,R22,-1
207,22,R22,MGLY,1
231,22,OH,R22,-1
231,22,R22,OH,1
243,22,R22,H2O,1
34,23,R23,PCO,1
222,23,CH2O,R23,-1
231,23,OH,R23,-1
236,23,R23,CO,1
242,23,R23,HO2,1
243,23,R23,H2O,1
196,24,R24,HNO3,1
231,24,OH,R24,-1
238,24,NO2,R24,-1
32,25,R25,POx,1
196,25,HNO3,R25,-1
231,25,OH,R25,-1
235,25,R25,NO3,1
243,25,R25,H2O,1
106,26,R26,HNO2,1
231,26,OH,R26,-1
239,26,NO,R26,-1
32,27,R27,POx,1
106,27,HNO2,R27,-1
231,27,OH,R27,-1
238,27,R27,NO2,1
243,27,R27,H2O,1
100,28,R28,HNO4,1
238,28,NO2,R28,-1
242,28,HO2,R28,-1
100,29,HNO4,R29,-1
238,29,R29,NO2,1
242,29,R29,HO2,1
100,30,HNO4,R30,-1
231,30,OH,R30,-1
238,30,R30,NO2,1
243,30,R30,H2O,1
33,31,R31,LOx,1
231,31,R31,OH,1
235,31,NO3,R31,-1
238,31,R31,NO2,1
242,31,HO2,R31,-1
235,32,NO3,R32,-1
238,32,R32,NO2,2
239,32,NO,R32,-1
33,33,R33,LOx,1
231,33,OH,R33,-1
235,33,NO3,R33,-1
238,33,R33,NO2,1
242,33,R33,HO2,1
137,34,R34,N2O5,1
235,34,NO3,R34,-1
238,34,NO2,R34,-1
137,35,N2O5,R35,-1
235,35,R35,NO3,1
238,35,R35,NO2,1
7,36,R36,CO2,1
174,36,HCOOH,R36,-1
231,36,OH,R36,-1
242,36,R36,HO2,1
243,36,R36,H2O,1
193,37,MOH,R37,-1
222,37,R37,CH2O,1
231,37,OH,R37,-1
242,37,R37,HO2,1
33,38,R38,LOx,2
235,38,NO3,R38,-1
238,38,NO2,R38,-1
238,38,R38,NO2,1
239,38,R38,NO,1
33,39,R39,LOx,1
34,39,R39,PCO,1
196,39,R39,HNO3,1
222,39,CH2O,R39,-1
235,39,NO3,R39,-1
236,39,R39,CO,1
242,39,R39,HO2,1
34,40,R40,PCO,0.05
222,40,R40,CH2O,0.05
223,40,ALD2,R40,-1
226,40,R40,MCO3,0.95
231,40,OH,R40,-1
236,40,R40,CO,0.05
242,40,R40,HO2,0.05
243,40,R40,H2O,1
33,41,R41,LOx,1
196,41,R41,HNO3,1
223,41,ALD2,R41,-1
226,41,R41,MCO3,1
235,41,NO3,R41,-1
103,42,R42,PAN,1
226,42,MCO3,R42,-1
238,42,NO2,R42,-1
103,43,PAN,R43,-1
226,43,R43,MCO3,1
238,43,R43,NO2,1
7,44,R44,CO2,1
32,44,R44,POx,1
226,44,MCO3,R44,-1
230,44,R44,MO2,1
238,44,R44,NO2,1
239,44,NO,R44,-1
143,45,C2H6,R45,-1
187,45,R45,ETO2,1
231,45,OH,R45,-1
243,45,R45,H2O,1
32,46,R46,POx,1
187,46,ETO2,R46,-1
223,46,R46,ALD2,1
238,46,R46,NO2,1
239,46,NO,R46,-1
242,46,R46,HO2,1
96,47,R47,ETNO3,1
187,47,ETO2,R47,-1
239,47,NO,R47,-1
32,48,R48,POx,1
208,48,OTHRO2,R48,-1
223,48,R48,ALD2,1
238,48,R48,NO2,1
239,48,NO,R48,-1
242,48,R48,HO2,1
115,49,C3H8,R49,-1
192,49,R49,B3O2,1
231,49,OH,R49,-1
115,50,C3H8,R50,-1
189,50,R50,A3O2,1
231,50,OH,R50,-1
32,51,R51,POx,1
189,51,A3O2,R51,-1
225,51,R51,RCHO,1
238,51,R51,NO2,1
239,51,NO,R51,-1
242,51,R51,HO2,1
89,52,R52,NPRNO3,1
189,52,A3O2,R52,-1
239,52,NO,R52,-1
32,53,R53,POx,1
176,53,PO2,R53,-1
222,53,R53,CH2O,1
223,53,R53,ALD2,1
238,53,R53,NO2,1
239,53,NO,R53,-1
242,53,R53,HO2,1
107,54,ALK4,R54,-1
210,54,R54,R4O2,1
231,54,OH,R54,-1
32,55,R55,POx,1
189,55,R55,A3O2,0.05
192,55,R55,B3O2,0.18
208,55,R55,OTHRO2,0.32
210,55,R4O2,R55,-1
218,55,R55,ACET,0.32
221,55,R55,MEK,0.19
223,55,R55,ALD2,0.32
225,55,R55,RCHO,0.14
230,55,R55,MO2,0.19
238,55,R55,NO2,1
239,55,NO,R55,-1
242,55,R55,HO2,0.27
32,56,R56,POx,1
210,56,R4O2,R56,-1
213,56,R56,R4N2,1
239,56,NO,R56,-1
32,57,R57,POx,1
180,57,R4N1,R57,-1
222,57,R57,CH2O,0.57
223,57,R57,ALD2,0.86
225,57,R57,RCHO,0.57
238,57,R57,NO2,2
239,57,NO,R57,-1
32,58,R58,POx,1
182,58,ATO2,R58,-1
222,58,R58,CH2O,1
226,58,R58,MCO3,1
238,58,R58,NO2,1
239,58,NO,R58,-1
32,59,R59,POx,1
191,59,KO2,R59,-1
