! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : isoprene_full_v5_EdgeList.csv
! Equation file        : isoprene_full_v5.def
! Output root filename : isoprene_full_v5
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,reaction_index,source,target,directed_stoichiometric_value
13,56,R56,ISOP1OH2N3OOH4CO,1
286,56,ISOP1OH2OO3OOH4CO,R56,-1
16,57,R57,MACR2OOH3OH,1
199,57,R57,CO,1
286,57,ISOP1OH2OO3OOH4CO,R57,-1
14,58,R58,ISOP1OH2OOH3OOH4CO,1
286,58,ISOP1OH2OO3OOH4CO,R58,-1
10,59,R59,GLYX,1
11,59,R59,HAC,1
286,59,ISOP1OH2OO3OOH4CO,R59,-1
242,60,R60,ISOP1CO2OO3OH4OH,1
285,60,ISOP1CO4OH,R60,-1
46,61,R61,MVK3OOH4OH,1
199,61,R61,CO,1
285,61,ISOP1CO4OH,R61,-1
275,62,R62,ISOP1CO1R4OH,1
285,62,ISOP1CO4OH,R62,-1
16,63,R63,MACR2OOH3OH,1
199,63,R63,CO,1
319,63,ISOP1OH4CO,R63,-1
247,64,R64,ISOP1OH2OH3OO4CO,1
319,64,ISOP1OH4CO,R64,-1
288,65,R65,ISOP1OH4CO4R,1
319,65,ISOP1OH4CO,R65,-1
275,66,ISOP1CO1R4OH,R66,-1
284,66,R66,ISOP1CO1OO4OH,1
283,67,R67,ISOP1PAN4OH,1
284,67,ISOP1CO1OO4OH,R67,-1
283,68,ISOP1PAN4OH,R68,-1
284,68,R68,ISOP1CO1OO4OH,1
224,69,R69,C4HVP1,1
231,69,R69,CO2,1
284,69,ISOP1CO1OO4OH,R69,-1
224,70,R70,C4HVP1,1
231,70,R70,CO2,1
284,70,ISOP1CO1OO4OH,R70,-1
195,71,R71,ISOP1CO1OH4OH,1
284,71,ISOP1CO1OO4OH,R71,-1
197,72,R72,ISOP1CO1OOH4OH,1
284,72,ISOP1CO1OO4OH,R72,-1
27,73,R73,MACR2OOH3CO3OOH,1
199,73,R73,CO,1
284,73,ISOP1CO1OO4OH,R73,-1
288,74,ISOP1OH4CO4R,R74,-1
318,74,R74,ISOP1OH4CO4OO,1
317,75,R75,ISOP1OH4PAN,1
318,75,ISOP1OH4CO4OO,R75,-1
317,76,ISOP1OH4PAN,R76,-1
318,76,R76,ISOP1OH4CO4OO,1
213,77,R77,C4HVP2,1
231,77,R77,CO2,1
318,77,ISOP1OH4CO4OO,R77,-1
213,78,R78,C4HVP2,1
231,78,R78,CO2,1
318,78,ISOP1OH4CO4OO,R78,-1
196,79,R79,ISOP1OH4CO4OH,1
318,79,ISOP1OH4CO4OO,R79,-1
198,80,R80,ISOP1OH4CO4OOH,1
318,80,ISOP1OH4CO4OO,R80,-1
26,81,R81,MVK3OOH4CO4OOH,1
199,81,R81,CO,1
318,81,ISOP1OH4CO4OO,R81,-1
202,82,R82,ISOP1OH2OO3CO4OH,1
203,82,ISOP3CO4OH,R82,-1
21,83,R83,ISOP1OH2OOH3CO4OH,1
202,83,ISOP1OH2OO3CO4OH,R83,-1
9,84,R84,HCHO,1
201,84,R84,MVK3CO4OH,1
202,84,ISOP1OH2OO3CO4OH,R84,-1
11,85,R85,HAC,1
17,85,R85,HPA,1
202,85,ISOP1OH2OO3CO4OH,R85,-1
18,86,R86,ISOP1OH2N3CO4OH,1
202,86,ISOP1OH2OO3CO4OH,R86,-1
11,87,R87,HAC,1
17,87,R87,HPA,1
202,87,ISOP1OH2OO3CO4OH,R87,-1
9,88,R88,HCHO,1
201,88,R88,MVK3CO4OH,1
202,88,ISOP1OH2OO3CO4OH,R88,-1
104,89,R89,ISOP1OH2OOH3CO4CO,1
202,89,ISOP1OH2OO3CO4OH,R89,-1
9,90,R90,HCHO,2
223,90,R90,MVK,2
379,90,ISOP1OH2OO,R90,-2
9,91,R91,HCHO,2
267,91,R91,MACR,2
378,91,ISOP3OO4OH,R91,-2
19,92,R92,ISOP3OH4OH,1
203,92,R92,ISOP3CO4OH,1
378,92,ISOP3OO4OH,R92,-2
9,93,R93,HCHO,2
223,93,R93,MVK,1
267,93,R93,MACR,1
378,93,ISOP3OO4OH,R93,-1
379,93,ISOP1OH2OO,R93,-1
20,94,R94,ISOP1OH2OH,1
203,94,R94,ISOP3CO4OH,1
378,94,ISOP3OO4OH,R94,-1
379,94,ISOP1OH2OO,R94,-1
9,95,R95,HCHO,1
223,95,R95,MVK,1
319,95,R95,ISOP1OH4CO,1
374,95,ISOP1OO4OHc,R95,-1
379,95,ISOP1OH2OO,R95,-1
9,96,R96,HCHO,1
223,96,R96,MVK,1
287,96,R96,ISOP1OH2OOH3OO4CO,1
374,96,ISOP1OO4OHc,R96,-1
379,96,ISOP1OH2OO,R96,-1
20,97,R97,ISOP1OH2OH,1
285,97,R97,ISOP1CO4OH,1
374,97,ISOP1OO4OHc,R97,-1
379,97,ISOP1OH2OO,R97,-1
9,98,R98,HCHO,1
223,98,R98,MVK,1
319,98,R98,ISOP1OH4CO,1
373,98,ISOP1OO4OHt,R98,-1
379,98,ISOP1OH2OO,R98,-1
9,99,R99,HCHO,1
223,99,R99,MVK,1
287,99,R99,ISOP1OH2OOH3OO4CO,1
373,99,ISOP1OO4OHt,R99,-1
379,99,ISOP1OH2OO,R99,-1
20,100,R100,ISOP1OH2OH,1
285,100,R100,ISOP1CO4OH,1
373,100,ISOP1OO4OHt,R100,-1
379,100,ISOP1OH2OO,R100,-1
9,101,R101,HCHO,1
223,101,R101,MVK,1
285,101,R101,ISOP1CO4OH,1
377,101,ISOP1OH4OOc,R101,-1
379,101,ISOP1OH2OO,R101,-1
9,102,R102,HCHO,1
223,102,R102,MVK,1
294,102,R102,ISOP1CO2OO3OOH4OH,1
377,102,ISOP1OH4OOc,R102,-1
379,102,ISOP1OH2OO,R102,-1
20,103,R103,ISOP1OH2OH,1
319,103,R103,ISOP1OH4CO,1
377,103,ISOP1OH4OOc,R103,-1
379,103,ISOP1OH2OO,R103,-1
9,104,R104,HCHO,1
223,104,R104,MVK,1
285,104,R104,ISOP1CO4OH,1
379,104,ISOP1OH2OO,R104,-1
380,104,ISOP1OH4OOt,R104,-1
9,105,R105,HCHO,1
223,105,R105,MVK,1
294,105,R105,ISOP1CO2OO3OOH4OH,1
379,105,ISOP1OH2OO,R105,-1
380,105,ISOP1OH4OOt,R105,-1
20,106,R106,ISOP1OH2OH,1
319,106,R106,ISOP1OH4CO,1
379,106,ISOP1OH2OO,R106,-1
380,106,ISOP1OH4OOt,R106,-1
9,107,R107,HCHO,1
267,107,R107,MACR,1
319,107,R107,ISOP1OH4CO,1
374,107,ISOP1OO4OHc,R107,-1
378,107,ISOP3OO4OH,R107,-1
9,108,R108,HCHO,1
267,108,R108,MACR,1
287,108,R108,ISOP1OH2OOH3OO4CO,1
374,108,ISOP1OO4OHc,R108,-1
378,108,ISOP3OO4OH,R108,-1
19,109,R109,ISOP3OH4OH,1
285,109,R109,ISOP1CO4OH,1
374,109,ISOP1OO4OHc,R109,-1
378,109,ISOP3OO4OH,R109,-1
22,110,R110,ISOP1OH4OH,1
203,110,R110,ISOP3CO4OH,1
374,110,ISOP1OO4OHc,R110,-1
378,110,ISOP3OO4OH,R110,-1
9,111,R111,HCHO,1
267,111,R111,MACR,1
319,111,R111,ISOP1OH4CO,1
373,111,ISOP1OO4OHt,R111,-1
378,111,ISOP3OO4OH,R111,-1
9,112,R112,HCHO,1
267,112,R112,MACR,1
287,112,R112,ISOP1OH2OOH3OO4CO,1
373,112,ISOP1OO4OHt,R112,-1
378,112,ISOP3OO4OH,R112,-1
19,113,R113,ISOP3OH4OH,1
285,113,R113,ISOP1CO4OH,1
373,113,ISOP1OO4OHt,R113,-1
