Experiment number,Temperature (K),Time (min),O3 [ppb],NO [ppb],NO2 [ppb],HCHO [ppb],HO2 [ppb],H2O2 [ppb],OH [ppb],HNO3 [ppb],CO [ppb],H2 [ppb],ALD2 [ppb],MGLY [ppb],MCO3 [ppb],PAN [ppb],H2O [ppb],O2 [ppb]
1.0,288.3574087679784,0.0,25.7935704174751,1.8004603208679384,5.453148915885877,9.578110129846898,0.004235912564725989,4.847023673932018,8.057685880656874e-5,0.0,0.0,0.0,6.005123652935155,19.885334943399148,0.005153513665095279,4.91272167031828,0.0,2.0999999999999997e8
1.0,288.3574087679784,300.0,27.868601851657175,2.0308195213836306,2.8658843412381434,8.817635341505188,0.014249422369777123,4.778050137000122,0.0009937037826518633,0.6824647568222271,1.8442035876296463,0.14291184099303406,5.4068590126008145,18.803944384537044,0.009198975338810263,6.587162287628096,1.181422067422604,2.0999999445012188e8
1.0,288.3574087679784,600.0,28.718594584233493,1.0207075194887878,1.6614435392912872,7.997615980718195,0.028458644107019922,4.695110511468479,0.0012544631760130719,1.2125616149933736,3.6906118949979665,0.2743411291346281,4.736033475106436,17.78136056324001,0.016249825817520127,8.271618233298646,2.5302268693076986,2.099999901067679e8
1.0,288.3574087679784,900.0,29.647854099767308,0.1698205918169097,0.5430939366345264,7.131113640670959,0.13437785576321398,4.596784803960872,0.0013203609538521488,1.5306376852128776,5.5298519610491725,0.39365645715642794,4.019260135228842,16.814387122247226,0.04595400407316834,9.922778693407784,4.009905603207549,2.0999998569862562e8
1.0,288.3574087679784,1200.0,29.96771171894508,0.00035144096920400515,0.007872724636451108,6.735113845290475,0.9523816186392782,4.556007985274709,4.321184480166789e-5,1.5629453236138586,6.842523686075909,0.5006935781002759,3.7927856362992736,15.899999359026138,0.5132914585664528,10.595161417852585,4.487272226140548,2.0999998296238774e8
1.0,288.3574087679784,1500.0,29.978936979029964,5.922142092571874e-5,0.0027595964738184073,6.549951587024144,1.9591880809381683,4.543852996513807,2.8953046568940174e-5,1.5629778524190507,7.892510701951114,0.6030343757728088,3.77772654943795,15.035336928354512,1.3875589937250603,10.6005342367583,4.518818813311735,2.09999981055289e8
1.0,288.3574087679784,1800.0,29.98436634188243,2.490644942733548e-5,0.0017206609688936755,6.3723631511429675,2.9179736908206593,4.532107040149673,2.6322287402311178e-5,1.5629904704653022,8.887873479772626,0.7025737720021612,3.765435602557751,14.217695586253376,2.2163641503566165,10.601594869188473,4.544281905112973,2.0999997925745252e8
1.0,288.3574087679784,2100.0,29.987995176109543,1.4046583556912723e-5,0.0012695784117541895,6.200250669265589,3.829418455664732,4.520494034622722,2.5310852307627656e-5,1.5629985419638748,9.833288436442912,0.7994181228242743,3.7539222056135975,13.444518100106823,3.000538668199711,10.602048740112908,4.567876312271532,2.0999997755571166e8
1.0,288.3574087679784,2400.0,29.990725371547406,9.199315405137312e-6,0.0010174220489027066,6.033059284344863,4.69561195192906,4.508953996467434,2.484770430586823e-5,1.5630045898230782,10.731733188978824,0.8936491918981215,3.742754561925426,12.713386338336107,3.7425263149645644,10.602299695884707,4.590518032898728,2.0999997594336784e8
1.0,288.3574087679784,2700.0,29.992914311912898,6.598448041570858e-6,0.0008564872051204165,5.870499884223631,5.518769123317082,4.4974633840471085,2.463640891811545e-5,1.5630094972668684,11.58578549300471,0.9853412690142004,3.7317635823456685,12.022013473620788,4.444671511397612,10.602458324152062,4.61256698609554,2.0999997441505587e8
