! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : MOZART_4_EdgeList.csv
! Equation file        : MOZART_4.kpp
! Output root filename : MOZART_4
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,reaction_index,source,target,directed_stoichiometric_value
75,51,OH,R51,-2
9,52,R52,H2O2,1
75,52,OH,R52,-2
3,53,N2O,R53,-1
47,53,O1D_CB4,R53,-1
76,53,R53,NO,2
3,54,N2O,R54,-1
47,54,O1D_CB4,R54,-1
73,55,R55,NO2,1
75,55,R55,OH,1
76,55,NO,R55,-1
79,55,HO2,R55,-1
73,56,R56,NO2,1
76,56,NO,R56,-1
81,56,O3,R56,-1
52,57,O,R57,-1
73,57,NO2,R57,-1
76,57,R57,NO,1
73,58,NO2,R58,-1
80,58,R58,NO3,1
81,58,O3,R58,-1
73,59,R59,NO2,1
75,59,R59,OH,1
79,59,HO2,R59,-1
80,59,NO3,R59,-1
13,60,R60,N2O5,1
73,60,NO2,R60,-1
80,60,NO3,R60,-1
13,61,N2O5,R61,-1
73,61,R61,NO2,1
80,61,R61,NO3,1
39,62,R62,HNO3,1
73,62,NO2,R62,-1
75,62,OH,R62,-1
39,63,HNO3,R63,-1
75,63,OH,R63,-1
80,63,R63,NO3,1
73,64,R64,NO2,2
76,64,NO,R64,-1
80,64,NO3,R64,-1
26,65,R65,HO2NO2,1
73,65,NO2,R65,-1
79,65,HO2,R65,-1
26,66,HO2NO2,R66,-1
73,66,R66,NO2,1
75,66,OH,R66,-1
26,67,HO2NO2,R67,-1
73,67,R67,NO2,1
79,67,R67,HO2,1
13,68,N2O5,R68,-1
39,68,R68,HNO3,2
39,69,R69,HNO3,1
80,69,NO3,R69,-1
39,70,R70,HNO3,0.5
73,70,NO2,R70,-1
75,70,R70,OH,0.5
76,70,R70,NO,0.5
40,71,CH4,R71,-1
75,71,OH,R71,-1
77,71,R71,CH3O2,1
19,72,R72,H2,0.05
40,72,CH4,R72,-1
47,72,O1D_CB4,R72,-1
72,72,R72,CH2O,0.25
75,72,R72,OH,0.75
77,72,R72,CH3O2,0.75
79,72,R72,HO2,0.4
72,73,R73,CH2O,1
73,73,R73,NO2,1
76,73,NO,R73,-1
77,73,CH3O2,R73,-1
79,73,R73,HO2,1
72,74,R74,CH2O,2
77,74,CH3O2,R74,-2
79,74,R74,HO2,2
41,75,R75,CH3OH,1
72,75,R75,CH2O,1
77,75,CH3O2,R75,-2
18,76,R76,CH3OOH,1
77,76,CH3O2,R76,-1
79,76,HO2,R76,-1
18,77,CH3OOH,R77,-1
72,77,R77,CH2O,0.3
75,77,OH,R77,-1
75,77,R77,OH,0.3
77,77,R77,CH3O2,0.7
39,78,R78,HNO3,1
58,78,R78,CO,1
72,78,CH2O,R78,-1
79,78,R78,HO2,1
80,78,NO3,R78,-1
58,79,R79,CO,1
72,79,CH2O,R79,-1
75,79,OH,R79,-1
79,79,R79,HO2,1
58,80,CO,R80,-1
75,80,OH,R80,-1
79,80,R80,HO2,1
27,81,C2H4,R81,-1
30,81,R81,EO2,0.75
72,81,R81,CH2O,0.5
75,81,OH,R81,-1
79,81,R81,HO2,0.25
27,82,C2H4,R82,-1
34,82,R82,CH3COOH,0.25
58,82,R82,CO,0.5
72,82,R82,CH2O,1
75,82,R82,OH,0.12
79,82,R82,HO2,0.12
81,82,O3,R82,-1
1,83,R83,SO4,1
8,83,SO2,R83,-1
75,83,OH,R83,-1
37,84,GLYOXAL,R84,-1
58,84,R84,CO,1
75,84,OH,R84,-1
79,84,R84,HO2,1
12,85,R85,EO,1
30,85,EO2,R85,-1
73,85,R85,NO2,1
76,85,NO,R85,-1
12,86,EO,R86,-1
54,86,R86,GLYALD,1
79,86,R86,HO2,1
12,87,EO,R87,-1
72,87,R87,CH2O,2
79,87,R87,HO2,1
4,88,C2H6,R88,-1
56,88,R88,C2H5O2,1
75,88,OH,R88,-1
56,89,C2H5O2,R89,-1
62,89,R89,CH3CHO,1
73,89,R89,NO2,1
76,89,NO,R89,-1
79,89,R89,HO2,1
21,90,R90,C2H5OOH,1
56,90,C2H5O2,R90,-1
79,90,HO2,R90,-1
17,91,R91,C2H5OH,0.2
41,91,R91,CH3OH,0.3
56,91,C2H5O2,R91,-1
62,91,R91,CH3CHO,0.8
72,91,R91,CH2O,0.7
77,91,CH3O2,R91,-1
79,91,R91,HO2,1
21,92,C2H5OOH,R92,-1
56,92,R92,C2H5O2,0.5
62,92,R92,CH3CHO,0.5
75,92,OH,R92,-1
75,92,R92,OH,0.5
50,93,R93,PO2,1
61,93,C3H6,R93,-1
75,93,OH,R93,-1
34,94,R94,CH3COOH,0.25
40,94,R94,CH4,0.08
58,94,R94,CO,0.56
61,94,C3H6,R94,-1
62,94,R94,CH3CHO,0.5
72,94,R94,CH2O,0.54
75,94,R94,OH,0.33
77,94,R94,CH3O2,0.31
79,94,R94,HO2,0.19
81,94,O3,R94,-1
29,95,R95,ONIT,1
61,95,C3H6,R95,-1
80,95,NO3,R95,-1
50,96,PO2,R96,-1
62,96,R96,CH3CHO,1
72,96,R96,CH2O,1
73,96,R96,NO2,1
76,96,NO,R96,-1
79,96,R96,HO2,1
35,97,R97,POOH,1
50,97,PO2,R97,-1
79,97,HO2,R97,-1
35,98,POOH,R98,-1
50,98,R98,PO2,0.5
65,98,R98,HYAC,0.5
75,98,OH,R98,-1
75,98,R98,OH,0.5
62,99,CH3CHO,R99,-1
75,99,OH,R99,-1
78,99,R99,CH3CO3,1
39,100,R100,HNO3,1
62,100,CH3CHO,R100,-1
78,100,R100,CH3CO3,1
80,100,NO3,R100,-1
73,101,R101,NO2,1
76,101,NO,R101,-1
77,101,R101,CH3O2,1
78,101,CH3CO3,R101,-1
36,102,R102,PAN,1
73,102,NO2,R102,-1
78,102,CH3CO3,R102,-1
32,103,R103,CH3COOOH,0.75
34,103,R103,CH3COOH,0.25
78,103,CH3CO3,R103,-1
79,103,HO2,R103,-1
81,103,R103,O3,0.25
34,104,R104,CH3COOH,0.1
72,104,R104,CH2O,1
77,104,CH3O2,R104,-1
77,104,R104,CH3O2,0.9
78,104,CH3CO3,R104,-1
79,104,R104,HO2,0.9
32,105,CH3COOOH,R105,-1
72,105,R105,CH2O,0.5
75,105,OH,R105,-1
78,105,R105,CH3CO3,0.5
36,106,PAN,R106,-1
73,106,R106,NO2,1
78,106,R106,CH3CO3,1
77,107,R107,CH3O2,2
78,107,CH3CO3,R107,-2
5,108,C3H8,R108,-1
57,108,R108,C3H7O2,1
75,108,OH,R108,-1
51,109,R109,CH3COCH3,0.82
57,109,C3H7O2,R109,-1
62,109,R109,CH3CHO,0.27
73,109,R109,NO2,1
76,109,NO,R109,-1
79,109,R109,HO2,1
22,110,R110,C3H7OOH,1
57,110,C3H7O2,R110,-1
79,110,HO2,R110,-1
51,111,R111,CH3COCH3,0.82
57,111,C3H7O2,R111,-1
72,111,R111,CH2O,1
77,111,CH3O2,R111,-1
79,111,R111,HO2,1
22,112,C3H7OOH,R112,-1
57,112,R112,C3H7O2,1
75,112,OH,R112,-1
51,113,CH3COCH3,R113,-1
63,113,R113,RO2,1
75,113,OH,R113,-1
63,114,RO2,R114,-1
72,114,R114,CH2O,1
73,114,R114,NO2,1
76,114,NO,R114,-1
78,114,R114,CH3CO3,1
23,115,R115,ROOH,1
63,115,RO2,R115,-1
79,115,HO2,R115,-1
41,116,R116,CH3OH,0.5
63,116,RO2,R116,-1
65,116,R116,HYAC,0.2
67,116,R116,CH3COCHO,0.5
72,116,R116,CH2O,0.8
77,116,CH3O2,R116,-1
78,116,R116,CH3CO3,0.3
79,116,R116,HO2,0.3
23,117,ROOH,R117,-1
63,117,R117,RO2,1
75,117,OH,R117,-1
6,118,BIGENE,R118,-1
24,118,R118,ENEO2,1
75,118,OH,R118,-1
24,119,ENEO2,R119,-1
51,119,R119,CH3COCH3,0.5
62,119,R119,CH3CHO,1
72,119,R119,CH2O,0.5
73,119,R119,NO2,1
76,119,NO,R119,-1
79,119,R119,HO2,1
7,120,BIGALK,R120,-1
55,120,R120,ALKO2,1
75,120,OH,R120,-1
29,121,R121,ONIT,0.1
33,121,R121,MEK,0.75
51,121,R121,CH3COCH3,0.25
55,121,ALKO2,R121,-1
62,121,R121,CH3CHO,0.4
72,121,R121,CH2O,0.1
73,121,R121,NO2,0.9
76,121,NO,R121,-1
79,121,R121,HO2,0.9
48,122,R122,ALKOOH,1
55,122,ALKO2,R122,-1
79,122,HO2,R122,-1
48,123,ALKOOH,R123,-1
55,123,R123,ALKO2,1
75,123,OH,R123,-1
29,124,ONIT,R124,-1
67,124,R124,CH3COCHO,1
73,124,R124,NO2,1
75,124,OH,R124,-1
33,125,MEK,R125,-1
49,125,R125,MEKO2,1
75,125,OH,R125,-1
49,126,MEKO2,R126,-1
62,126,R126,CH3CHO,1
73,126,R126,NO2,1
76,126,NO,R126,-1
78,126,R126,CH3CO3,1
25,127,R127,MEKOOH,1
49,127,MEKO2,R127,-1
79,127,HO2,R127,-1
25,128,MEKOOH,R128,-1
49,128,R128,MEKO2,1
75,128,OH,R128,-1
10,129,TOLUENE,R129,-1
11,129,R129,CRESOL,0.25
44,129,R129,TOLO2,0.7
75,129,OH,R129,-1
79,129,R129,HO2,0.25
11,130,CRESOL,R130,-1
14,130,R130,XOH,1
75,130,OH,R130,-1
14,131,XOH,R131,-1
45,131,R131,BIGALD,0.7
73,131,NO2,R131,-1
73,131,R131,NO2,0.7
79,131,R131,HO2,0.7
37,132,R132,GLYOXAL,0.45
44,132,TOLO2,R132,-1
45,132,R132,BIGALD,0.9
67,132,R132,CH3COCHO,0.45
73,132,R132,NO2,0.9
76,132,NO,R132,-1
79,132,R132,HO2,0.9
31,133,R133,TOLOOH,1
44,133,TOLO2,R133,-1
79,133,HO2,R133,-1
31,134,TOLOOH,R134,-1
44,134,R134,TOLO2,1
75,134,OH,R134,-1
59,135,ISOP,R135,-1
71,135,R135,ISOPO2,1
75,135,OH,R135,-1
34,136,R136,CH3COOH,0.2
58,136,R136,CO,0.3
59,136,ISOP,R136,-1
61,136,R136,C3H6,0.07
66,136,R136,MACR,0.4
69,136,R136,MVK,0.2
72,136,R136,CH2O,0.6
74,136,R136,MCO3,0.2
75,136,R136,OH,0.27
79,136,R136,HO2,0.06
81,136,O3,R136,-1
81,136,R136,O3,0.1
28,137,R137,HYDRALD,0.37
60,137,R137,ONITR,0.08
66,137,R137,MACR,0.23
69,137,R137,MVK,0.32
71,137,ISOPO2,R137,-1
72,137,R137,CH2O,0.55
73,137,R137,NO2,0.92
76,137,NO,R137,-1
79,137,R137,HO2,1
28,138,R138,HYDRALD,0.4
66,138,R138,MACR,0.25
69,138,R138,MVK,0.35
71,138,ISOPO2,R138,-1
72,138,R138,CH2O,0.6
73,138,R138,NO2,1
79,138,R138,HO2,1
80,138,NO3,R138,-1
42,139,R139,ISOPOOH,1
71,139,ISOPO2,R139,-1
79,139,HO2,R139,-1
42,140,ISOPOOH,R140,-1
68,140,R140,XO2,0.5
71,140,R140,ISOPO2,0.5
75,140,OH,R140,-1
28,141,R141,HYDRALD,0.3
41,141,R141,CH3OH,0.25
66,141,R141,MACR,0.19
69,141,R141,MVK,0.26
71,141,ISOPO2,R141,-1
72,141,R141,CH2O,1.2
77,141,CH3O2,R141,-1
79,141,R141,HO2,1
28,142,R142,HYDRALD,0.4
66,142,R142,MACR,0.25
69,142,R142,MVK,0.35
71,142,ISOPO2,R142,-1
72,142,R142,CH2O,0.6
77,142,R142,CH3O2,1
78,142,CH3CO3,R142,-1
79,142,R142,HO2,1
69,143,MVK,R143,-1
70,143,R143,MACRO2,1
75,143,OH,R143,-1
58,144,R144,CO,0.05
62,144,R144,CH3CHO,0.04
67,144,R144,CH3COCHO,0.95
69,144,MVK,R144,-1
72,144,R144,CH2O,0.8
75,144,R144,OH,0.08
79,144,R144,HO2,0.06
81,144,O3,R144,-1
81,144,R144,O3,0.2
66,145,MACR,R145,-1
70,145,R145,MACRO2,0.5
74,145,R145,MCO3,0.5
75,145,OH,R145,-1
58,146,R146,CO,0.2
66,146,MACR,R146,-1
67,146,R146,CH3COCHO,0.8
72,146,R146,CH2O,0.7
75,146,R146,OH,0.215
79,146,R146,HO2,0.275
81,146,O3,R146,-1
81,146,R146,O3,0.2
54,147,R147,GLYALD,0.53
58,147,R147,CO,0.22
65,147,R147,HYAC,0.22
67,147,R147,CH3COCHO,0.25
70,147,MACRO2,R147,-1
72,147,R147,CH2O,0.25
73,147,R147,NO2,1
76,147,NO,R147,-1
78,147,R147,CH3CO3,0.53
79,147,R147,HO2,0.47
60,148,R148,ONITR,0.8
70,148,MACRO2,R148,-1
76,148,NO,R148,-1
54,149,R149,GLYALD,0.53
58,149,R149,CO,0.22
65,149,R149,HYAC,0.22
67,149,R149,CH3COCHO,0.25
70,149,MACRO2,R149,-1
72,149,R149,CH2O,0.25
73,149,R149,NO2,1
78,149,R149,CH3CO3,0.53
79,149,R149,HO2,0.47
80,149,NO3,R149,-1
20,150,R150,MACROOH,1
70,150,MACRO2,R150,-1
79,150,HO2,R150,-1
41,151,R151,CH3OH,0.25
54,151,R151,GLYALD,0.26
58,151,R151,CO,0.11
65,151,R151,HYAC,0.23
67,151,R151,CH3COCHO,0.24
70,151,MACRO2,R151,-1
72,151,R151,CH2O,0.88
77,151,CH3O2,R151,-1
78,151,R151,CH3CO3,0.26
79,151,R151,HO2,0.73
54,152,R152,GLYALD,0.53
58,152,R152,CO,0.22
65,152,R152,HYAC,0.22
67,152,R152,CH3COCHO,0.25
70,152,MACRO2,R152,-1
72,152,R152,CH2O,0.25
77,152,R152,CH3O2,1
78,152,CH3CO3,R152,-1
78,152,R152,CH3CO3,0.53
79,152,R152,HO2,0.47
20,153,MACROOH,R153,-1
70,153,R153,MACRO2,0.2
74,153,R153,MCO3,0.5
75,153,OH,R153,-1
75,153,R153,OH,0.1
79,153,R153,HO2,0.2
72,154,R154,CH2O,1
73,154,R154,NO2,1
74,154,MCO3,R154,-1
76,154,NO,R154,-1
78,154,R154,CH3CO3,1
72,155,R155,CH2O,1
73,155,R155,NO2,1
74,155,MCO3,R155,-1
78,155,R155,CH3CO3,1
80,155,NO3,R155,-1
32,156,R156,CH3COOOH,0.75
34,156,R156,CH3COOH,0.25
74,156,MCO3,R156,-1
79,156,HO2,R156,-1
81,156,R156,O3,0.25
72,157,R157,CH2O,2
74,157,MCO3,R157,-1
77,157,CH3O2,R157,-1
78,157,R157,CH3CO3,1
79,157,R157,HO2,1
72,158,R158,CH2O,1
74,158,MCO3,R158,-1
77,158,R158,CH3O2,1
78,158,CH3CO3,R158,-1
78,158,R158,CH3CO3,1
72,159,R159,CH2O,2
74,159,MCO3,R159,-2
78,159,R159,CH3CO3,2
43,160,R160,MPAN,1
73,160,NO2,R160,-1
74,160,MCO3,R160,-1
43,161,MPAN,R161,-1
73,161,R161,NO2,1
74,161,R161,MCO3,1
46,162,C10H16,R162,-1
64,162,R162,TERPO2,1
75,162,OH,R162,-1
46,163,C10H16,R163,-1
66,163,R163,MACR,1
69,163,R163,MVK,1
75,163,R163,OH,0.7
79,163,R163,HO2,1
81,163,O3,R163,-1
46,164,C10H16,R164,-1
64,164,R164,TERPO2,1
73,164,R164,NO2,1
80,164,NO3,R164,-1
51,165,R165,CH3COCH3,0.1
64,165,TERPO2,R165,-1
66,165,R165,MACR,1
69,165,R165,MVK,1
73,165,R165,NO2,1
76,165,NO,R165,-1
79,165,R165,HO2,1
38,166,R166,TERPOOH,1
64,166,TERPO2,R166,-1
79,166,HO2,R166,-1
38,167,TERPOOH,R167,-1
64,167,R167,TERPO2,1
75,167,OH,R167,-1
34,168,CH3COOH,R168,-1
75,168,OH,R168,-1
77,168,R168,CH3O2,1
53,169,R169,ISOPNO3,1
59,169,ISOP,R169,-1
80,169,NO3,R169,-1
53,170,ISOPNO3,R170,-1
60,170,R170,ONITR,0.794
66,170,R170,MACR,0.167
69,170,R170,MVK,0.039
72,170,R170,CH2O,0.072
73,170,R170,NO2,1.206
76,170,NO,R170,-1
79,170,R170,HO2,0.794
53,171,ISOPNO3,R171,-1
60,171,R171,ONITR,0.794
66,171,R171,MACR,0.167
69,171,R171,MVK,0.039
72,171,R171,CH2O,0.072
73,171,R171,NO2,1.206
79,171,R171,HO2,0.794
80,171,NO3,R171,-1
53,172,ISOPNO3,R172,-1
60,172,R172,ONITR,0.794
66,172,R172,MACR,0.167
69,172,R172,MVK,0.039
72,172,R172,CH2O,0.008
73,172,R172,NO2,0.206
