! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : MOZART_4_BiadjacencyMatrix.csv
! Equation file        : MOZART_4.kpp
! Output root filename : MOZART_4
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



spc_name,species_index,reaction_index,stoichiometric_coefficient
HNO3,39,69,1
NO3,80,69,-1
HNO3,39,70,0.5
NO2,73,70,-1
OH,75,70,0.5
NO,76,70,0.5
CH4,40,71,-1
OH,75,71,-1
CH3O2,77,71,1
H2,19,72,0.05
CH4,40,72,-1
O1D_CB4,47,72,-1
CH2O,72,72,0.25
OH,75,72,0.75
CH3O2,77,72,0.75
HO2,79,72,0.4
CH2O,72,73,1
NO2,73,73,1
NO,76,73,-1
CH3O2,77,73,-1
HO2,79,73,1
CH2O,72,74,2
CH3O2,77,74,-2
HO2,79,74,2
CH3OH,41,75,1
CH2O,72,75,1
CH3O2,77,75,-2
CH3OOH,18,76,1
CH3O2,77,76,-1
HO2,79,76,-1
CH3OOH,18,77,-1
CH2O,72,77,0.3
OH,75,77,-0.7
CH3O2,77,77,0.7
HNO3,39,78,1
CO,58,78,1
CH2O,72,78,-1
HO2,79,78,1
NO3,80,78,-1
CO,58,79,1
CH2O,72,79,-1
OH,75,79,-1
HO2,79,79,1
CO,58,80,-1
OH,75,80,-1
HO2,79,80,1
C2H4,27,81,-1
EO2,30,81,0.75
CH2O,72,81,0.5
OH,75,81,-1
HO2,79,81,0.25
C2H4,27,82,-1
CH3COOH,34,82,0.25
CO,58,82,0.5
CH2O,72,82,1
OH,75,82,0.12
HO2,79,82,0.12
O3,81,82,-1
SO4,1,83,1
SO2,8,83,-1
OH,75,83,-1
GLYOXAL,37,84,-1
CO,58,84,1
OH,75,84,-1
HO2,79,84,1
EO,12,85,1
EO2,30,85,-1
NO2,73,85,1
NO,76,85,-1
EO,12,86,-1
GLYALD,54,86,1
HO2,79,86,1
EO,12,87,-1
CH2O,72,87,2
HO2,79,87,1
C2H6,4,88,-1
C2H5O2,56,88,1
OH,75,88,-1
C2H5O2,56,89,-1
CH3CHO,62,89,1
NO2,73,89,1
NO,76,89,-1
HO2,79,89,1
C2H5OOH,21,90,1
C2H5O2,56,90,-1
HO2,79,90,-1
C2H5OH,17,91,0.2
CH3OH,41,91,0.3
C2H5O2,56,91,-1
CH3CHO,62,91,0.8
CH2O,72,91,0.7
CH3O2,77,91,-1
HO2,79,91,1
C2H5OOH,21,92,-1
C2H5O2,56,92,0.5
CH3CHO,62,92,0.5
OH,75,92,-0.5
PO2,50,93,1
C3H6,61,93,-1
OH,75,93,-1
CH3COOH,34,94,0.25
CH4,40,94,0.08
CO,58,94,0.56
C3H6,61,94,-1
CH3CHO,62,94,0.5
CH2O,72,94,0.54
OH,75,94,0.33
CH3O2,77,94,0.31
HO2,79,94,0.19
O3,81,94,-1
ONIT,29,95,1
C3H6,61,95,-1
NO3,80,95,-1
PO2,50,96,-1
CH3CHO,62,96,1
CH2O,72,96,1
NO2,73,96,1
NO,76,96,-1
HO2,79,96,1
POOH,35,97,1
PO2,50,97,-1
HO2,79,97,-1
POOH,35,98,-1
PO2,50,98,0.5
HYAC,65,98,0.5
OH,75,98,-0.5
CH3CHO,62,99,-1
OH,75,99,-1
CH3CO3,78,99,1
HNO3,39,100,1
CH3CHO,62,100,-1
CH3CO3,78,100,1
NO3,80,100,-1
NO2,73,101,1
NO,76,101,-1
CH3O2,77,101,1
CH3CO3,78,101,-1
PAN,36,102,1
NO2,73,102,-1
CH3CO3,78,102,-1
CH3COOOH,32,103,0.75
CH3COOH,34,103,0.25
CH3CO3,78,103,-1
HO2,79,103,-1
O3,81,103,0.25
CH3COOH,34,104,0.1
CH2O,72,104,1
CH3O2,77,104,-0.1
CH3CO3,78,104,-1
HO2,79,104,0.9
CH3COOOH,32,105,-1
CH2O,72,105,0.5
OH,75,105,-1
CH3CO3,78,105,0.5
PAN,36,106,-1
NO2,73,106,1
CH3CO3,78,106,1
CH3O2,77,107,2
CH3CO3,78,107,-2
C3H8,5,108,-1
C3H7O2,57,108,1
OH,75,108,-1
CH3COCH3,51,109,0.82
C3H7O2,57,109,-1
CH3CHO,62,109,0.27
NO2,73,109,1
NO,76,109,-1
HO2,79,109,1
C3H7OOH,22,110,1
C3H7O2,57,110,-1
HO2,79,110,-1
CH3COCH3,51,111,0.82
C3H7O2,57,111,-1
CH2O,72,111,1
CH3O2,77,111,-1
HO2,79,111,1
C3H7OOH,22,112,-1
C3H7O2,57,112,1
OH,75,112,-1
CH3COCH3,51,113,-1
RO2,63,113,1
OH,75,113,-1
RO2,63,114,-1
CH2O,72,114,1
NO2,73,114,1
NO,76,114,-1
CH3CO3,78,114,1
ROOH,23,115,1
RO2,63,115,-1
HO2,79,115,-1
CH3OH,41,116,0.5
RO2,63,116,-1
HYAC,65,116,0.2
CH3COCHO,67,116,0.5
CH2O,72,116,0.8
CH3O2,77,116,-1
CH3CO3,78,116,0.3
HO2,79,116,0.3
ROOH,23,117,-1
RO2,63,117,1
OH,75,117,-1
BIGENE,6,118,-1
ENEO2,24,118,1
OH,75,118,-1
ENEO2,24,119,-1
CH3COCH3,51,119,0.5
CH3CHO,62,119,1
CH2O,72,119,0.5
NO2,73,119,1
NO,76,119,-1
HO2,79,119,1
BIGALK,7,120,-1
ALKO2,55,120,1
OH,75,120,-1
ONIT,29,121,0.1
MEK,33,121,0.75
CH3COCH3,51,121,0.25
ALKO2,55,121,-1
CH3CHO,62,121,0.4
CH2O,72,121,0.1
NO2,73,121,0.9
NO,76,121,-1
HO2,79,121,0.9
ALKOOH,48,122,1
ALKO2,55,122,-1
HO2,79,122,-1
ALKOOH,48,123,-1
ALKO2,55,123,1
OH,75,123,-1
ONIT,29,124,-1
CH3COCHO,67,124,1
NO2,73,124,1
OH,75,124,-1
MEK,33,125,-1
MEKO2,49,125,1
OH,75,125,-1
MEKO2,49,126,-1
CH3CHO,62,126,1
NO2,73,126,1
NO,76,126,-1
CH3CO3,78,126,1
MEKOOH,25,127,1
MEKO2,49,127,-1
HO2,79,127,-1
MEKOOH,25,128,-1
MEKO2,49,128,1
OH,75,128,-1
TOLUENE,10,129,-1
CRESOL,11,129,0.25
TOLO2,44,129,0.7
OH,75,129,-1
HO2,79,129,0.25
CRESOL,11,130,-1
XOH,14,130,1
OH,75,130,-1
XOH,14,131,-1
BIGALD,45,131,0.7
NO2,73,131,-0.3
HO2,79,131,0.7
GLYOXAL,37,132,0.45
TOLO2,44,132,-1
BIGALD,45,132,0.9
CH3COCHO,67,132,0.45
NO2,73,132,0.9
NO,76,132,-1
HO2,79,132,0.9
TOLOOH,31,133,1
TOLO2,44,133,-1
HO2,79,133,-1
TOLOOH,31,134,-1
TOLO2,44,134,1
OH,75,134,-1
ISOP,59,135,-1
ISOPO2,71,135,1
OH,75,135,-1
CH3COOH,34,136,0.2
CO,58,136,0.3
ISOP,59,136,-1
C3H6,61,136,0.07
MACR,66,136,0.4
MVK,69,136,0.2
CH2O,72,136,0.6
MCO3,74,136,0.2
OH,75,136,0.27
HO2,79,136,0.06
O3,81,136,-0.9
HYDRALD,28,137,0.37
ONITR,60,137,0.08
MACR,66,137,0.23
MVK,69,137,0.32
ISOPO2,71,137,-1
CH2O,72,137,0.55
NO2,73,137,0.92
NO,76,137,-1
HO2,79,137,1
HYDRALD,28,138,0.4
MACR,66,138,0.25
MVK,69,138,0.35
ISOPO2,71,138,-1
CH2O,72,138,0.6
NO2,73,138,1
HO2,79,138,1
NO3,80,138,-1
ISOPOOH,42,139,1
ISOPO2,71,139,-1
HO2,79,139,-1
ISOPOOH,42,140,-1
XO2,68,140,0.5
ISOPO2,71,140,0.5
OH,75,140,-1
HYDRALD,28,141,0.3
CH3OH,41,141,0.25
MACR,66,141,0.19
MVK,69,141,0.26
ISOPO2,71,141,-1
CH2O,72,141,1.2
