! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : RADM2_EdgeList.csv
! Equation file        : RADM2.kpp
! Output root filename : RADM2
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
45,60,R60,TCO3,0.9
51,60,R60,HO2,0.1
53,60,OH,R60,-1
53,60,R60,OH,-0.9
26,61,R61,CO,1
43,61,HCHO,R61,-1
51,61,R61,HO2,1
53,61,OH,R61,-1
48,62,ALD,R62,-1
53,62,OH,R62,-1
55,62,R62,ACO3,1
33,63,KET,R63,-1
50,63,R63,KETP,1
53,63,OH,R63,-1
26,64,R64,CO,2
31,64,GLY,R64,-1
51,64,R64,HO2,1
53,64,OH,R64,-1
26,65,R65,CO,1
34,65,MGLY,R65,-1
53,65,OH,R65,-1
55,65,R65,ACO3,1
30,66,DCB,R66,-1
45,66,R66,TCO3,1
53,66,OH,R66,-1
21,67,OP1,R67,-1
43,67,R67,HCHO,0.5
52,67,R67,MO2,0.5
53,67,OH,R67,-1
53,67,R67,OH,0.5
42,68,OP2,R68,-1
48,68,R68,ALD,0.5
53,68,OH,R68,-1
53,68,R68,OH,0.5
56,68,R68,HC3P,0.5
18,69,PAA,R69,-1
53,69,OH,R69,-1
55,69,R69,ACO3,1
23,70,PAN,R70,-1
39,70,R70,XO2,1
43,70,R70,HCHO,1
53,70,OH,R70,-1
54,70,R70,NO3,1
47,71,ONIT,R71,-1
53,71,OH,R71,-1
56,71,R71,HC3P,1
59,71,R71,NO2,1
27,72,ISO,R72,-1
37,72,R72,OLTP,1
53,72,OH,R72,-1
23,73,R73,PAN,1
55,73,ACO3,R73,-1
59,73,NO2,R73,-1
23,74,PAN,R74,-1
55,74,R74,ACO3,1
59,74,R74,NO2,1
12,75,R75,TPAN,1
45,75,TCO3,R75,-1
59,75,NO2,R75,-1
12,76,TPAN,R76,-1
45,76,R76,TCO3,1
59,76,R76,NO2,1
43,77,R77,HCHO,1
51,77,R77,HO2,1
52,77,MO2,R77,-1
58,77,NO,R77,-1
59,77,R77,NO2,1
33,78,R78,KET,0.25
43,78,R78,HCHO,0.09
47,78,R78,ONIT,0.036
48,78,R78,ALD,0.75
51,78,R78,HO2,0.964
56,78,HC3P,R78,-1
58,78,NO,R78,-1
59,78,R78,NO2,0.964
33,79,R79,KET,0.69
41,79,HC5P,R79,-1
47,79,R79,ONIT,0.08
48,79,R79,ALD,0.38
51,79,R79,HO2,0.92
58,79,NO,R79,-1
59,79,R79,NO2,0.92
33,80,R80,KET,1.06
43,80,R80,HCHO,0.04
44,80,HC8P,R80,-1
47,80,R80,ONIT,0.24
48,80,R80,ALD,0.35
51,80,R80,HO2,0.76
58,80,NO,R80,-1
59,80,R80,NO2,0.76
40,81,OL2P,R81,-1
43,81,R81,HCHO,1.6
48,81,R81,ALD,0.2
51,81,R81,HO2,1
58,81,NO,R81,-1
59,81,R81,NO2,1
37,82,OLTP,R82,-1
43,82,R82,HCHO,1
48,82,R82,ALD,1
51,82,R82,HO2,1
58,82,NO,R82,-1
59,82,R82,NO2,1
33,83,R83,KET,0.1
43,83,R83,HCHO,0.28
48,83,R83,ALD,1.45
49,83,OLIP,R83,-1
51,83,R83,HO2,1
58,83,NO,R83,-1
59,83,R83,NO2,1
52,84,R84,MO2,1
55,84,ACO3,R84,-1
58,84,NO,R84,-1
59,84,R84,NO2,1
26,85,R85,CO,0.95
31,85,R85,GLY,0.89
34,85,R85,MGLY,0.11
39,85,R85,XO2,2
