! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : gckpp_EdgeList.csv
! Equation file        : gckpp.kpp
! Output root filename : gckpp
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
287,46,R46,H2O,1
34,47,R47,POx,1
214,47,ETO2,R47,-1
262,47,R47,ALD2,1
275,47,R47,HO2,1
279,47,NO,R47,-1
281,47,R47,NO2,1
89,48,R48,ETNO3,1
214,48,ETO2,R48,-1
279,48,NO,R48,-1
34,49,R49,POx,1
249,49,OTHRO2,R49,-1
262,49,R49,ALD2,1
275,49,R49,HO2,1
279,49,NO,R49,-1
281,49,R49,NO2,1
123,50,C3H8,R50,-1
257,50,R50,B3O2,1
277,50,OH,R50,-1
123,51,C3H8,R51,-1
234,51,R51,A3O2,1
277,51,OH,R51,-1
34,52,R52,POx,1
234,52,A3O2,R52,-1
258,52,R52,RCHO,1
275,52,R52,HO2,1
279,52,NO,R52,-1
281,52,R52,NO2,1
91,53,R53,NPRNO3,1
234,53,A3O2,R53,-1
279,53,NO,R53,-1
34,54,R54,POx,1
205,54,PO2,R54,-1
262,54,R54,ALD2,1
264,54,R54,CH2O,1
275,54,R54,HO2,1
279,54,NO,R54,-1
281,54,R54,NO2,1
115,55,ALK4,R55,-1
256,55,R55,R4O2,1
277,55,OH,R55,-1
34,56,R56,POx,1
219,56,R56,ACET,0.32
222,56,R56,MEK,0.19
234,56,R56,A3O2,0.05
249,56,R56,OTHRO2,0.32
256,56,R4O2,R56,-1
257,56,R56,B3O2,0.18
258,56,R56,RCHO,0.14
262,56,R56,ALD2,0.32
265,56,R56,MO2,0.19
275,56,R56,HO2,0.27
279,56,NO,R56,-1
281,56,R56,NO2,1
34,57,R57,POx,1
199,57,R57,R4N2,1
256,57,R4O2,R57,-1
279,57,NO,R57,-1
34,58,R58,POx,1
254,58,R4N1,R58,-1
258,58,R58,RCHO,0.57
262,58,R58,ALD2,0.86
264,58,R58,CH2O,0.57
279,58,NO,R58,-1
281,58,R58,NO2,2
34,59,R59,POx,1
250,59,ATO2,R59,-1
260,59,R59,MCO3,1
264,59,R59,CH2O,1
279,59,NO,R59,-1
281,59,R59,NO2,1
34,60,R60,POx,1
199,60,R60,R4N2,0.07
253,60,KO2,R60,-1
260,60,R60,MCO3,0.93
262,60,R60,ALD2,0.93
279,60,NO,R60,-1
281,60,R60,NO2,0.93
34,61,R61,POx,1
219,61,R61,ACET,1
257,61,B3O2,R61,-1
275,61,R61,HO2,1
279,61,NO,R61,-1
281,61,R61,NO2,1
88,62,R62,IPRNO3,1
257,62,B3O2,R62,-1
279,62,NO,R62,-1
34,63,R63,POx,1
198,63,PRN1,R63,-1
262,63,R63,ALD2,1
264,63,R63,CH2O,1
279,63,NO,R63,-1
281,63,R63,NO2,2
35,64,R64,LOx,1
115,64,ALK4,R64,-1
235,64,R64,HNO3,1
256,64,R64,R4O2,1
283,64,NO3,R64,-1
199,65,R4N2,R65,-1
254,65,R65,R4N1,1
277,65,OH,R65,-1
287,65,R65,H2O,1
6,66,R66,CO2,1
209,66,ACTA,R66,-1
265,66,R66,MO2,1
277,66,OH,R66,-1
287,66,R66,H2O,1
255,67,R67,RCO3,1
258,67,RCHO,R67,-1
277,67,OH,R67,-1
287,67,R67,H2O,1
51,68,R68,PPN,1
255,68,RCO3,R68,-1
281,68,NO2,R68,-1
51,69,PPN,R69,-1
255,69,R69,RCO3,1
281,69,R69,NO2,1
34,70,R70,POx,1
234,70,R70,A3O2,0.07
249,70,R70,OTHRO2,0.5
255,70,RCO3,R70,-1
257,70,R70,B3O2,0.27
279,70,NO,R70,-1
281,70,R70,NO2,1
35,71,R71,LOx,1
235,71,R71,HNO3,1
255,71,R71,RCO3,1
258,71,RCHO,R71,-1
283,71,NO3,R71,-1
219,72,ACET,R72,-1
250,72,R72,ATO2,1
277,72,OH,R72,-1
287,72,R72,H2O,1
155,73,R73,ROH,0.25
215,73,R73,MOH,0.25
234,73,A3O2,R73,-1
258,73,R73,RCHO,0.75
264,73,R73,CH2O,0.75
265,73,MO2,R73,-1
275,73,R73,HO2,1
155,74,R74,ROH,0.25
205,74,PO2,R74,-1
215,74,R74,MOH,0.25
247,74,R74,HAC,0.16
258,74,R74,RCHO,0.09
262,74,R74,ALD2,0.5
264,74,R74,CH2O,1.25
265,74,MO2,R74,-1
275,74,R74,HO2,1
94,75,R75,R4P,1
256,75,R4O2,R75,-1
275,75,HO2,R75,-1
199,76,R76,R4N2,1
254,76,R4N1,R76,-1
275,76,HO2,R76,-1
193,77,R77,ATOOH,0.85
250,77,ATO2,R77,-1
260,77,R77,MCO3,0.15
264,77,R77,CH2O,0.15
275,77,HO2,R77,-1
277,77,R77,OH,0.15
193,78,R78,ATOOH,0.85
253,78,KO2,R78,-1
260,78,R78,MCO3,0.15
262,78,R78,ALD2,0.15
275,78,HO2,R78,-1
277,78,R78,OH,0.15
96,79,R79,RB3P,1
257,79,B3O2,R79,-1
275,79,HO2,R79,-1
114,80,R80,PRPN,1
198,80,PRN1,R80,-1
275,80,HO2,R80,-1
222,81,MEK,R81,-1
253,81,R81,KO2,1
277,81,OH,R81,-1
287,81,R81,H2O,1
132,82,R82,EOH,0.25
214,82,ETO2,R82,-1
215,82,R82,MOH,0.25
262,82,R82,ALD2,0.75
264,82,R82,CH2O,0.75
265,82,MO2,R82,-1
275,82,R82,HO2,1
132,83,R83,EOH,0.25
215,83,R83,MOH,0.25
249,83,OTHRO2,R83,-1
262,83,R83,ALD2,0.75
264,83,R83,CH2O,0.75
265,83,MO2,R83,-1
275,83,R83,HO2,1
35,84,R84,LOx,1
222,84,MEK,R84,-1
235,84,R84,HNO3,1
253,84,R84,KO2,1
283,84,NO3,R84,-1
155,85,R85,ROH,0.25
215,85,R85,MOH,0.25
219,85,R85,ACET,0.16
222,85,R85,MEK,0.35
234,85,R85,A3O2,0.03
249,85,R85,OTHRO2,0.16
256,85,R4O2,R85,-1
257,85,R85,B3O2,0.09
258,85,R85,RCHO,0.07
262,85,R85,ALD2,0.16
264,85,R85,CH2O,0.75
265,85,MO2,R85,-1
265,85,R85,MO2,0.09
275,85,R85,HO2,0.64
155,86,R86,ROH,0.25
215,86,R86,MOH,0.25
254,86,R4N1,R86,-1
256,86,R86,R4O2,0.15
258,86,R86,RCHO,0.54
262,86,R86,ALD2,0.38
264,86,R86,CH2O,0.95
265,86,MO2,R86,-1
275,86,R86,HO2,0.5
281,86,R86,NO2,1
215,87,R87,MOH,0.5
231,87,R87,MGLY,0.5
247,87,R87,HAC,0.2
250,87,ATO2,R87,-1
260,87,R87,MCO3,0.3
264,87,R87,CH2O,0.5
265,87,MO2,R87,-1
275,87,R87,HO2,0.3
155,88,R88,ROH,0.25
215,88,R88,MOH,0.25
222,88,R88,MEK,0.25
253,88,KO2,R88,-1
260,88,R88,MCO3,0.5
262,88,R88,ALD2,0.5
264,88,R88,CH2O,0.75
265,88,MO2,R88,-1
275,88,R88,HO2,0.5
155,89,R89,ROH,0.25
215,89,R89,MOH,0.25
219,89,R89,ACET,0.75
257,89,B3O2,R89,-1
264,89,R89,CH2O,0.75
265,89,MO2,R89,-1
275,89,R89,HO2,1
155,90,R90,ROH,0.25
198,90,PRN1,R90,-1
215,90,R90,MOH,0.25
258,90,R90,RCHO,0.25
262,90,R90,ALD2,0.5
264,90,R90,CH2O,1.25
265,90,MO2,R90,-1
275,90,R90,HO2,0.5
281,90,R90,NO2,1
132,91,EOH,R91,-1
262,91,R91,ALD2,1
275,91,R91,HO2,1
277,91,OH,R91,-1
155,92,ROH,R92,-1
258,92,R92,RCHO,1
275,92,R92,HO2,1
277,92,OH,R92,-1
214,93,ETO2,R93,-2
262,93,R93,ALD2,2
275,93,R93,HO2,2
249,94,OTHRO2,R94,-2
262,94,R94,ALD2,2
275,94,R94,HO2,2
132,95,R95,EOH,1
214,95,ETO2,R95,-2
262,95,R95,ALD2,1
132,96,R96,EOH,1
249,96,OTHRO2,R96,-2
262,96,R96,ALD2,1
110,97,R97,ETP,1
214,97,ETO2,R97,-1
275,97,HO2,R97,-1
110,98,R98,ETP,1
249,98,OTHRO2,R98,-1
275,98,HO2,R98,-1
95,99,R99,RA3P,1
234,99,A3O2,R99,-1
275,99,HO2,R99,-1
113,100,R100,PP,1
205,100,PO2,R100,-1
275,100,HO2,R100,-1
34,101,R101,POx,0.15
97,101,R101,RP,0.41
234,101,R101,A3O2,0.03
249,101,R101,OTHRO2,0.22
255,101,RCO3,R101,-1
257,101,R101,B3O2,0.12
275,101,HO2,R101,-1
276,101,R101,O3,0.15
277,101,R101,OH,0.44
205,102,R102,PO2,1
252,102,PRPE,R102,-1
277,102,OH,R102,-1
35,103,R103,LOx,1
36,103,R103,PCO,0.56
187,103,R103,CH4,0.1
228,103,R103,CH3CHOO,0.12
252,103,PRPE,R103,-1
259,103,R103,CH2OO,0.12
261,103,R103,CO,0.56
262,103,R103,ALD2,0.5
264,103,R103,CH2O,0.5
265,103,R103,MO2,0.28
275,103,R103,HO2,0.28
276,103,O3,R103,-1
277,103,R103,OH,0.36
6,104,R104,CO2,0.361
36,104,R104,PCO,0.505
208,104,R104,HCOOH,0.134
218,104,R104,GLYX,0.134
233,104,GLYC,R104,-1
261,104,R104,CO,0.505
264,104,R104,CH2O,0.732
275,104,R104,HO2,0.773
277,104,OH,R104,-1
277,104,R104,OH,0.227
36,105,R105,PCO,1
208,105,R105,HCOOH,1
233,105,GLYC,R105,-1
261,105,R105,CO,1
277,105,OH,R105,-1
277,105,R105,OH,1
35,106,R106,LOx,1
198,106,R106,PRN1,1
252,106,PRPE,R106,-1
283,106,NO3,R106,-1
36,107,R107,PCO,2
218,107,GLYX,R107,-1
261,107,R107,CO,2
275,107,R107,HO2,1
277,107,OH,R107,-1
36,108,R108,PCO,1
231,108,MGLY,R108,-1
260,108,R108,MCO3,1
261,108,R108,CO,1
277,108,OH,R108,-1
35,109,R109,LOx,1
36,109,R109,PCO,2
218,109,GLYX,R109,-1
235,109,R109,HNO3,1
261,109,R109,CO,2
275,109,R109,HO2,1
