! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : isoprene_reduced_plus_v5_BiadjacencyMatrix.csv
! Equation file        : isoprene_reduced_plus_v5.def
! Output root filename : isoprene_reduced_plus_v5
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



spc_name,species_index,reaction_index,stoichiometric_coefficient
CO2,1,36,0.355
ISOP1OH4CO,67,36,-1
MACR2OOH3OH,90,36,0.452
CO,101,36,0.807
IEPOXBOO,118,36,0.193
MGLY,125,36,0.355
OH,144,36,0.065
HO2,145,36,0.452
ISOP3CO4OH,7,37,-1
ICHOO,98,37,1
OH,144,37,-1
ICHOO,98,38,-1
CO,101,38,0.52
MVK3CO4OH,102,38,0.13
HCHO,115,38,0.65
ICPDH,117,38,0.35
HAC,124,38,0.52
OH,144,38,0.65
HO2,145,38,-0.35
ICHOO,98,39,-1
IDHCN,123,39,1
NO,140,39,-1
ICHOO,98,40,-1
CO,101,40,0.8
MVK3CO4OH,102,40,0.2
HCHO,115,40,1
HAC,124,40,0.8
NO2,136,40,1
NO,140,40,-1
HO2,145,40,1
ICHOO,98,41,-1
CO,101,41,2
HAC,124,41,1
OH,144,41,1
HO2,145,41,1
ISOP1OH2OOH,68,42,-1
IHPOO3,95,42,0.655
IHPOO1,108,42,0.345
OH,144,42,-1
IEPOXt,59,43,0.67
IEPOXc,60,43,0.33
ISOP1OH2OOH,68,43,-1
ISOP3OOH4OH,71,44,-1
IHPOO2,89,44,0.345
IHPOO3,95,44,0.655
OH,144,44,-1
IEPOXt,59,45,0.68
IEPOXc,60,45,0.32
ISOP3OOH4OH,71,45,-1
ISOP1OH2OOH,68,46,-1
MVK3OOH4OH,81,46,0.125
CO,101,46,0.25
MVK,107,46,0.125
IHOO1,133,46,0.75
OH,144,46,-1
HO2,145,46,0.25
ISOP3CO4OH,7,47,0.16
ISOP3OOH4OH,71,47,-1
MACR2OOH3OH,90,47,0.165
CO,101,47,0.33
MACR,126,47,0.165
IHOO4,132,47,0.51
OH,144,47,-0.84
HO2,145,47,0.33
ISOP1OH2OOH,68,48,-1
MVK,107,48,1
HCHO,115,48,1
OH,144,48,1
HO2,145,48,1
ISOP3OOH4OH,71,49,-1
HCHO,115,49,1
MACR,126,49,1
OH,144,49,1
HO2,145,49,1
IEPOXD,38,50,0.255
ISOP1CO2OOH,44,50,0.009
ISOP1OH4CO,67,50,0.06
ISOP1OH4OOH,80,50,-1
HPETHNL,85,50,0.018
ISOP1CO4OOH,92,50,0.015
CO,101,50,0.036
IHPOO1,108,50,0.595
HCHO,115,50,0.018
MGLY,125,50,0.018
IHOO1,133,50,0.03
CH3CO3,138,50,0.018
OH,144,50,-0.595
HO2,145,50,0.024
IEPOXD,38,51,0.595
ISOP3OOH4CO,62,51,0.009
ISOP1CO4OH,66,51,0.06
ISOP1OOH4OH,75,51,-1
HPAC,78,51,0.018
ISOP1OOH4CO,87,51,0.015
IHPOO2,89,51,0.255
CO,101,51,0.054
HCHO,115,51,0.018
MGLY,125,51,0.018
IHOO4,132,51,0.03
OH,144,51,-0.255
HO2,145,51,0.042
IDHPE,73,52,1
IHPOO1,108,52,-1
OH,144,52,1
HPETHNL,85,53,0.83
MACR2OOH3OH,90,53,0.17
IHPOO1,108,53,-1
HCHO,115,53,0.17
HAC,124,53,0.83
NO2,136,53,1
NO,140,53,-1
HO2,145,53,1
IHPOO1,108,54,-1
IDHPN,131,54,1
NO,140,54,-1
IDHDP,61,55,0.59
HPETHNL,85,55,0.378
MACR2OOH3OH,90,55,0.032
IHPOO1,108,55,-1
HCHO,115,55,0.032
HAC,124,55,0.378
OH,144,55,0.41
HO2,145,55,-0.59
IDHPE,73,56,0.68
IHPOO2,89,56,-1
ICPDH,117,56,0.32
OH,144,56,1
HPAC,78,57,0.153
MVK3OOH4OH,81,57,0.847
IHPOO2,89,57,-1
HCHO,115,57,0.847
GLYC,134,57,0.153
NO2,136,57,1
NO,140,57,-1
HO2,145,57,1
IHPOO2,89,58,-1
IDHPN,131,58,1
NO,140,58,-1
IDHDP,61,59,0.76
HPAC,78,59,0.07
MVK3OOH4OH,81,59,0.17
IHPOO2,89,59,-1
HCHO,115,59,0.17
GLYC,134,59,0.07
OH,144,59,0.24
HO2,145,59,-0.76
IDHPE,73,60,1
IHPOO3,95,60,-1
OH,144,60,1
IHPOO3,95,61,-1
HAC,124,61,1
GLYC,134,61,1
NO2,136,61,1
NO,140,61,-1
OH,144,61,1
IHPOO3,95,62,-1
IDHPN,131,62,1
NO,140,62,-1
IDHDP,61,63,0.35
IHPOO3,95,63,-1
HAC,124,63,0.65
GLYC,134,63,0.65
OH,144,63,1.3
HO2,145,63,-1
IEPOXD,38,64,-1
ICHE,86,64,0.75
ICHOO,98,64,0.25
OH,144,64,-1
HO2,145,64,0.75
IEPOXt,59,65,-1
ICHE,86,65,1
OH,144,65,-1
HO2,145,65,1
IEPOXt,59,66,-1
IEPOXBOO,118,66,0.33
IEPOXAOO,120,66,0.67
OH,144,66,-1
IEPOXc,60,67,-1
ICHE,86,67,1
OH,144,67,-1
HO2,145,67,1
IEPOXc,60,68,-1
IEPOXBOO,118,68,0.19
IEPOXAOO,120,68,0.81
OH,144,68,-1
IDCHP,50,69,1
IEPOXBOO,118,69,-1
HO2,145,69,1
MACR2OH3OH,63,70,1
CO,101,70,1
IEPOXBOO,118,70,-1
OH,144,70,1
MACR2OH3OH,63,71,0.2
CO,101,71,0.2
GLYX,112,71,0.8
IEPOXBOO,118,71,-1
HAC,124,71,0.8
NO2,136,71,1
NO,140,71,-1
HO2,145,71,1
IEPOXBOO,118,72,-1
IDHCN,123,72,1
NO,140,72,-1
MACR2OH3OH,63,73,0.13
CO,101,73,0.13
ICPDH,117,73,0.35
IEPOXBOO,118,73,-1
HAC,124,73,0.52
GLYC,134,73,0.52
OH,144,73,0.65
HO2,145,73,-0.35
IDCHP,50,74,1
IEPOXAOO,120,74,-1
HO2,145,74,1
MVK3OH4OH,54,75,1
CO,101,75,1
IEPOXAOO,120,75,-1
OH,144,75,1
MVK3OH4OH,54,76,0.13
CO,101,76,0.13
ICPDH,117,76,0.35
IEPOXAOO,120,76,-1
MGLY,125,76,0.52
GLYC,134,76,0.52
OH,144,76,0.65
HO2,145,76,-0.35
MVK3OH4OH,54,77,0.2
CO,101,77,0.2
IEPOXAOO,120,77,-1
MGLY,125,77,0.8
GLYC,134,77,0.8
NO2,136,77,1
NO,140,77,-1
HO2,145,77,1
IEPOXAOO,120,78,-1
IDHCN,123,78,1
NO,140,78,-1
MVK3OH4OH,54,79,-1
MVK3CO4OH,102,79,0.6
MVK3OH4CO,119,79,0.4
OH,144,79,-1
HO2,145,79,1
CO2,1,80,1
MVK3OH4CO,119,80,-1
MGLY,125,80,1
CO,101,81,0.5
GLYX,112,81,0.5
MVK3OH4CO,119,81,-1
MGLY,125,81,0.5
CH3CO3,138,81,0.5
HO2,145,81,1.5
CO,101,82,2
MVK3CO4OH,102,82,-1
CH3CO3,138,82,1
OH,144,82,-1
HO2,145,82,1
CO,101,83,1
MVK3CO4OH,102,83,-1
HCHO,115,83,1
CH3CO3,138,83,1
HO2,145,83,1
CO2,1,84,0.63
MACR2OH3CO,17,84,0.16
MACR2OH3OH,63,84,-1
CO,101,84,0.84
HAC,124,84,0.21
CH3CO3,138,84,0.63
OH,144,84,-0.37
HO2,145,84,1
CO2,1,85,1
MACR2OH3CO,17,85,-1
CO,101,85,1
CH3CO3,138,85,1
HO2,145,85,1
MVK,107,86,-1
MVKOHOO,137,86,1
OH,144,86,-1
MVK3OH4OOH,64,87,0.2
MVK3OOH4OH,81,87,0.135
MVK3CO4OH,102,87,0.255
HCHO,115,87,0.05
MGLY,125,87,0.05
GLYC,134,87,0.36
MVKOHOO,137,87,-1
CH3CO3,138,87,0.36
OH,144,87,0.665
HO2,145,87,-0.695
HCHO,115,88,0.242
MGLY,125,88,0.242
GLYC,134,88,0.758
NO2,136,88,1
MVKOHOO,137,88,-1
CH3CO3,138,88,0.758
NO,140,88,-1
HO2,145,88,0.242
MVK3OH4N,96,89,0.438
MVK3N4OH,130,89,0.562
MVKOHOO,137,89,-1
NO,140,89,-1
HPAC,78,90,0.036
CO,101,90,0.036
MCROHOO,109,90,0.964
MACR,126,90,-1
OH,144,90,-1
HO2,145,90,0.036
MACR1OO,113,91,1
MACR,126,91,-1
OH,144,91,-1
MACR2OOH3OH,90,92,0.41
CO,101,92,0.507
MCROHOO,109,92,-1
HCHO,115,92,0.083
HAC,124,92,0.507
MGLY,125,92,0.083
OH,144,92,0.59
HO2,145,92,-0.493
CO2,1,93,0.5
MACR1OOH,11,93,0.37
MACR1OH,26,93,0.13
CH3OO,99,93,0.325
CO,101,93,0.325
MACR1OO,113,93,-1
HCHO,115,93,0.5
CH3CO3,138,93,0.175
O3,143,93,0.13
OH,144,93,0.5
HO2,145,93,-1
CO,101,94,1
MCROHOO,109,94,-1
HAC,124,94,1
OH,144,94,1
CO,101,95,0.86
MCROHOO,109,95,-1
HCHO,115,95,0.14
HAC,124,95,0.86
MGLY,125,95,0.14
NO2,136,95,1
NO,140,95,-1
HO2,145,95,0.86
MCROHOO,109,96,-1
MACR2N3OH,116,96,1
NO,140,96,-1
CO2,1,97,1
CH3OO,99,97,0.65
CO,101,97,0.65
MACR1OO,113,97,-1
HCHO,115,97,1
NO2,136,97,1
CH3CO3,138,97,0.35
NO,140,97,-1
MPAN,51,98,1
MACR1OO,113,98,-1
NO2,136,98,-1
MPAN,51,99,-1
MACR1OO,113,99,1
NO2,136,99,1
HMML,12,100,0.75
MPAN,51,100,-1
CO,101,100,0.25
HAC,124,100,0.25
NO3,141,100,1
OH,144,100,-1
ISOP1CO4CO,39,101,0.112
MVKENOL,55,101,0.552
C4HVP1,57,101,0.224
MVK3OOH4CO,74,101,0.112
ISOP1CO4OOH,92,101,-1
CO,101,101,0.888
OH,144,101,1.662
HO2,145,101,0.112
MCRENOL,37,102,0.455
ISOP1CO4CO,39,102,0.182
C4HVP2,58,102,0.182
MVK3OOH4CO,74,102,0.182
ISOP1OOH4CO,87,102,-1
CO,101,102,0.818
OH,144,102,1.637
HO2,145,102,0.182
ISOP1CO4CO,39,103,0.15
HPALD1OO,40,103,0.315
MVK3OH4OOH,64,103,0.35
ICHE,86,103,0.075
ISOP1CO4OOH,92,103,-1
CO,101,103,0.46
MVK,107,103,0.035
HCHO,115,103,0.075
MGLY,125,103,0.075
OH,144,103,0.075
HO2,145,103,0.075
MACR2OH3OOH,32,104,0.15
ISOP1CO4CO,39,104,0.15
HPALD2OO,41,104,0.315
ICHE,86,104,0.175
ISOP1OOH4CO,87,104,-1
CO,101,104,0.36
HCHO,115,104,0.175
MGLY,125,104,0.175
MACR,126,104,0.035
OH,144,104,0.175
HO2,145,104,0.175
C4HVP1,57,105,-1
NO2,136,105,1
MVKOHOO,137,105,1
NO,140,105,-1
C4HVP1,57,106,-1
MVKOHOO,137,106,1
OH,144,106,1
HO2,145,106,-1
C4HVP1,57,107,-1
MVK3N4OH,130,107,1
NO2,136,107,-1
C4HVP2,58,108,-1
MCROHOO,109,108,1
NO2,136,108,1
NO,140,108,-1
C4HVP2,58,109,-1
MCROHOO,109,109,1
OH,144,109,1
HO2,145,109,-1
C4HVP2,58,110,-1
MACR2N3OH,116,110,1
NO2,136,110,-1
PYRAC,31,111,1
MCRENOL,37,111,-1
CO,101,111,1
OH,144,111,2
MVKENOL,55,112,-1
CO,101,112,0.5
GLYX,112,112,0.5
MGLY,125,112,0.5
CH3CO3,138,112,0.5
OH,144,112,1
HO2,145,112,0.5
CO2,1,113,0.13
PYRAC,31,113,0.87
MCRENOL,37,113,-1
CO,101,113,1
CH3CO3,138,113,0.13
OH,144,113,-0.87
HO2,145,113,0.87
HCOOH,19,114,0.75
MVKENOL,55,114,-1
MVK3OH4CO,119,114,0.25
MGLY,125,114,0.75
OH,144,114,-0.25
HO2,145,114,0.25
MVK3OOH4CO,74,115,-1
CO,101,115,1
MGLY,125,115,1
MVK3OOH4CO,74,116,-1
CO,101,116,0.571
GLYX,112,116,0.429
MGLY,125,116,0.571
CH3CO3,138,116,0.429
OH,144,116,1
HO2,145,116,0.571
CO2,1,117,1
HPALD1OO,40,117,-1
MVK,107,117,1
NO2,136,117,1
NO,140,117,-1
OH,144,117,1
CO2,1,118,1
HPALD1OO,40,118,-1
MVK,107,118,1
OH,144,118,2
HO2,145,118,-1
CO2,1,119,1
HPALD2OO,41,119,-1
MACR,126,119,1
NO2,136,119,1
NO,140,119,-1
OH,144,119,1
CO2,1,120,1
HPALD2OO,41,120,-1
MACR,126,120,1
OH,144,120,2
HO2,145,120,-1
ISOP1OH2N,45,121,-1
ISOPNOO1,76,121,1
OH,144,121,-1
ISOP1OH2N,45,122,-1
IEPOXt,59,122,0.67
IEPOXc,60,122,0.33
NO2,136,122,1
OH,144,122,-1
ISOP3N4OH,46,123,-1
ISOPNOO2,77,123,1
OH,144,123,-1
ISOP3N4OH,46,124,-1
IEPOXt,59,124,0.67
IEPOXc,60,124,0.33
NO2,136,124,1
OH,144,124,-1
ISOPNOO1,76,125,-1
ICHNP,122,125,1
HO2,145,125,1
ISOPNOO1,76,126,-1
HCHO,115,126,0.059
MACR2N3OH,116,126,0.059
HAC,124,126,0.459
IDHPN,131,126,0.482
GLYC,134,126,0.459
NO2,136,126,0.459
OH,144,126,0.518
HO2,145,126,-0.941
ISOPNOO1,76,127,-1
HCHO,115,127,0.272
MACR2N3OH,116,127,0.272
HAC,124,127,0.728
GLYC,134,127,0.728
NO2,136,127,1.728
NO,140,127,-1
HO2,145,127,0.272
IDHDN,65,128,1
ISOPNOO1,76,128,-1
NO,140,128,-1
ISOPNOO2,77,129,-1
ICHNP,122,129,1
HO2,145,129,1
ISOPNOO2,77,130,-1
HCHO,115,130,0.599
MVK3N4OH,130,130,0.599
IDHPN,131,130,0.401
OH,144,130,0.599
HO2,145,130,-0.401
ISOPNOO2,77,131,-1
HCHO,115,131,1
MVK3N4OH,130,131,1
NO2,136,131,1
NO,140,131,-1
HO2,145,131,1
IDHDN,65,132,1
ISOPNOO2,77,132,-1
NO,140,132,-1
CO2,1,133,0.407
H2O2,3,133,0.013
SCI,36,133,0.58
CH3OO,99,133,0.407
ISOP,100,133,-1
CO,101,133,0.407
MVK,107,133,0.177
